inbound_pkt_count,outbound_pkt_count,total_pkt_count,inbound_pkt_percent,outbound_pkt_percent,inbound_bytes,outbound_bytes,duration,interaction_pattern_0,interaction_pattern_1,interaction_pattern_2,interaction_pattern_3,interaction_pattern_4,interaction_pattern_5,interaction_pattern_6,interaction_pattern_7,interaction_pattern_8,interaction_pattern_9,interaction_pattern_10,interaction_pattern_11,interaction_pattern_12,interaction_pattern_13,interaction_pattern_14,interaction_pattern_15,interaction_pattern_16,interaction_pattern_17,interaction_pattern_18,interaction_pattern_19,pkt_rate_mean,pkt_rate_max,pkt_rate_min,pkt_rate_median,pkt_rate_std,bidirectional_interval_mean,bidirectional_interval_max,bidirectional_interval_min,bidirectional_interval_std,bidirectional_rel_time_p10,bidirectional_rel_time_p20,bidirectional_rel_time_p30,bidirectional_rel_time_p40,bidirectional_rel_time_p50,bidirectional_rel_time_p60,bidirectional_rel_time_p70,bidirectional_rel_time_p80,bidirectional_rel_time_p90,inbound_interval_mean,inbound_interval_max,inbound_interval_min,inbound_interval_std,inbound_rel_time_p10,inbound_rel_time_p20,inbound_rel_time_p30,inbound_rel_time_p40,inbound_rel_time_p50,inbound_rel_time_p60,inbound_rel_time_p70,inbound_rel_time_p80,inbound_rel_time_p90,outbound_interval_mean,outbound_interval_max,outbound_interval_min,outbound_interval_std,outbound_rel_time_p10,outbound_rel_time_p20,outbound_rel_time_p30,outbound_rel_time_p40,outbound_rel_time_p50,outbound_rel_time_p60,outbound_rel_time_p70,outbound_rel_time_p80,outbound_rel_time_p90,bidirectional_size_mean,bidirectional_size_max,bidirectional_size_min,bidirectional_size_mad,bidirectional_size_std,bidirectional_size_var,bidirectional_size_skew,bidirectional_size_kurtosis,bidirectional_size_p10,bidirectional_size_p20,bidirectional_size_p30,bidirectional_size_p40,bidirectional_size_p50,bidirectional_size_p60,bidirectional_size_p70,bidirectional_size_p80,bidirectional_size_p90,inbound_size_mean,inbound_size_max,inbound_size_min,inbound_size_mad,inbound_size_std,inbound_size_var,inbound_size_skew,inbound_size_kurtosis,inbound_size_p10,inbound_size_p20,inbound_size_p30,inbound_size_p40,inbound_size_p50,inbound_size_p60,inbound_size_p70,inbound_size_p80,inbound_size_p90,outbound_size_mean,outbound_size_max,outbound_size_min,outbound_size_mad,outbound_size_std,outbound_size_var,outbound_size_skew,outbound_size_kurtosis,outbound_size_p10,outbound_size_p20,outbound_size_p30,outbound_size_p40,outbound_size_p50,outbound_size_p60,outbound_size_p70,outbound_size_p80,outbound_size_p90,protocol,flow_key,pcap_file
1,0,1,1.0,0.0,141,0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,141,141,0.0,0.0,0.0,0.0,0.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141,141,0.0,0.0,0.0,0.0,0.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('202.104.44.143', '192.168.137.162', 27101, 49637, 'TCP')",Messenger10.pcap
0,14,14,0.0,1.0,0,8345,13.928339958190918,1,1,2,3,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,1.0,10,0,0.0,2.53546276418555,1.071410766014686,8.628125190734863,0.0,2.4138820306731597,0.0999253273010254,0.209663724899292,0.2415107250213623,0.24170804023742676,0.24170804023742676,0.24170804023742676,0.41933789253234827,4.806911945343021,10.02334954738617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.071410766014686,8.628125190734863,0.0,2.4138820306731597,0.0999253273010254,0.209663724899292,0.2415107250213623,0.24170804023742676,0.24170804023742676,0.24170804023742676,0.41933789253234827,4.806911945343021,10.02334954738617,596.0714285714286,1466,90,442.07142857142856,523.6508466370254,274210.2091836735,0.708295772010999,-1.0673390968370375,125.0,128.0,159.7,218.6,405.0,582.6,722.4999999999999,1195.4,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0714285714286,1466,90,442.07142857142856,523.6508466370254,274210.2091836735,0.708295772010999,-1.0673390968370375,125.0,128.0,159.7,218.6,405.0,582.6,722.4999999999999,1195.4,1466.0,TCP,"('192.168.137.162', '202.104.44.143', 49731, 27101, 'TCP')",Messenger10.pcap
0,25,25,0.0,1.0,0,24511,13.927030086517334,1,2,3,4,6,7,8,9,11,12,13,14,16,17,18,19,21,22,23,24,1.7857142857142858,24,0,0.0,6.1664828065990465,0.5802929202715555,13.513346910476685,0.0,2.696939837058699,0.2018178462982178,0.24626517295837402,0.24626517295837402,0.24626517295837402,0.24626517295837402,0.24626517295837402,0.24626517295837402,0.3139920234680176,0.3139920234680176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5802929202715555,13.513346910476685,0.0,2.696939837058699,0.2018178462982178,0.24626517295837402,0.24626517295837402,0.24626517295837402,0.24626517295837402,0.24626517295837402,0.24626517295837402,0.3139920234680176,0.3139920234680176,980.44,1466,90,480.96,532.2889501013524,283331.52640000003,-0.45484261309425006,-1.3908693106833443,143.20000000000002,508.0000000000002,736.0,736.0,1351.0,1466.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.44,1466,90,480.96,532.2889501013524,283331.52640000003,-0.45484261309425006,-1.3908693106833443,143.20000000000002,508.0000000000002,736.0,736.0,1351.0,1466.0,1466.0,1466.0,1466.0,TCP,"('192.168.137.162', '202.104.44.143', 49734, 27101, 'TCP')",Messenger10.pcap
0,7,7,0.0,1.0,0,3065,13.927030086517334,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,0.5,6,0,0.0,1.546886273407694,2.321171681086222,13.554358959197998,0.05841994285583496,5.023650092848563,0.050620794296264655,0.10299220085144045,0.15886483192443845,0.20872225761413576,0.2555720806121826,0.29062404632568356,0.3257278442382812,0.3609353065490723,5.79441471099854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.321171681086222,13.554358959197998,0.05841994285583496,5.023650092848563,0.050620794296264655,0.10299220085144045,0.15886483192443845,0.20872225761413576,0.2555720806121826,0.29062404632568356,0.3257278442382812,0.3609353065490723,5.79441471099854,437.85714285714283,1393,90,316.0,438.0249270700172,191865.83673469388,1.2828766851682547,0.3841895704019773,111.0,126.0,129.0,143.20000000000002,163.0,413.79999999999984,581.4,582.6,907.0000000000002,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.85714285714283,1393,90,316.0,438.0249270700172,191865.83673469388,1.2828766851682547,0.3841895704019773,111.0,126.0,129.0,143.20000000000002,163.0,413.79999999999984,581.4,582.6,907.0000000000002,TCP,"('192.168.137.162', '202.104.44.143', 49732, 27101, 'TCP')",Messenger10.pcap
0,73,73,0.0,1.0,0,29668,13.821101903915405,1,4,8,11,15,19,22,26,30,33,37,41,44,48,52,55,59,63,66,70,5.214285714285714,28,0,4.0,6.815723118837286,0.19195974866549173,3.4376959800720215,0.0,0.4894738620027808,0.24498276710510256,0.4613339424133301,0.5972026348114012,1.5048716068267824,3.6256909370422363,4.773263978958129,7.769885587692261,11.710238075256347,12.470910596847533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19195974866549173,3.4376959800720215,0.0,0.4894738620027808,0.24498276710510256,0.4613339424133301,0.5972026348114012,1.5048716068267824,3.6256909370422363,4.773263978958129,7.769885587692261,11.710238075256347,12.470910596847533,406.4109589041096,1466,130,227.42465753424656,377.9878897681899,142874.84481140928,1.885804487719363,2.3238785739033165,151.0,151.0,157.0,237.0,242.0,328.0,404.59999999999997,451.0,1180.3999999999987,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.4109589041096,1466,130,227.42465753424656,377.9878897681899,142874.84481140928,1.885804487719363,2.3238785739033165,151.0,151.0,157.0,237.0,242.0,328.0,404.59999999999997,451.0,1180.3999999999987,TCP,"('192.168.137.162', '202.104.44.143', 49736, 27101, 'TCP')",Messenger10.pcap
0,7,7,0.0,1.0,0,2969,13.892055988311768,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,0.5,6,0,0.0,1.546886273407694,2.315342664718628,13.501880884170532,0.058019161224365234,5.002802103492101,0.051859760284423836,0.10828895568847657,0.1738570213317871,0.2266730308532715,0.2731130123138428,0.30853877067565916,0.3437597751617431,0.37857127189636236,5.790927457809453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.315342664718628,13.501880884170532,0.058019161224365234,5.002802103492101,0.051859760284423836,0.10828895568847657,0.1738570213317871,0.2266730308532715,0.2731130123138428,0.30853877067565916,0.3437597751617431,0.37857127189636236,5.790927457809453,424.14285714285717,1297,90,302.2857142857143,408.40680999339327,166796.12244897964,1.1860159617412829,0.15442146896064957,111.0,126.0,129.0,143.20000000000002,163.0,413.79999999999984,581.4,582.6,868.6000000000003,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.14285714285717,1297,90,302.2857142857143,408.40680999339327,166796.12244897964,1.1860159617412829,0.15442146896064957,111.0,126.0,129.0,143.20000000000002,163.0,413.79999999999984,581.4,582.6,868.6000000000003,TCP,"('192.168.137.162', '202.104.44.143', 49738, 27101, 'TCP')",Messenger10.pcap
0,7,7,0.0,1.0,0,2460,13.890707015991211,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,0.5,6,0,0.0,1.546886273407694,2.315117835998535,13.501880884170532,0.05642819404602051,5.002899189021202,0.04797420501708985,0.09956183433532717,0.15837631225585935,0.21650471687316897,0.2742900848388672,0.3091547966003418,0.3436835765838623,0.37754049301147463,5.789578485488897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.315117835998535,13.501880884170532,0.05642819404602051,5.002899189021202,0.04797420501708985,0.09956183433532717,0.15837631225585935,0.21650471687316897,0.2742900848388672,0.3091547966003418,0.3436835765838623,0.37754049301147463,5.789578485488897,351.42857142857144,780,90,229.57142857142858,266.69664797446615,71127.10204081632,0.4331842467251597,-1.5666077042401596,111.0,126.0,129.0,143.20000000000002,163.0,414.9999999999999,584.2,587.8,665.4000000000001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.42857142857144,780,90,229.57142857142858,266.69664797446615,71127.10204081632,0.4331842467251597,-1.5666077042401596,111.0,126.0,129.0,143.20000000000002,163.0,414.9999999999999,584.2,587.8,665.4000000000001,TCP,"('192.168.137.162', '202.104.44.143', 49740, 27101, 'TCP')",Messenger10.pcap
0,7,7,0.0,1.0,0,2969,13.885719060897827,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,0.5,6,0,0.0,1.546886273407694,2.3142865101496377,13.50524091720581,0.054659128189086914,5.004782295414919,0.041085577011108404,0.08817358016967775,0.14726643562316893,0.20803489685058596,0.2696411609649658,0.30334787368774413,0.33675084114074705,0.36954631805419924,5.782574510574346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3142865101496377,13.50524091720581,0.054659128189086914,5.004782295414919,0.041085577011108404,0.08817358016967775,0.14726643562316893,0.20803489685058596,0.2696411609649658,0.30334787368774413,0.33675084114074705,0.36954631805419924,5.782574510574346,424.14285714285717,1297,90,302.2857142857143,408.40680999339327,166796.12244897964,1.1860159617412829,0.15442146896064957,111.0,126.0,129.0,143.20000000000002,163.0,413.79999999999984,581.4,582.6,868.6000000000003,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.14285714285717,1297,90,302.2857142857143,408.40680999339327,166796.12244897964,1.1860159617412829,0.15442146896064957,111.0,126.0,129.0,143.20000000000002,163.0,413.79999999999984,581.4,582.6,868.6000000000003,TCP,"('192.168.137.162', '202.104.44.143', 49745, 27101, 'TCP')",Messenger10.pcap
0,6,6,0.0,1.0,0,2881,13.88132905960083,1,1,1,1,2,2,2,3,3,3,4,4,4,4,5,5,5,6,6,6,0.42857142857142855,5,0,0.0,1.2936264483053452,2.776265811920166,13.535007953643799,0.0710749626159668,5.379382110791724,0.046671509742736816,0.09334301948547363,0.1446230411529541,0.19590306282043457,0.2355746030807495,0.27524614334106445,0.31078362464904785,0.34632110595703125,7.113825082778931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.776265811920166,13.535007953643799,0.0710749626159668,5.379382110791724,0.046671509742736816,0.09334301948547363,0.1446230411529541,0.19590306282043457,0.2355746030807495,0.27524614334106445,0.31078362464904785,0.34632110595703125,7.113825082778931,480.1666666666667,1372,90,365.1666666666667,450.388505132575,202849.80555555553,1.0294555452337115,-0.21759003037326297,107.5,125.0,127.5,130.0,355.5,581.0,582.0,583.0,977.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.1666666666667,1372,90,365.1666666666667,450.388505132575,202849.80555555553,1.0294555452337115,-0.21759003037326297,107.5,125.0,127.5,130.0,355.5,581.0,582.0,583.0,977.5,TCP,"('192.168.137.162', '202.104.44.143', 49744, 27101, 'TCP')",Messenger10.pcap
0,7,7,0.0,1.0,0,2997,13.88132905960083,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,0.5,6,0,0.0,1.546886273407694,2.313554843266805,13.50524091720581,0.05618405342102051,5.005097016788564,0.05304608345031739,0.10790271759033204,0.1663804531097412,0.2167442321777344,0.26305103302001953,0.2971628665924072,0.3311408996582031,0.36485133171081546,5.778184509277349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.313554843266805,13.50524091720581,0.05618405342102051,5.005097016788564,0.05304608345031739,0.10790271759033204,0.1663804531097412,0.2167442321777344,0.26305103302001953,0.2971628665924072,0.3311408996582031,0.36485133171081546,5.778184509277349,428.14285714285717,1325,90,306.2857142857143,416.983188620161,173874.97959183675,1.2157383943103057,0.22484643937792725,111.0,126.0,129.0,143.20000000000002,163.0,413.79999999999984,581.4,582.6,879.8000000000002,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.14285714285717,1325,90,306.2857142857143,416.983188620161,173874.97959183675,1.2157383943103057,0.22484643937792725,111.0,126.0,129.0,143.20000000000002,163.0,413.79999999999984,581.4,582.6,879.8000000000002,TCP,"('192.168.137.162', '202.104.44.143', 49746, 27101, 'TCP')",Messenger10.pcap
