inbound_pkt_count,outbound_pkt_count,total_pkt_count,inbound_pkt_percent,outbound_pkt_percent,inbound_bytes,outbound_bytes,duration,interaction_pattern_0,interaction_pattern_1,interaction_pattern_2,interaction_pattern_3,interaction_pattern_4,interaction_pattern_5,interaction_pattern_6,interaction_pattern_7,interaction_pattern_8,interaction_pattern_9,interaction_pattern_10,interaction_pattern_11,interaction_pattern_12,interaction_pattern_13,interaction_pattern_14,interaction_pattern_15,interaction_pattern_16,interaction_pattern_17,interaction_pattern_18,interaction_pattern_19,pkt_rate_mean,pkt_rate_max,pkt_rate_min,pkt_rate_median,pkt_rate_std,bidirectional_interval_mean,bidirectional_interval_max,bidirectional_interval_min,bidirectional_interval_std,bidirectional_rel_time_p10,bidirectional_rel_time_p20,bidirectional_rel_time_p30,bidirectional_rel_time_p40,bidirectional_rel_time_p50,bidirectional_rel_time_p60,bidirectional_rel_time_p70,bidirectional_rel_time_p80,bidirectional_rel_time_p90,inbound_interval_mean,inbound_interval_max,inbound_interval_min,inbound_interval_std,inbound_rel_time_p10,inbound_rel_time_p20,inbound_rel_time_p30,inbound_rel_time_p40,inbound_rel_time_p50,inbound_rel_time_p60,inbound_rel_time_p70,inbound_rel_time_p80,inbound_rel_time_p90,outbound_interval_mean,outbound_interval_max,outbound_interval_min,outbound_interval_std,outbound_rel_time_p10,outbound_rel_time_p20,outbound_rel_time_p30,outbound_rel_time_p40,outbound_rel_time_p50,outbound_rel_time_p60,outbound_rel_time_p70,outbound_rel_time_p80,outbound_rel_time_p90,bidirectional_size_mean,bidirectional_size_max,bidirectional_size_min,bidirectional_size_mad,bidirectional_size_std,bidirectional_size_var,bidirectional_size_skew,bidirectional_size_kurtosis,bidirectional_size_p10,bidirectional_size_p20,bidirectional_size_p30,bidirectional_size_p40,bidirectional_size_p50,bidirectional_size_p60,bidirectional_size_p70,bidirectional_size_p80,bidirectional_size_p90,inbound_size_mean,inbound_size_max,inbound_size_min,inbound_size_mad,inbound_size_std,inbound_size_var,inbound_size_skew,inbound_size_kurtosis,inbound_size_p10,inbound_size_p20,inbound_size_p30,inbound_size_p40,inbound_size_p50,inbound_size_p60,inbound_size_p70,inbound_size_p80,inbound_size_p90,outbound_size_mean,outbound_size_max,outbound_size_min,outbound_size_mad,outbound_size_std,outbound_size_var,outbound_size_skew,outbound_size_kurtosis,outbound_size_p10,outbound_size_p20,outbound_size_p30,outbound_size_p40,outbound_size_p50,outbound_size_p60,outbound_size_p70,outbound_size_p80,outbound_size_p90,flow_key,pcap_file
0,2,2,0.0,1.0,0,203,0.0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.5,109,94,7.5,7.5,56.25,0.0,0.0,95.5,97.0,98.5,100.0,101.5,103.0,104.5,106.0,107.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.5,109,94,7.5,7.5,56.25,0.0,0.0,95.5,97.0,98.5,100.0,101.5,103.0,104.5,106.0,107.5,"('192.168.137.197', '111.206.109.236', 61776, 443, 'TCP')",QQ35.pcap
0,4,4,0.0,1.0,0,1435,0.2310328483581543,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4.0,4,4,4.0,0.0,0.0770109494527181,0.1601109504699707,0.008299827575683594,0.06280623186059348,0.04803328514099122,0.09606657028198244,0.14409985542297363,0.17263536453247072,0.1914219856262207,0.2102086067199707,0.22356300354003905,0.22605295181274415,0.22854290008544922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0770109494527181,0.1601109504699707,0.008299827575683594,0.06280623186059348,0.04803328514099122,0.09606657028198244,0.14409985542297363,0.17263536453247072,0.1914219856262207,0.2102086067199707,0.22356300354003905,0.22605295181274415,0.22854290008544922,358.75,571,147,138.75,156.89865359524282,24617.1875,0.003947064556490121,-1.318178275771264,190.8,234.60000000000002,278.4,319.20000000000005,358.5,397.79999999999995,438.69999999999993,482.80000000000007,526.9,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.75,571,147,138.75,156.89865359524282,24617.1875,0.003947064556490121,-1.318178275771264,190.8,234.60000000000002,278.4,319.20000000000005,358.5,397.79999999999995,438.69999999999993,482.80000000000007,526.9,"('192.168.137.197', '43.141.129.253', 61777, 443, 'TCP')",QQ35.pcap
0,10,10,0.0,1.0,0,9033,12.429861068725586,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,0.7692307692307693,8,0,0.0,2.1538461538461537,1.3810956743028429,12.00120496749878,0.0,3.7551758539185327,0.14271841049194336,0.21212158203125,0.22662315368652344,0.2912889957427979,0.33408093452453613,0.3719110012054443,0.42865610122680664,2.828897094726565,12.429861068725586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3810956743028429,12.00120496749878,0.0,3.7551758539185327,0.14271841049194336,0.21212158203125,0.22662315368652344,0.2912889957427979,0.33408093452453613,0.3719110012054443,0.42865610122680664,2.828897094726565,12.429861068725586,903.3,1155,147,181.7,298.5957300431471,89159.41,-1.5912495538615756,1.403033194048156,528.6,833.4,966.1999999999999,995.6,996.0,996.0,1034.1,1129.4,1155.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.3,1155,147,181.7,298.5957300431471,89159.41,-1.5912495538615756,1.403033194048156,528.6,833.4,966.1999999999999,995.6,996.0,996.0,1034.1,1129.4,1155.0,"('192.168.137.197', '43.141.129.253', 53140, 443, 'TCP')",QQ35.pcap
0,5,5,0.0,1.0,0,1501,0.1889040470123291,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5.0,5,5,5.0,0.0,0.047226011753082275,0.12783193588256836,0.0,0.05227258379936213,0.05113277435302735,0.1022655487060547,0.13967494964599608,0.16336097717285156,0.18704700469970703,0.18778982162475585,0.18853263854980468,0.1889040470123291,0.1889040470123291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047226011753082275,0.12783193588256836,0.0,0.05227258379936213,0.05113277435302735,0.1022655487060547,0.13967494964599608,0.16336097717285156,0.18704700469970703,0.18778982162475585,0.18853263854980468,0.1889040470123291,0.1889040470123291,300.2,571,92,136.0,169.86276813946014,28853.359999999997,0.30301537636554116,-1.1222981891667854,114.0,136.0,186.2,264.6,343.0,345.0,347.0,392.6,481.8,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.2,571,92,136.0,169.86276813946014,28853.359999999997,0.30301537636554116,-1.1222981891667854,114.0,136.0,186.2,264.6,343.0,345.0,347.0,392.6,481.8,"('192.168.137.197', '157.255.220.153', 61778, 443, 'TCP')",QQ35.pcap
0,4,4,0.0,1.0,0,1411,0.18827509880065918,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4.0,4,4,4.0,0.0,0.0627583662668864,0.11615800857543945,0.008476972579956055,0.043965020128772826,0.034847402572631844,0.06969480514526369,0.10454220771789549,0.1288860321044922,0.1479780673980713,0.16707010269165037,0.18064582347869873,0.18318891525268555,0.18573200702667236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0627583662668864,0.11615800857543945,0.008476972579956055,0.043965020128772826,0.034847402572631844,0.06969480514526369,0.10454220771789549,0.1288860321044922,0.1479780673980713,0.16707010269165037,0.18064582347869873,0.18318891525268555,0.18573200702667236,352.75,571,147,133.75,155.084452799112,24051.1875,0.10522153148095861,-1.2360827443330809,190.2,233.4,276.59999999999997,313.20000000000005,346.5,379.79999999999995,418.8999999999999,469.6000000000001,520.3000000000001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.75,571,147,133.75,155.084452799112,24051.1875,0.10522153148095861,-1.2360827443330809,190.2,233.4,276.59999999999997,313.20000000000005,346.5,379.79999999999995,418.8999999999999,469.6000000000001,520.3000000000001,"('192.168.137.197', '175.27.5.204', 61779, 443, 'TCP')",QQ35.pcap
0,5,5,0.0,1.0,0,1725,0.17123103141784668,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5.0,5,5,5.0,0.0,0.04280775785446167,0.11441302299499512,0.0,0.0474041384846503,0.04576520919799805,0.0915304183959961,0.12577662467956544,0.14850382804870607,0.17123103141784668,0.17123103141784668,0.17123103141784668,0.17123103141784668,0.17123103141784668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04280775785446167,0.11441302299499512,0.0,0.0474041384846503,0.04576520919799805,0.0915304183959961,0.12577662467956544,0.14850382804870607,0.17123103141784668,0.17123103141784668,0.17123103141784668,0.17123103141784668,0.17123103141784668,345.0,626,92,191.6,217.43320813528,47277.2,0.18675631221601627,-1.7036535774176724,114.0,136.0,175.4,232.20000000000002,289.0,401.79999999999995,514.5999999999999,582.0,604.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,626,92,191.6,217.43320813528,47277.2,0.18675631221601627,-1.7036535774176724,114.0,136.0,175.4,232.20000000000002,289.0,401.79999999999995,514.5999999999999,582.0,604.0,"('192.168.137.197', '43.141.128.143', 61780, 443, 'TCP')",QQ35.pcap
0,5,5,0.0,1.0,0,1766,0.17703509330749512,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5.0,5,5,5.0,0.0,0.04425877332687378,0.1132650375366211,0.0,0.04704275560131898,0.04530601501464844,0.09061203002929688,0.1256838321685791,0.1505214214324951,0.17535901069641113,0.17602944374084473,0.17669987678527832,0.17703509330749512,0.17703509330749512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04425877332687378,0.1132650375366211,0.0,0.04704275560131898,0.04530601501464844,0.09061203002929688,0.1256838321685791,0.1505214214324951,0.17535901069641113,0.17602944374084473,0.17669987678527832,0.17703509330749512,0.17703509330749512,353.2,667,92,199.8,228.3737287868287,52154.56,0.24145236541744008,-1.6451814022850515,114.0,136.0,175.4,232.20000000000002,289.0,401.79999999999995,514.5999999999999,590.2,628.6,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.2,667,92,199.8,228.3737287868287,52154.56,0.24145236541744008,-1.6451814022850515,114.0,136.0,175.4,232.20000000000002,289.0,401.79999999999995,514.5999999999999,590.2,628.6,"('192.168.137.197', '43.141.128.143', 61781, 443, 'TCP')",QQ35.pcap
8,0,8,1.0,0.0,6171,0,12.487215995788574,-1,-1,-2,-2,-2,-3,-3,-4,-4,-4,-5,-5,-6,-6,-6,-7,-7,-8,-8,-8,0.6153846153846154,7,0,0.0,1.8621105287554163,1.7838879993983678,12.003384828567505,5.9604644775390625e-06,4.17246388736723,2.3865699768066408e-05,3.647804260253906e-05,0.015608263015747085,0.12458572387695316,0.21896064281463623,0.30051531791687014,0.36462192535400384,0.4398107051849366,4.084846615791319,1.7838879993983678,12.003384828567505,5.9604644775390625e-06,4.17246388736723,2.3865699768066408e-05,3.647804260253906e-05,0.015608263015747085,0.12458572387695316,0.21896064281463623,0.30051531791687014,0.36462192535400384,0.4398107051849366,4.084846615791319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.375,1458,105,379.875,486.810778819656,236984.734375,0.367720878279969,-1.4369493968426947,372.40000000000003,487.0,487.0,487.0,487.0,630.0000000000001,1130.4999999999995,1355.6000000000001,1458.0,771.375,1458,105,379.875,486.810778819656,236984.734375,0.367720878279969,-1.4369493968426947,372.40000000000003,487.0,487.0,487.0,487.0,630.0000000000001,1130.4999999999995,1355.6000000000001,1458.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('43.141.129.253', '192.168.137.197', 443, 53140, 'TCP')",QQ35.pcap
5,0,5,1.0,0.0,4583,0,0.26378798484802246,-1,-1,-1,-1,-2,-2,-2,-2,-3,-3,-3,-3,-4,-4,-4,-4,-5,-5,-5,-5,5.0,5,5,5.0,0.0,0.06594699621200562,0.15524721145629883,0.0001850128173828125,0.06782483589516326,7.400512695312501e-05,0.00014801025390625002,0.0002274036407470703,0.00031218528747558596,0.00039696693420410156,0.06249585151672362,0.12459473609924314,0.17727293968200686,0.22053046226501466,0.06594699621200562,0.15524721145629883,0.0001850128173828125,0.06782483589516326,7.400512695312501e-05,0.00014801025390625002,0.0002274036407470703,0.00031218528747558596,0.00039696693420410156,0.06249585151672362,0.12459473609924314,0.17727293968200686,0.22053046226501466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916.6,1458,105,490.2,572.0453128905087,327235.84,-0.39146892538725875,-1.6770616767835442,207.0,309.0,528.4,865.2,1202.0,1304.4,1406.8,1458.0,1458.0,916.6,1458,105,490.2,572.0453128905087,327235.84,-0.39146892538725875,-1.6770616767835442,207.0,309.0,528.4,865.2,1202.0,1304.4,1406.8,1458.0,1458.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('43.141.129.253', '192.168.137.197', 443, 61777, 'TCP')",QQ35.pcap
9,0,9,1.0,0.0,6682,0,0.18962502479553223,-1,-1,-2,-2,-3,-3,-3,-4,-4,-5,-5,-6,-6,-7,-7,-7,-8,-8,-9,-9,9.0,9,9,9.0,0.0,0.02370312809944153,0.12191295623779297,9.059906005859375e-06,0.04232512808877592,1.3542175292968751e-05,2.2363662719726565e-05,0.048791170120239244,0.12197275161743164,0.12210798263549805,0.1723776817321777,0.18718185424804687,0.18868780136108398,0.18889298439025878,0.02370312809944153,0.12191295623779297,9.059906005859375e-06,0.04232512808877592,1.3542175292968751e-05,2.2363662719726565e-05,0.048791170120239244,0.12197275161743164,0.12210798263549805,0.1723776817321777,0.18718185424804687,0.18868780136108398,0.18889298439025878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.4444444444445,1466,92,583.7777777777778,623.9934314310815,389367.8024691358,0.11519869931077954,-1.8590770088371507,102.4,105.0,112.2,214.00000000000009,578.0,1146.8,1390.3999999999999,1461.2,1466.0,742.4444444444445,1466,92,583.7777777777778,623.9934314310815,389367.8024691358,0.11519869931077954,-1.8590770088371507,102.4,105.0,112.2,214.00000000000009,578.0,1146.8,1390.3999999999999,1461.2,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('157.255.220.153', '192.168.137.197', 443, 61778, 'TCP')",QQ35.pcap
