inbound_pkt_count,outbound_pkt_count,total_pkt_count,inbound_pkt_percent,outbound_pkt_percent,inbound_bytes,outbound_bytes,duration,interaction_pattern_0,interaction_pattern_1,interaction_pattern_2,interaction_pattern_3,interaction_pattern_4,interaction_pattern_5,interaction_pattern_6,interaction_pattern_7,interaction_pattern_8,interaction_pattern_9,interaction_pattern_10,interaction_pattern_11,interaction_pattern_12,interaction_pattern_13,interaction_pattern_14,interaction_pattern_15,interaction_pattern_16,interaction_pattern_17,interaction_pattern_18,interaction_pattern_19,pkt_rate_mean,pkt_rate_max,pkt_rate_min,pkt_rate_median,pkt_rate_std,bidirectional_interval_mean,bidirectional_interval_max,bidirectional_interval_min,bidirectional_interval_std,bidirectional_rel_time_p10,bidirectional_rel_time_p20,bidirectional_rel_time_p30,bidirectional_rel_time_p40,bidirectional_rel_time_p50,bidirectional_rel_time_p60,bidirectional_rel_time_p70,bidirectional_rel_time_p80,bidirectional_rel_time_p90,inbound_interval_mean,inbound_interval_max,inbound_interval_min,inbound_interval_std,inbound_rel_time_p10,inbound_rel_time_p20,inbound_rel_time_p30,inbound_rel_time_p40,inbound_rel_time_p50,inbound_rel_time_p60,inbound_rel_time_p70,inbound_rel_time_p80,inbound_rel_time_p90,outbound_interval_mean,outbound_interval_max,outbound_interval_min,outbound_interval_std,outbound_rel_time_p10,outbound_rel_time_p20,outbound_rel_time_p30,outbound_rel_time_p40,outbound_rel_time_p50,outbound_rel_time_p60,outbound_rel_time_p70,outbound_rel_time_p80,outbound_rel_time_p90,bidirectional_size_mean,bidirectional_size_max,bidirectional_size_min,bidirectional_size_mad,bidirectional_size_std,bidirectional_size_var,bidirectional_size_skew,bidirectional_size_kurtosis,bidirectional_size_p10,bidirectional_size_p20,bidirectional_size_p30,bidirectional_size_p40,bidirectional_size_p50,bidirectional_size_p60,bidirectional_size_p70,bidirectional_size_p80,bidirectional_size_p90,inbound_size_mean,inbound_size_max,inbound_size_min,inbound_size_mad,inbound_size_std,inbound_size_var,inbound_size_skew,inbound_size_kurtosis,inbound_size_p10,inbound_size_p20,inbound_size_p30,inbound_size_p40,inbound_size_p50,inbound_size_p60,inbound_size_p70,inbound_size_p80,inbound_size_p90,outbound_size_mean,outbound_size_max,outbound_size_min,outbound_size_mad,outbound_size_std,outbound_size_var,outbound_size_skew,outbound_size_kurtosis,outbound_size_p10,outbound_size_p20,outbound_size_p30,outbound_size_p40,outbound_size_p50,outbound_size_p60,outbound_size_p70,outbound_size_p80,outbound_size_p90,flow_key,pcap_file
0,2,2,0.0,1.0,0,203,0.0017209053039550781,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2.0,2,2,2.0,0.0,0.0017209053039550781,0.0017209053039550781,0.0017209053039550781,0.0,0.00017209053039550783,0.00034418106079101566,0.0005162715911865235,0.0006883621215820313,0.0008604526519775391,0.0010325431823730467,0.0012046337127685546,0.0013767242431640626,0.0015488147735595703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017209053039550781,0.0017209053039550781,0.0017209053039550781,0.0,0.00017209053039550783,0.00034418106079101566,0.0005162715911865235,0.0006883621215820313,0.0008604526519775391,0.0010325431823730467,0.0012046337127685546,0.0013767242431640626,0.0015488147735595703,101.5,109,94,7.5,7.5,56.25,0.0,0.0,95.5,97.0,98.5,100.0,101.5,103.0,104.5,106.0,107.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.5,109,94,7.5,7.5,56.25,0.0,0.0,95.5,97.0,98.5,100.0,101.5,103.0,104.5,106.0,107.5,"('192.168.137.209', '120.253.253.225', 58886, 443, 'TCP')",WeChat37.pcap
0,5,5,0.0,1.0,0,1365,1.592306137084961,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,2.5,3,2,2.5,0.5,0.39807653427124023,1.5910301208496094,0.0,0.6887522713426337,0.000510406494140625,0.00102081298828125,0.0012760162353515625,0.0012760162353515625,0.0012760162353515625,0.6376880645751952,1.2741001129150389,1.592306137084961,1.592306137084961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39807653427124023,1.5910301208496094,0.0,0.6887522713426337,0.000510406494140625,0.00102081298828125,0.0012760162353515625,0.0012760162353515625,0.0012760162353515625,0.6376880645751952,1.2741001129150389,1.592306137084961,1.592306137084961,273.0,789,94,173.2,266.37492374470986,70955.6,1.2925739885908683,-0.07956651263134296,96.8,99.6,102.6,105.8,109.0,174.2,239.39999999999998,375.4000000000001,582.2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,789,94,173.2,266.37492374470986,70955.6,1.2925739885908683,-0.07956651263134296,96.8,99.6,102.6,105.8,109.0,174.2,239.39999999999998,375.4000000000001,582.2,"('192.168.137.209', '111.206.109.116', 58903, 443, 'TCP')",WeChat37.pcap
7,0,7,1.0,0.0,7959,0,0.06478404998779297,-1,-1,-1,-2,-2,-2,-3,-3,-3,-4,-4,-4,-5,-5,-5,-6,-6,-6,-7,-7,7.0,7,7,7.0,0.0,0.010797341664632162,0.06143999099731445,2.09808349609375e-05,0.022653825306722497,0.0008399963378906252,0.0014041900634765626,0.001416778564453125,0.0018573760986328128,0.0025119781494140625,0.03937597274780272,0.06411275863647461,0.06459512710571289,0.06476716995239258,0.010797341664632162,0.06143999099731445,2.09808349609375e-05,0.022653825306722497,0.0008399963378906252,0.0014041900634765626,0.001416778564453125,0.0018573760986328128,0.0025119781494140625,0.03937597274780272,0.06411275863647461,0.06459512710571289,0.06476716995239258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.0,1466,98,329.0,532.9114104882456,283994.5714285714,-1.1007197354608478,-0.5931993591291693,357.80000000000007,718.0000000000002,1278.9999999999998,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1137.0,1466,98,329.0,532.9114104882456,283994.5714285714,-1.1007197354608478,-0.5931993591291693,357.80000000000007,718.0000000000002,1278.9999999999998,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('111.206.109.116', '192.168.137.209', 443, 58903, 'TCP')",WeChat37.pcap
0,2,2,0.0,1.0,0,203,0.0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.5,109,94,7.5,7.5,56.25,0.0,0.0,95.5,97.0,98.5,100.0,101.5,103.0,104.5,106.0,107.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.5,109,94,7.5,7.5,56.25,0.0,0.0,95.5,97.0,98.5,100.0,101.5,103.0,104.5,106.0,107.5,"('192.168.137.209', '111.206.109.116', 58902, 443, 'TCP')",WeChat37.pcap
0,1,1,0.0,1.0,0,655,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0,655,655,0.0,0.0,0.0,0.0,0.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0,655,655,0.0,0.0,0.0,0.0,0.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,655.0,"('192.168.137.209', '42.187.211.146', 54516, 443, 'TCP')",WeChat37.pcap
1,0,1,1.0,0.0,752,0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0,752,752,0.0,0.0,0.0,0.0,0.0,752.0,752.0,752.0,752.0,752.0,752.0,752.0,752.0,752.0,752.0,752,752,0.0,0.0,0.0,0.0,0.0,752.0,752.0,752.0,752.0,752.0,752.0,752.0,752.0,752.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('42.187.211.146', '192.168.137.209', 443, 54516, 'TCP')",WeChat37.pcap
0,1,1,0.0,1.0,0,823,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.0,823,823,0.0,0.0,0.0,0.0,0.0,823.0,823.0,823.0,823.0,823.0,823.0,823.0,823.0,823.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.0,823,823,0.0,0.0,0.0,0.0,0.0,823.0,823.0,823.0,823.0,823.0,823.0,823.0,823.0,823.0,"('192.168.137.209', '42.187.211.146', 54517, 443, 'TCP')",WeChat37.pcap
3,0,3,1.0,0.0,3303,0,6.699562072753906e-05,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,3.0,3,3,3.0,0.0,3.349781036376953e-05,5.1975250244140625e-05,1.5020370483398438e-05,1.8477439880371094e-05,1.0395050048828125e-05,2.079010009765625e-05,3.118515014648438e-05,4.15802001953125e-05,5.1975250244140625e-05,5.497932434082031e-05,5.79833984375e-05,6.098747253417969e-05,6.399154663085937e-05,3.349781036376953e-05,5.1975250244140625e-05,1.5020370483398438e-05,1.8477439880371094e-05,1.0395050048828125e-05,2.079010009765625e-05,3.118515014648438e-05,4.15802001953125e-05,5.1975250244140625e-05,5.497932434082031e-05,5.79833984375e-05,6.098747253417969e-05,6.399154663085937e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1101.0,1466,371,365.0,516.1879502661797,266450.0,-0.7071067811865476,0.0,590.0,809.0,1028.0,1247.0,1466.0,1466.0,1466.0,1466.0,1466.0,1101.0,1466,371,365.0,516.1879502661797,266450.0,-0.7071067811865476,0.0,590.0,809.0,1028.0,1247.0,1466.0,1466.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('42.187.211.146', '192.168.137.209', 443, 54517, 'TCP')",WeChat37.pcap
0,2,2,0.0,1.0,0,371,0.0479128360748291,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2.0,2,2,2.0,0.0,0.0479128360748291,0.0479128360748291,0.0479128360748291,0.0,0.004791283607482911,0.009582567214965821,0.01437385082244873,0.019165134429931643,0.02395641803741455,0.02874770164489746,0.03353898525238037,0.038330268859863285,0.04312155246734619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0479128360748291,0.0479128360748291,0.0479128360748291,0.0,0.004791283607482911,0.009582567214965821,0.01437385082244873,0.019165134429931643,0.02395641803741455,0.02874770164489746,0.03353898525238037,0.038330268859863285,0.04312155246734619,185.5,220,151,34.5,34.5,1190.25,0.0,0.0,157.9,164.8,171.7,178.6,185.5,192.4,199.3,206.2,213.1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.5,220,151,34.5,34.5,1190.25,0.0,0.0,157.9,164.8,171.7,178.6,185.5,192.4,199.3,206.2,213.1,"('192.168.137.209', '175.27.57.169', 54518, 443, 'TCP')",WeChat37.pcap
2,0,2,1.0,0.0,256,0,0.04728579521179199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2.0,2,2,2.0,0.0,0.04728579521179199,0.04728579521179199,0.04728579521179199,0.0,0.0047285795211792,0.0094571590423584,0.014185738563537597,0.0189143180847168,0.023642897605895996,0.028371477127075193,0.03310005664825439,0.0378286361694336,0.04255721569061279,0.04728579521179199,0.04728579521179199,0.04728579521179199,0.0,0.0047285795211792,0.0094571590423584,0.014185738563537597,0.0189143180847168,0.023642897605895996,0.028371477127075193,0.03310005664825439,0.0378286361694336,0.04255721569061279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,165,91,37.0,37.0,1369.0,0.0,0.0,98.4,105.8,113.2,120.6,128.0,135.4,142.8,150.2,157.6,128.0,165,91,37.0,37.0,1369.0,0.0,0.0,98.4,105.8,113.2,120.6,128.0,135.4,142.8,150.2,157.6,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('175.27.57.169', '192.168.137.209', 443, 54518, 'TCP')",WeChat37.pcap
