inbound_pkt_count,outbound_pkt_count,total_pkt_count,inbound_pkt_percent,outbound_pkt_percent,inbound_bytes,outbound_bytes,duration,interaction_pattern_0,interaction_pattern_1,interaction_pattern_2,interaction_pattern_3,interaction_pattern_4,interaction_pattern_5,interaction_pattern_6,interaction_pattern_7,interaction_pattern_8,interaction_pattern_9,interaction_pattern_10,interaction_pattern_11,interaction_pattern_12,interaction_pattern_13,interaction_pattern_14,interaction_pattern_15,interaction_pattern_16,interaction_pattern_17,interaction_pattern_18,interaction_pattern_19,pkt_rate_mean,pkt_rate_max,pkt_rate_min,pkt_rate_median,pkt_rate_std,bidirectional_interval_mean,bidirectional_interval_max,bidirectional_interval_min,bidirectional_interval_std,bidirectional_rel_time_p10,bidirectional_rel_time_p20,bidirectional_rel_time_p30,bidirectional_rel_time_p40,bidirectional_rel_time_p50,bidirectional_rel_time_p60,bidirectional_rel_time_p70,bidirectional_rel_time_p80,bidirectional_rel_time_p90,inbound_interval_mean,inbound_interval_max,inbound_interval_min,inbound_interval_std,inbound_rel_time_p10,inbound_rel_time_p20,inbound_rel_time_p30,inbound_rel_time_p40,inbound_rel_time_p50,inbound_rel_time_p60,inbound_rel_time_p70,inbound_rel_time_p80,inbound_rel_time_p90,outbound_interval_mean,outbound_interval_max,outbound_interval_min,outbound_interval_std,outbound_rel_time_p10,outbound_rel_time_p20,outbound_rel_time_p30,outbound_rel_time_p40,outbound_rel_time_p50,outbound_rel_time_p60,outbound_rel_time_p70,outbound_rel_time_p80,outbound_rel_time_p90,bidirectional_size_mean,bidirectional_size_max,bidirectional_size_min,bidirectional_size_mad,bidirectional_size_std,bidirectional_size_var,bidirectional_size_skew,bidirectional_size_kurtosis,bidirectional_size_p10,bidirectional_size_p20,bidirectional_size_p30,bidirectional_size_p40,bidirectional_size_p50,bidirectional_size_p60,bidirectional_size_p70,bidirectional_size_p80,bidirectional_size_p90,inbound_size_mean,inbound_size_max,inbound_size_min,inbound_size_mad,inbound_size_std,inbound_size_var,inbound_size_skew,inbound_size_kurtosis,inbound_size_p10,inbound_size_p20,inbound_size_p30,inbound_size_p40,inbound_size_p50,inbound_size_p60,inbound_size_p70,inbound_size_p80,inbound_size_p90,outbound_size_mean,outbound_size_max,outbound_size_min,outbound_size_mad,outbound_size_std,outbound_size_var,outbound_size_skew,outbound_size_kurtosis,outbound_size_p10,outbound_size_p20,outbound_size_p30,outbound_size_p40,outbound_size_p50,outbound_size_p60,outbound_size_p70,outbound_size_p80,outbound_size_p90,protocol,flow_key,pcap_file
0,1,1,0.0,1.0,0,91,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,91,91,0.0,0.0,0.0,0.0,0.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,91,91,0.0,0.0,0.0,0.0,0.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,UDP,"('192.168.137.162', '192.168.137.1', 56351, 53, 'UDP')",Whatsapp40.pcap
1,0,1,1.0,0.0,430,0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,430,430,0.0,0.0,0.0,0.0,0.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430,430,0.0,0.0,0.0,0.0,0.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP,"('192.168.137.1', '192.168.137.162', 53, 56351, 'UDP')",Whatsapp40.pcap
0,8,8,0.0,1.0,0,3318,14.824890851974487,1,1,1,2,2,3,3,3,4,4,5,5,5,6,6,7,7,7,8,8,0.5333333333333333,7,0,0.0,1.746106780494506,2.1178415502820696,14.524520874023438,0.001077890396118164,5.065118112672755,0.053486871719360354,0.11441822052001954,0.1785438299179077,0.2283348560333252,0.24315893650054932,0.2439725875854492,0.24472711086273194,0.2781559467315674,4.657726240158079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1178415502820696,14.524520874023438,0.001077890396118164,5.065118112672755,0.053486871719360354,0.11441822052001954,0.1785438299179077,0.2283348560333252,0.24315893650054932,0.2439725875854492,0.24472711086273194,0.2781559467315674,4.657726240158079,414.75,1466,70,312.5,458.43940439277253,210166.6875,1.3614940832546916,0.604651803804972,84.0,101.60000000000001,120.1,127.8,141.0,238.20000000000007,539.8999999999997,658.0000000000001,935.3999999999999,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.75,1466,70,312.5,458.43940439277253,210166.6875,1.3614940832546916,0.604651803804972,84.0,101.60000000000001,120.1,127.8,141.0,238.20000000000007,539.8999999999997,658.0000000000001,935.3999999999999,TCP,"('192.168.137.162', '202.104.44.143', 60778, 27101, 'TCP')",Whatsapp40.pcap
7,0,7,1.0,0.0,4128,0,0.411653995513916,-1,-1,-1,-2,-2,-2,-3,-3,-3,-4,-4,-4,-5,-5,-5,-6,-6,-6,-7,-7,7.0,7,7,7.0,0.0,0.06860899925231934,0.17712688446044922,2.5033950805664062e-05,0.07622151323131328,0.09842934608459473,0.16405391693115234,0.16406893730163574,0.19182834625244144,0.2334599494934082,0.2334749698638916,0.23369340896606444,0.23431868553161622,0.30537786483764656,0.06860899925231934,0.17712688446044922,2.5033950805664062e-05,0.07622151323131328,0.09842934608459473,0.16405391693115234,0.16406893730163574,0.19182834625244144,0.2334599494934082,0.2334749698638916,0.23369340896606444,0.23431868553161622,0.30537786483764656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.7142857142857,1466,132,369.57142857142856,472.99644042324593,223725.63265306124,0.8106670022323323,-0.8497994071827462,150.0,181.4,239.6,329.4000000000001,435.0,511.79999999999995,672.5999999999996,1001.4000000000004,1253.0,589.7142857142857,1466,132,369.57142857142856,472.99644042324593,223725.63265306124,0.8106670022323323,-0.8497994071827462,150.0,181.4,239.6,329.4000000000001,435.0,511.79999999999995,672.5999999999996,1001.4000000000004,1253.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('202.104.44.143', '192.168.137.162', 27101, 60778, 'TCP')",Whatsapp40.pcap
0,48,48,0.0,1.0,0,12473,13.546725988388062,1,3,5,8,10,13,15,17,20,22,25,27,29,32,34,37,39,41,44,46,3.4285714285714284,9,0,2.0,3.1102201510110343,0.2882282125188949,3.392259120941162,0.00506901741027832,0.5359809605085699,0.5537661790847779,2.9276956081390395,6.905667805671691,7.704632520675659,8.055568933486938,8.637585544586182,9.318175673484802,10.420394372940063,11.876602697372437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2882282125188949,3.392259120941162,0.00506901741027832,0.5359809605085699,0.5537661790847779,2.9276956081390395,6.905667805671691,7.704632520675659,8.055568933486938,8.637585544586182,9.318175673484802,10.420394372940063,11.876602697372437,259.8541666666667,1224,130,91.64583333333333,182.8709688076237,33441.79123263888,3.446403255175062,14.048141996062657,143.0,147.0,200.0,200.0,200.0,223.2,227.9,304.0,394.0000000000005,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.8541666666667,1224,130,91.64583333333333,182.8709688076237,33441.79123263888,3.446403255175062,14.048141996062657,143.0,147.0,200.0,200.0,200.0,223.2,227.9,304.0,394.0000000000005,TCP,"('192.168.137.162', '202.104.44.143', 60780, 27101, 'TCP')",Whatsapp40.pcap
81,0,81,1.0,0.0,31081,0,13.156702041625977,-1,-5,-9,-13,-17,-21,-25,-29,-33,-37,-41,-45,-49,-53,-57,-61,-65,-69,-73,-77,5.785714285714286,18,0,4.0,5.990213106495001,0.1644587755203247,4.1734020709991455,2.09808349609375e-05,0.4838932067053929,0.7376229763031006,0.9613640308380127,7.06673002243042,7.869390964508057,8.116025924682617,8.66803503036499,9.53801703453064,10.627710103988647,11.530097007751465,0.1644587755203247,4.1734020709991455,2.09808349609375e-05,0.4838932067053929,0.7376229763031006,0.9613640308380127,7.06673002243042,7.869390964508057,8.116025924682617,8.66803503036499,9.53801703453064,10.627710103988647,11.530097007751465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.71604938271605,1466,75,229.8395061728395,368.1872924681267,135561.8823350099,1.8270723124332848,2.387376872189943,136.0,145.0,145.0,197.0,200.0,336.0,336.0,549.0,915.0,383.71604938271605,1466,75,229.8395061728395,368.1872924681267,135561.8823350099,1.8270723124332848,2.387376872189943,136.0,145.0,145.0,197.0,200.0,336.0,336.0,549.0,915.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('202.104.44.143', '192.168.137.162', 27101, 60780, 'TCP')",Whatsapp40.pcap
0,8,8,0.0,1.0,0,2373,12.782835006713867,1,1,1,2,2,3,3,3,4,4,5,5,5,6,6,7,7,7,8,8,0.6153846153846154,7,0,0.0,1.8621105287554163,1.8261192866734095,12.32354998588562,0.05800795555114746,4.285580935078191,0.054587364196777344,0.11577234268188477,0.17999272346496584,0.23273625373840334,0.2768254280090332,0.3174466133117676,0.3580521821975708,0.4211122035980225,4.156350016593931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8261192866734095,12.32354998588562,0.05800795555114746,4.285580935078191,0.054587364196777344,0.11577234268188477,0.17999272346496584,0.23273625373840334,0.2768254280090332,0.3174466133117676,0.3580521821975708,0.4211122035980225,4.156350016593931,296.625,711,90,173.875,219.55462731402406,48204.234375,0.8561588193756615,-0.8333569831533287,110.3,123.4,132.2,147.6,189.5,253.8,347.5999999999999,494.2000000000001,621.4,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.625,711,90,173.875,219.55462731402406,48204.234375,0.8561588193756615,-0.8333569831533287,110.3,123.4,132.2,147.6,189.5,253.8,347.5999999999999,494.2000000000001,621.4,TCP,"('192.168.137.162', '202.104.44.143', 60782, 27101, 'TCP')",Whatsapp40.pcap
11,0,11,1.0,0.0,6865,0,0.45725297927856445,-1,-1,-2,-2,-3,-3,-4,-4,-5,-5,-6,-7,-7,-8,-8,-9,-9,-10,-10,-11,11.0,11,11,11.0,0.0,0.04572529792785644,0.17450594902038574,1.5974044799804688e-05,0.0639211799243519,0.17450594902038574,0.17452192306518555,0.2396070957183838,0.23962903022766113,0.29756999015808105,0.3017909526824951,0.301861047744751,0.301893949508667,0.45584797859191895,0.04572529792785644,0.17450594902038574,1.5974044799804688e-05,0.0639211799243519,0.17450594902038574,0.17452192306518555,0.2396070957183838,0.23962903022766113,0.29756999015808105,0.3017909526824951,0.301861047744751,0.301893949508667,0.45584797859191895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.0909090909091,1466,119,445.6363636363636,534.2948546781422,285470.9917355371,0.5073932233500165,-1.5784508716823682,123.0,132.0,162.0,259.0,373.0,435.0,1218.0,1274.0,1304.0,624.0909090909091,1466,119,445.6363636363636,534.2948546781422,285470.9917355371,0.5073932233500165,-1.5784508716823682,123.0,132.0,162.0,259.0,373.0,435.0,1218.0,1274.0,1304.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('202.104.44.143', '192.168.137.162', 27101, 60782, 'TCP')",Whatsapp40.pcap
0,1,1,0.0,1.0,0,126,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,126,126,0.0,0.0,0.0,0.0,0.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,126,126,0.0,0.0,0.0,0.0,0.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,UDP,"('192.168.137.162', '224.0.0.251', 5353, 5353, 'UDP')",Whatsapp40.pcap
0,1,1,0.0,1.0,0,778,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.0,778,778,0.0,0.0,0.0,0.0,0.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.0,778,778,0.0,0.0,0.0,0.0,0.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,778.0,TCP,"('192.168.137.162', '175.27.57.28', 60784, 80, 'TCP')",Whatsapp40.pcap
