inbound_pkt_count,outbound_pkt_count,total_pkt_count,inbound_pkt_percent,outbound_pkt_percent,inbound_bytes,outbound_bytes,duration,interaction_pattern_0,interaction_pattern_1,interaction_pattern_2,interaction_pattern_3,interaction_pattern_4,interaction_pattern_5,interaction_pattern_6,interaction_pattern_7,interaction_pattern_8,interaction_pattern_9,interaction_pattern_10,interaction_pattern_11,interaction_pattern_12,interaction_pattern_13,interaction_pattern_14,interaction_pattern_15,interaction_pattern_16,interaction_pattern_17,interaction_pattern_18,interaction_pattern_19,pkt_rate_mean,pkt_rate_max,pkt_rate_min,pkt_rate_median,pkt_rate_std,bidirectional_interval_mean,bidirectional_interval_max,bidirectional_interval_min,bidirectional_interval_std,bidirectional_rel_time_p10,bidirectional_rel_time_p20,bidirectional_rel_time_p30,bidirectional_rel_time_p40,bidirectional_rel_time_p50,bidirectional_rel_time_p60,bidirectional_rel_time_p70,bidirectional_rel_time_p80,bidirectional_rel_time_p90,inbound_interval_mean,inbound_interval_max,inbound_interval_min,inbound_interval_std,inbound_rel_time_p10,inbound_rel_time_p20,inbound_rel_time_p30,inbound_rel_time_p40,inbound_rel_time_p50,inbound_rel_time_p60,inbound_rel_time_p70,inbound_rel_time_p80,inbound_rel_time_p90,outbound_interval_mean,outbound_interval_max,outbound_interval_min,outbound_interval_std,outbound_rel_time_p10,outbound_rel_time_p20,outbound_rel_time_p30,outbound_rel_time_p40,outbound_rel_time_p50,outbound_rel_time_p60,outbound_rel_time_p70,outbound_rel_time_p80,outbound_rel_time_p90,bidirectional_size_mean,bidirectional_size_max,bidirectional_size_min,bidirectional_size_mad,bidirectional_size_std,bidirectional_size_var,bidirectional_size_skew,bidirectional_size_kurtosis,bidirectional_size_p10,bidirectional_size_p20,bidirectional_size_p30,bidirectional_size_p40,bidirectional_size_p50,bidirectional_size_p60,bidirectional_size_p70,bidirectional_size_p80,bidirectional_size_p90,inbound_size_mean,inbound_size_max,inbound_size_min,inbound_size_mad,inbound_size_std,inbound_size_var,inbound_size_skew,inbound_size_kurtosis,inbound_size_p10,inbound_size_p20,inbound_size_p30,inbound_size_p40,inbound_size_p50,inbound_size_p60,inbound_size_p70,inbound_size_p80,inbound_size_p90,outbound_size_mean,outbound_size_max,outbound_size_min,outbound_size_mad,outbound_size_std,outbound_size_var,outbound_size_skew,outbound_size_kurtosis,outbound_size_p10,outbound_size_p20,outbound_size_p30,outbound_size_p40,outbound_size_p50,outbound_size_p60,outbound_size_p70,outbound_size_p80,outbound_size_p90,flow_key,pcap_file
0,71,71,0.0,1.0,0,55676,11.954097986221313,1,4,8,11,15,18,22,25,29,32,36,40,43,47,50,54,57,61,64,68,5.916666666666667,26,0,4.0,7.170057337443141,0.17077282837459018,3.424118995666504,0.0,0.5875840914343498,0.13280296325683594,0.13295602798461914,0.19978690147399902,2.161406993865967,4.82177996635437,4.835683822631836,8.58598780632019,9.89761996269226,10.383836030960083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17077282837459018,3.424118995666504,0.0,0.5875840914343498,0.13280296325683594,0.13295602798461914,0.19978690147399902,2.161406993865967,4.82177996635437,4.835683822631836,8.58598780632019,9.89761996269226,10.383836030960083,784.169014084507,1466,89,464.84507042253523,537.0129168303962,288382.87284269,0.1668161449899728,-1.5628935621458606,128.0,147.0,335.0,571.0,690.0,763.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.169014084507,1466,89,464.84507042253523,537.0129168303962,288382.87284269,0.1668161449899728,-1.5628935621458606,128.0,147.0,335.0,571.0,690.0,763.0,1466.0,1466.0,1466.0,"('192.168.137.209', '43.137.152.223', 54172, 443, 'TCP')",QQMusic20.pcap
0,4,4,0.0,1.0,0,1428,0.13295602798461914,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4.0,4,4,4.0,0.0,0.04431867599487305,0.07079887390136719,0.0,0.03153599648874921,0.02123966217041016,0.042479324340820315,0.06371898651123047,0.0832303047180176,0.10187745094299316,0.12052459716796873,0.13295602798461914,0.13295602798461914,0.13295602798461914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04431867599487305,0.07079887390136719,0.0,0.03153599648874921,0.02123966217041016,0.042479324340820315,0.06371898651123047,0.0832303047180176,0.10187745094299316,0.12052459716796873,0.13295602798461914,0.13295602798461914,0.13295602798461914,357.0,585,92,221.0,223.2341819704142,49833.5,-0.05623068152529969,-1.9215628937536267,118.4,144.8,171.2,258.20000000000005,375.5,492.79999999999995,572.4,576.6,580.8,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,585,92,221.0,223.2341819704142,49833.5,-0.05623068152529969,-1.9215628937536267,118.4,144.8,171.2,258.20000000000005,375.5,492.79999999999995,572.4,576.6,580.8,"('192.168.137.209', '43.137.153.28', 54174, 443, 'TCP')",QQMusic20.pcap
0,5,5,0.0,1.0,0,1349,0.11928606033325195,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5.0,5,5,5.0,0.0,0.02982151508331299,0.059805870056152344,0.0,0.029821737378614856,0.023792076110839847,0.04758415222167969,0.07144136428833008,0.09536371231079102,0.11928606033325195,0.11928606033325195,0.11928606033325195,0.11928606033325195,0.11928606033325195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02982151508331299,0.059805870056152344,0.0,0.029821737378614856,0.023792076110839847,0.04758415222167969,0.07144136428833008,0.09536371231079102,0.11928606033325195,0.11928606033325195,0.11928606033325195,0.11928606033325195,0.11928606033325195,269.8,571,92,135.2,172.34546701320576,29702.96,0.7752326229453017,-0.8421992343098936,114.0,136.0,156.6,175.8,195.0,254.6,314.2,389.40000000000003,480.20000000000005,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.8,571,92,135.2,172.34546701320576,29702.96,0.7752326229453017,-0.8421992343098936,114.0,136.0,156.6,175.8,195.0,254.6,314.2,389.40000000000003,480.20000000000005,"('192.168.137.209', '43.137.152.74', 54173, 443, 'TCP')",QQMusic20.pcap
68,0,68,1.0,0.0,23027,0,12.013263940811157,-1,-4,-7,-11,-14,-18,-21,-24,-28,-31,-35,-38,-41,-45,-48,-52,-55,-58,-62,-65,5.230769230769231,25,0,4.0,6.446869796848296,0.17930244687777847,3.3589529991149902,5.0067901611328125e-06,0.5737049566912603,0.2253195524215698,0.25340094566345217,0.2814774513244626,2.279386043548584,4.920213937759399,5.025029802322388,8.694679784774781,9.95163016319275,10.448225212097167,0.17930244687777847,3.3589529991149902,5.0067901611328125e-06,0.5737049566912603,0.2253195524215698,0.25340094566345217,0.2814774513244626,2.279386043548584,4.920213937759399,5.025029802322388,8.694679784774781,9.95163016319275,10.448225212097167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.63235294117646,1458,92,245.22058823529412,453.56810580148374,205724.02660034597,1.7326763765783286,1.1897215915841093,92.0,92.0,92.0,96.0,100.5,184.9999999999999,205.0,227.20000000000005,1273.8000000000002,338.63235294117646,1458,92,245.22058823529412,453.56810580148374,205724.02660034597,1.7326763765783286,1.1897215915841093,92.0,92.0,92.0,96.0,100.5,184.9999999999999,205.0,227.20000000000005,1273.8000000000002,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('43.137.152.223', '192.168.137.209', 443, 54172, 'TCP')",QQMusic20.pcap
11,0,11,1.0,0.0,9631,0,0.24272584915161133,-1,-1,-2,-2,-3,-3,-4,-4,-5,-5,-6,-7,-7,-8,-8,-9,-9,-10,-10,-11,11.0,11,11,11.0,0.0,0.024272584915161134,0.11299395561218262,5.0067901611328125e-06,0.03903063073414842,7.867813110351562e-06,1.5020370483398438e-05,2.193450927734375e-05,0.06965398788452148,0.07048201560974121,0.1297149658203125,0.24270892143249512,0.24271488189697266,0.2427198886871338,0.024272584915161134,0.11299395561218262,5.0067901611328125e-06,0.03903063073414842,7.867813110351562e-06,1.5020370483398438e-05,2.193450927734375e-05,0.06965398788452148,0.07048201560974121,0.1297149658203125,0.24270892143249512,0.24271488189697266,0.2427198886871338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875.5454545454545,1466,92,572.4545454545455,628.8480613769281,395449.8842975206,-0.2824284144637087,-1.8008498501166086,92.0,105.0,123.0,621.0,1268.0,1466.0,1466.0,1466.0,1466.0,875.5454545454545,1466,92,572.4545454545455,628.8480613769281,395449.8842975206,-0.2824284144637087,-1.8008498501166086,92.0,105.0,123.0,621.0,1268.0,1466.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('43.137.153.28', '192.168.137.209', 443, 54174, 'TCP')",QQMusic20.pcap
9,0,9,1.0,0.0,5160,0,0.1992959976196289,-1,-1,-1,-2,-2,-3,-3,-4,-4,-5,-5,-5,-6,-6,-7,-7,-8,-8,-9,-9,9.0,9,9,9.0,0.0,0.024911999702453613,0.08430600166320801,5.0067901611328125e-06,0.03312176422906292,6.2942504882812505e-06,1.3303756713867189e-05,1.8930435180664064e-05,0.010790109634399424,0.053862810134887695,0.05386929512023926,0.0905393600463867,0.148707389831543,0.1992919921875,0.024911999702453613,0.08430600166320801,5.0067901611328125e-06,0.03312176422906292,6.2942504882812505e-06,1.3303756713867189e-05,1.8930435180664064e-05,0.010790109634399424,0.053862810134887695,0.05386929512023926,0.0905393600463867,0.148707389831543,0.1992919921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.3333333333334,1458,85,473.6666666666667,605.5873182291716,366736.0,0.6544895041285997,-1.4938694827740333,90.6,99.8,105.0,108.60000000000001,123.0,338.19999999999993,961.9999999999997,1388.4,1458.0,573.3333333333334,1458,85,473.6666666666667,605.5873182291716,366736.0,0.6544895041285997,-1.4938694827740333,90.6,99.8,105.0,108.60000000000001,123.0,338.19999999999993,961.9999999999997,1388.4,1458.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('43.137.152.74', '192.168.137.209', 443, 54173, 'TCP')",QQMusic20.pcap
0,4,4,0.0,1.0,0,1120,0.06247091293334961,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4.0,4,4,4.0,0.0,0.02082363764444987,0.0314638614654541,0.0020971298217773438,0.013282625834140348,0.009439158439636232,0.018878316879272463,0.02831747531890869,0.03188328742980957,0.03251242637634277,0.033141565322875974,0.03645198345184325,0.04512495994567872,0.053797936439514166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02082363764444987,0.0314638614654541,0.0020971298217773438,0.013282625834140348,0.009439158439636232,0.018878316879272463,0.02831747531890869,0.03188328742980957,0.03251242637634277,0.033141565322875974,0.03645198345184325,0.04512495994567872,0.053797936439514166,280.0,571,85,170.5,191.39096112408234,36630.5,0.5077975574328703,-1.3087200009995725,99.7,114.4,129.1,173.20000000000005,232.0,290.79999999999995,354.0999999999999,426.4000000000001,498.70000000000005,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,571,85,170.5,191.39096112408234,36630.5,0.5077975574328703,-1.3087200009995725,99.7,114.4,129.1,173.20000000000005,232.0,290.79999999999995,354.0999999999999,426.4000000000001,498.70000000000005,"('192.168.137.209', '43.141.100.85', 54178, 443, 'TCP')",QQMusic20.pcap
0,4,4,0.0,1.0,0,1120,0.09599900245666504,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4.0,4,4,4.0,0.0,0.031999667485555015,0.0721430778503418,0.0017287731170654297,0.029582016010188065,0.021642923355102543,0.043285846710205085,0.06492877006530762,0.07248883247375489,0.07300746440887451,0.07352609634399414,0.076084566116333,0.08272271156311035,0.0893608570098877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031999667485555015,0.0721430778503418,0.0017287731170654297,0.029582016010188065,0.021642923355102543,0.043285846710205085,0.06492877006530762,0.07248883247375489,0.07300746440887451,0.07352609634399414,0.076084566116333,0.08272271156311035,0.0893608570098877,280.0,571,85,170.5,191.39096112408234,36630.5,0.5077975574328703,-1.3087200009995725,99.7,114.4,129.1,173.20000000000005,232.0,290.79999999999995,354.0999999999999,426.4000000000001,498.70000000000005,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,571,85,170.5,191.39096112408234,36630.5,0.5077975574328703,-1.3087200009995725,99.7,114.4,129.1,173.20000000000005,232.0,290.79999999999995,354.0999999999999,426.4000000000001,498.70000000000005,"('192.168.137.209', '43.141.100.225', 54179, 443, 'TCP')",QQMusic20.pcap
0,5,5,0.0,1.0,0,1607,0.11821699142456055,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5.0,5,5,5.0,0.0,0.029554247856140137,0.06228899955749512,0.0,0.02963969245280519,0.024915599822998048,0.049831199645996097,0.0734745979309082,0.09584579467773438,0.11821699142456055,0.11821699142456055,0.11821699142456055,0.11821699142456055,0.11821699142456055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029554247856140137,0.06228899955749512,0.0,0.02963969245280519,0.024915599822998048,0.049831199645996097,0.0734745979309082,0.09584579467773438,0.11821699142456055,0.11821699142456055,0.11821699142456055,0.11821699142456055,0.11821699142456055,321.4,571,92,155.4,179.7516063905967,32310.640000000003,0.0031177535619659976,-1.5038011025389446,114.0,136.0,188.0,270.0,352.0,389.2,426.4,470.20000000000005,520.6,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.4,571,92,155.4,179.7516063905967,32310.640000000003,0.0031177535619659976,-1.5038011025389446,114.0,136.0,188.0,270.0,352.0,389.2,426.4,470.20000000000005,520.6,"('192.168.137.209', '157.255.220.153', 54175, 443, 'TCP')",QQMusic20.pcap
0,3,3,0.0,1.0,0,1168,0.10420799255371094,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3.0,3,3,3.0,0.0,0.05210399627685547,0.06228899955749512,0.04191899299621582,0.010185003280639648,0.012457799911499024,0.024915599822998048,0.03737339973449707,0.049831199645996097,0.06228899955749512,0.07067279815673828,0.07905659675598144,0.08744039535522462,0.09582419395446777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05210399627685547,0.06228899955749512,0.04191899299621582,0.010185003280639648,0.012457799911499024,0.024915599822998048,0.03737339973449707,0.049831199645996097,0.06228899955749512,0.07067279815673828,0.07905659675598144,0.08744039535522462,0.09582419395446777,389.3333333333333,571,147,141.33333333333334,178.33364485954098,31802.88888888889,-0.47091083068090345,0.0,207.6,268.2,328.8,389.40000000000003,450.0,474.2,498.4,522.6,546.8,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.3333333333333,571,147,141.33333333333334,178.33364485954098,31802.88888888889,-0.47091083068090345,0.0,207.6,268.2,328.8,389.40000000000003,450.0,474.2,498.4,522.6,546.8,"('192.168.137.209', '175.27.6.29', 54177, 443, 'TCP')",QQMusic20.pcap
