inbound_pkt_count,outbound_pkt_count,total_pkt_count,inbound_pkt_percent,outbound_pkt_percent,inbound_bytes,outbound_bytes,duration,interaction_pattern_0,interaction_pattern_1,interaction_pattern_2,interaction_pattern_3,interaction_pattern_4,interaction_pattern_5,interaction_pattern_6,interaction_pattern_7,interaction_pattern_8,interaction_pattern_9,interaction_pattern_10,interaction_pattern_11,interaction_pattern_12,interaction_pattern_13,interaction_pattern_14,interaction_pattern_15,interaction_pattern_16,interaction_pattern_17,interaction_pattern_18,interaction_pattern_19,pkt_rate_mean,pkt_rate_max,pkt_rate_min,pkt_rate_median,pkt_rate_std,bidirectional_interval_mean,bidirectional_interval_max,bidirectional_interval_min,bidirectional_interval_std,bidirectional_rel_time_p10,bidirectional_rel_time_p20,bidirectional_rel_time_p30,bidirectional_rel_time_p40,bidirectional_rel_time_p50,bidirectional_rel_time_p60,bidirectional_rel_time_p70,bidirectional_rel_time_p80,bidirectional_rel_time_p90,inbound_interval_mean,inbound_interval_max,inbound_interval_min,inbound_interval_std,inbound_rel_time_p10,inbound_rel_time_p20,inbound_rel_time_p30,inbound_rel_time_p40,inbound_rel_time_p50,inbound_rel_time_p60,inbound_rel_time_p70,inbound_rel_time_p80,inbound_rel_time_p90,outbound_interval_mean,outbound_interval_max,outbound_interval_min,outbound_interval_std,outbound_rel_time_p10,outbound_rel_time_p20,outbound_rel_time_p30,outbound_rel_time_p40,outbound_rel_time_p50,outbound_rel_time_p60,outbound_rel_time_p70,outbound_rel_time_p80,outbound_rel_time_p90,bidirectional_size_mean,bidirectional_size_max,bidirectional_size_min,bidirectional_size_mad,bidirectional_size_std,bidirectional_size_var,bidirectional_size_skew,bidirectional_size_kurtosis,bidirectional_size_p10,bidirectional_size_p20,bidirectional_size_p30,bidirectional_size_p40,bidirectional_size_p50,bidirectional_size_p60,bidirectional_size_p70,bidirectional_size_p80,bidirectional_size_p90,inbound_size_mean,inbound_size_max,inbound_size_min,inbound_size_mad,inbound_size_std,inbound_size_var,inbound_size_skew,inbound_size_kurtosis,inbound_size_p10,inbound_size_p20,inbound_size_p30,inbound_size_p40,inbound_size_p50,inbound_size_p60,inbound_size_p70,inbound_size_p80,inbound_size_p90,outbound_size_mean,outbound_size_max,outbound_size_min,outbound_size_mad,outbound_size_std,outbound_size_var,outbound_size_skew,outbound_size_kurtosis,outbound_size_p10,outbound_size_p20,outbound_size_p30,outbound_size_p40,outbound_size_p50,outbound_size_p60,outbound_size_p70,outbound_size_p80,outbound_size_p90,protocol,flow_key,pcap_file
0,15,15,0.0,1.0,0,1255,11.792756080627441,1,1,2,3,4,4,5,6,7,7,8,9,10,10,11,12,13,13,14,15,1.25,9,0,0.5,2.419538523492996,0.8423397200448173,5.279107093811035,0.0,1.4638839510656487,0.012682437896728519,0.033830881118774414,0.18638510704040534,0.5157528400421143,0.7816300392150879,1.0691819190979006,2.2417415618896475,5.732472848892213,6.433298206329345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8423397200448173,5.279107093811035,0.0,1.4638839510656487,0.012682437896728519,0.033830881118774414,0.18638510704040534,0.5157528400421143,0.7816300392150879,1.0691819190979006,2.2417415618896475,5.732472848892213,6.433298206329345,83.66666666666667,94,73,4.0,5.198290317231448,27.02222222222223,0.03933901370556495,-0.23956079033933708,78.4,79.0,81.4,83.0,83.0,84.4,85.8,87.4,90.2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.66666666666667,94,73,4.0,5.198290317231448,27.02222222222223,0.03933901370556495,-0.23956079033933708,78.4,79.0,81.4,83.0,83.0,84.4,85.8,87.4,90.2,UDP,"('192.168.137.162', '192.168.137.1', 64579, 53, 'UDP')",Spotify28.pcap
15,0,15,1.0,0.0,7225,0,11.828986883163452,-1,-1,-2,-3,-4,-4,-5,-6,-7,-7,-8,-9,-10,-10,-11,-12,-13,-13,-14,-15,1.25,9,0,0.5,2.419538523492996,0.8449276345116752,5.221446990966797,0.0011069774627685547,1.4197918141365018,0.05872335433959962,0.10890564918518067,0.22398118972778325,0.5385041236877443,0.8829259872436523,1.2063852310180667,2.5417086124420156,5.782088994979859,6.604937124252319,0.8449276345116752,5.221446990966797,0.0011069774627685547,1.4197918141365018,0.05872335433959962,0.10890564918518067,0.22398118972778325,0.5385041236877443,0.8829259872436523,1.2063852310180667,2.5417086124420156,5.782088994979859,6.604937124252319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.6666666666667,595,344,66.33333333333333,76.81030023520428,5899.822222222223,-0.40128700332373507,-1.0143907714765694,371.6,414.8,435.0,465.2,484.0,529.8,544.8,550.0,558.4,481.6666666666667,595,344,66.33333333333333,76.81030023520428,5899.822222222223,-0.40128700332373507,-1.0143907714765694,371.6,414.8,435.0,465.2,484.0,529.8,544.8,550.0,558.4,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP,"('192.168.137.1', '192.168.137.162', 53, 64579, 'UDP')",Spotify28.pcap
0,73,73,0.0,1.0,0,58446,13.520079851150513,1,4,8,11,15,19,22,26,30,33,37,41,44,48,52,55,59,63,66,70,5.214285714285714,26,0,0.0,8.873544721156668,0.1877788868215349,5.590153932571411,0.0,0.8325489290138716,0.7297723770141602,0.7350120544433594,0.7708362102508544,1.0851869583129883,1.0851869583129883,1.2106137275695799,3.5961319446563658,7.208515977859498,13.460118055343628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1877788868215349,5.590153932571411,0.0,0.8325489290138716,0.7297723770141602,0.7350120544433594,0.7708362102508544,1.0851869583129883,1.0851869583129883,1.2106137275695799,3.5961319446563658,7.208515977859498,13.460118055343628,800.6301369863014,1466,116,405.3150684931507,502.01946987428477,252023.5481328579,0.083826600486683,-1.3128611668589028,127.0,128.2,529.0,736.0,736.0,736.0,1148.5999999999997,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.6301369863014,1466,116,405.3150684931507,502.01946987428477,252023.5481328579,0.083826600486683,-1.3128611668589028,127.0,128.2,529.0,736.0,736.0,736.0,1148.5999999999997,1466.0,1466.0,TCP,"('192.168.137.162', '183.2.150.90', 64387, 27101, 'TCP')",Spotify28.pcap
0,11,11,0.0,1.0,0,5467,13.554342985153198,1,1,2,2,3,3,4,4,5,5,6,7,7,8,8,9,9,10,10,11,0.7857142857142857,7,0,0.0,1.8965597210502507,1.3554342985153198,12.378865957260132,0.0,3.6825109128196205,0.09075498580932617,0.18622493743896484,0.2631049156188965,0.2650759220123291,0.2650759220123291,0.32616090774536133,12.705026865005493,12.707251787185669,12.707251787185669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3554342985153198,12.378865957260132,0.0,3.6825109128196205,0.09075498580932617,0.18622493743896484,0.2631049156188965,0.2650759220123291,0.2650759220123291,0.32616090774536133,12.705026865005493,12.707251787185669,12.707251787185669,497.0,1466,90,362.27272727272725,496.27466735120123,246288.54545454544,1.1529927788689516,-0.2006135506217559,119.0,130.0,141.0,152.0,218.0,391.0,583.0,711.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,1466,90,362.27272727272725,496.27466735120123,246288.54545454544,1.1529927788689516,-0.2006135506217559,119.0,130.0,141.0,152.0,218.0,391.0,583.0,711.0,1466.0,TCP,"('192.168.137.162', '202.104.44.143', 64392, 27101, 'TCP')",Spotify28.pcap
0,9,9,0.0,1.0,0,3496,13.553339004516602,1,1,1,2,2,3,3,4,4,5,5,5,6,6,7,7,8,8,9,9,0.6428571428571429,8,0,0.0,2.056597149841138,1.6941673755645752,12.882634162902832,0.0,4.229821488424036,0.060144805908203126,0.13251390457153323,0.2943606376647949,0.4800210475921631,0.4809138774871826,0.4809138774871826,0.51810302734375,0.5940194129943848,3.2472316741943383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6941673755645752,12.882634162902832,0.0,4.229821488424036,0.060144805908203126,0.13251390457153323,0.2943606376647949,0.4800210475921631,0.4809138774871826,0.4809138774871826,0.51810302734375,0.5940194129943848,3.2472316741943383,388.44444444444446,1466,90,272.8888888888889,438.13978264453743,191966.4691358025,1.5558446789666958,1.1942677022481503,113.2,119.0,122.2,127.6,130.0,147.6,410.59999999999985,633.8000000000001,861.2000000000002,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.44444444444446,1466,90,272.8888888888889,438.13978264453743,191966.4691358025,1.5558446789666958,1.1942677022481503,113.2,119.0,122.2,127.6,130.0,147.6,410.59999999999985,633.8000000000001,861.2000000000002,TCP,"('192.168.137.162', '202.104.44.143', 64389, 27101, 'TCP')",Spotify28.pcap
0,8,8,0.0,1.0,0,2240,13.552609205245972,1,1,1,2,2,3,3,3,4,4,5,5,5,6,6,7,7,7,8,8,0.5714285714285714,7,0,0.0,1.801360030416927,1.9360870293208532,13.081098079681396,0.059393882751464844,4.549950924527689,0.05635008811950684,0.11850490570068362,0.18349318504333498,0.23936095237731936,0.28600215911865234,0.32855992317199706,0.37013564109802244,0.43333668708801276,4.395840549468992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9360870293208532,13.081098079681396,0.059393882751464844,4.549950924527689,0.05635008811950684,0.11850490570068362,0.18349318504333498,0.23936095237731936,0.28600215911865234,0.32855992317199706,0.37013564109802244,0.43333668708801276,4.395840549468992,280.0,715,90,163.5,225.63355246948535,50910.5,0.9807745517420198,-0.7074298225337081,110.3,122.2,127.3,129.4,141.0,186.40000000000003,306.7999999999999,479.40000000000015,622.6,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,715,90,163.5,225.63355246948535,50910.5,0.9807745517420198,-0.7074298225337081,110.3,122.2,127.3,129.4,141.0,186.40000000000003,306.7999999999999,479.40000000000015,622.6,TCP,"('192.168.137.162', '202.104.44.143', 64393, 27101, 'TCP')",Spotify28.pcap
55,0,55,1.0,0.0,41097,0,12.925248861312866,-1,-3,-6,-9,-12,-14,-17,-20,-23,-25,-28,-31,-34,-36,-39,-42,-45,-47,-50,-53,4.230769230769231,20,0,0.0,7.234041812620769,0.2393564603946827,5.683639049530029,8.106231689453125e-06,0.9770288772079748,0.29310121536254885,0.7750338077545166,0.8774859428405761,1.1673099517822265,1.1759519577026367,1.240416097640991,1.717166233062744,7.083456134796142,7.156420469284058,0.2393564603946827,5.683639049530029,8.106231689453125e-06,0.9770288772079748,0.29310121536254885,0.7750338077545166,0.8774859428405761,1.1673099517822265,1.1759519577026367,1.240416097640991,1.717166233062744,7.083456134796142,7.156420469284058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.2181818181818,1466,119,508.41818181818184,570.6323029096469,325621.225123967,0.29859889140285845,-1.6836528369454251,127.0,158.2,242.0,395.8,496.0,791.0,1466.0,1466.0,1466.0,747.2181818181818,1466,119,508.41818181818184,570.6323029096469,325621.225123967,0.29859889140285845,-1.6836528369454251,127.0,158.2,242.0,395.8,496.0,791.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('183.2.150.90', '192.168.137.162', 27101, 64387, 'TCP')",Spotify28.pcap
9,0,9,1.0,0.0,7034,0,0.6033129692077637,-1,-1,-1,-2,-2,-3,-3,-4,-4,-5,-5,-5,-6,-6,-7,-7,-8,-8,-9,-9,9.0,9,9,9.0,0.0,0.07541412115097046,0.2165369987487793,1.8835067749023438e-05,0.08335995284457594,0.14195289611816408,0.17746272087097167,0.17749991416931152,0.22084150314331058,0.394071102142334,0.4588574409484863,0.4757338047027588,0.527029848098755,0.6032979011535644,0.07541412115097046,0.2165369987487793,1.8835067749023438e-05,0.08335995284457594,0.14195289611816408,0.17746272087097167,0.17749991416931152,0.22084150314331058,0.394071102142334,0.4588574409484863,0.4757338047027588,0.527029848098755,0.6032979011535644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.5555555555555,1466,119,408.6666666666667,487.98477005176005,238129.13580246916,0.2876660141961356,-1.4055095600099015,227.0,362.6,467.8,554.8000000000001,706.0,740.4,1092.7999999999997,1379.6000000000001,1466.0,781.5555555555555,1466,119,408.6666666666667,487.98477005176005,238129.13580246916,0.2876660141961356,-1.4055095600099015,227.0,362.6,467.8,554.8000000000001,706.0,740.4,1092.7999999999997,1379.6000000000001,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('202.104.44.143', '192.168.137.162', 27101, 64389, 'TCP')",Spotify28.pcap
7,0,7,1.0,0.0,5258,0,0.3963329792022705,-1,-1,-1,-2,-2,-2,-3,-3,-3,-4,-4,-4,-5,-5,-5,-6,-6,-6,-7,-7,7.0,7,7,7.0,0.0,0.06605549653371175,0.17911100387573242,0.00014090538024902344,0.060432063289864994,0.10746660232543948,0.17914299964904784,0.17923898696899415,0.17932734489440919,0.1794118881225586,0.222028112411499,0.262482738494873,0.2986141681671143,0.344927978515625,0.06605549653371175,0.17911100387573242,0.00014090538024902344,0.060432063289864994,0.10746660232543948,0.17914299964904784,0.17923898696899415,0.17932734489440919,0.1794118881225586,0.222028112411499,0.262482738494873,0.2986141681671143,0.344927978515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,751.1428571428571,1466,119,410.0,470.5247613254888,221393.5510204082,0.18456773331984594,-1.3844577668458602,219.8,316.6,405.4,543.4000000000001,706.0,864.9999999999999,1031.5999999999997,1213.4000000000003,1350.8000000000002,751.1428571428571,1466,119,410.0,470.5247613254888,221393.5510204082,0.18456773331984594,-1.3844577668458602,219.8,316.6,405.4,543.4000000000001,706.0,864.9999999999999,1031.5999999999997,1213.4000000000003,1350.8000000000002,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('202.104.44.143', '192.168.137.162', 27101, 64393, 'TCP')",Spotify28.pcap
11,0,11,1.0,0.0,8236,0,12.86830186843872,-1,-1,-2,-2,-3,-3,-4,-4,-5,-5,-6,-7,-7,-8,-8,-9,-9,-10,-10,-11,0.8461538461538461,10,0,0.0,2.655796384866472,1.286830186843872,12.449431896209717,2.193450927734375e-05,3.721485861851867,0.18459391593933105,0.18462395668029785,0.18474602699279785,0.1847679615020752,0.18488097190856934,0.25318002700805664,0.25512194633483887,0.41880297660827637,0.4188699722290039,1.286830186843872,12.449431896209717,2.193450927734375e-05,3.721485861851867,0.18459391593933105,0.18462395668029785,0.18474602699279785,0.1847679615020752,0.18488097190856934,0.25318002700805664,0.25512194633483887,0.41880297660827637,0.4188699722290039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.7272727272727,1466,119,461.1818181818182,519.5277735001436,269909.1074380165,0.24693917959279144,-1.4678596277807354,119.0,216.0,351.0,435.0,683.0,941.0,974.0,1466.0,1466.0,748.7272727272727,1466,119,461.1818181818182,519.5277735001436,269909.1074380165,0.24693917959279144,-1.4678596277807354,119.0,216.0,351.0,435.0,683.0,941.0,974.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('202.104.44.143', '192.168.137.162', 27101, 64392, 'TCP')",Spotify28.pcap
