inbound_pkt_count,outbound_pkt_count,total_pkt_count,inbound_pkt_percent,outbound_pkt_percent,inbound_bytes,outbound_bytes,duration,interaction_pattern_0,interaction_pattern_1,interaction_pattern_2,interaction_pattern_3,interaction_pattern_4,interaction_pattern_5,interaction_pattern_6,interaction_pattern_7,interaction_pattern_8,interaction_pattern_9,interaction_pattern_10,interaction_pattern_11,interaction_pattern_12,interaction_pattern_13,interaction_pattern_14,interaction_pattern_15,interaction_pattern_16,interaction_pattern_17,interaction_pattern_18,interaction_pattern_19,pkt_rate_mean,pkt_rate_max,pkt_rate_min,pkt_rate_median,pkt_rate_std,bidirectional_interval_mean,bidirectional_interval_max,bidirectional_interval_min,bidirectional_interval_std,bidirectional_rel_time_p10,bidirectional_rel_time_p20,bidirectional_rel_time_p30,bidirectional_rel_time_p40,bidirectional_rel_time_p50,bidirectional_rel_time_p60,bidirectional_rel_time_p70,bidirectional_rel_time_p80,bidirectional_rel_time_p90,inbound_interval_mean,inbound_interval_max,inbound_interval_min,inbound_interval_std,inbound_rel_time_p10,inbound_rel_time_p20,inbound_rel_time_p30,inbound_rel_time_p40,inbound_rel_time_p50,inbound_rel_time_p60,inbound_rel_time_p70,inbound_rel_time_p80,inbound_rel_time_p90,outbound_interval_mean,outbound_interval_max,outbound_interval_min,outbound_interval_std,outbound_rel_time_p10,outbound_rel_time_p20,outbound_rel_time_p30,outbound_rel_time_p40,outbound_rel_time_p50,outbound_rel_time_p60,outbound_rel_time_p70,outbound_rel_time_p80,outbound_rel_time_p90,bidirectional_size_mean,bidirectional_size_max,bidirectional_size_min,bidirectional_size_mad,bidirectional_size_std,bidirectional_size_var,bidirectional_size_skew,bidirectional_size_kurtosis,bidirectional_size_p10,bidirectional_size_p20,bidirectional_size_p30,bidirectional_size_p40,bidirectional_size_p50,bidirectional_size_p60,bidirectional_size_p70,bidirectional_size_p80,bidirectional_size_p90,inbound_size_mean,inbound_size_max,inbound_size_min,inbound_size_mad,inbound_size_std,inbound_size_var,inbound_size_skew,inbound_size_kurtosis,inbound_size_p10,inbound_size_p20,inbound_size_p30,inbound_size_p40,inbound_size_p50,inbound_size_p60,inbound_size_p70,inbound_size_p80,inbound_size_p90,outbound_size_mean,outbound_size_max,outbound_size_min,outbound_size_mad,outbound_size_std,outbound_size_var,outbound_size_skew,outbound_size_kurtosis,outbound_size_p10,outbound_size_p20,outbound_size_p30,outbound_size_p40,outbound_size_p50,outbound_size_p60,outbound_size_p70,outbound_size_p80,outbound_size_p90,flow_key,pcap_file
0,26,26,0.0,1.0,0,17501,1.060394048690796,1,2,4,5,6,8,9,10,12,13,14,15,17,18,19,21,22,23,25,26,13.0,24,2,13.0,11.0,0.04241576194763184,0.4019901752471924,0.0,0.0844910126418033,0.06303811073303223,0.10937809944152832,0.4278150796890259,0.7865879535675049,0.8229660987854004,0.8617739677429199,0.8780289888381958,0.9272129535675049,0.9302051067352295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04241576194763184,0.4019901752471924,0.0,0.0844910126418033,0.06303811073303223,0.10937809944152832,0.4278150796890259,0.7865879535675049,0.8229660987854004,0.8617739677429199,0.8780289888381958,0.9272129535675049,0.9302051067352295,673.1153846153846,1466,85,301.96153846153845,414.05874043732535,171444.64053254438,0.8662926516030611,-0.3700932531566701,256.0,444.0,447.0,508.0,555.0,576.0,690.0,928.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.1153846153846,1466,85,301.96153846153845,414.05874043732535,171444.64053254438,0.8662926516030611,-0.3700932531566701,256.0,444.0,447.0,508.0,555.0,576.0,690.0,928.0,1466.0,"('192.168.137.197', '111.124.200.67', 50965, 443, 'TCP')",WangYiyun2.pcap
0,15,15,0.0,1.0,0,6610,1.6905269622802734,1,2,2,3,4,5,5,6,7,8,8,9,10,11,11,12,13,14,14,15,7.5,11,4,7.5,3.5,0.1207519258771624,0.8206191062927246,0.0,0.24875798601912916,0.5880000591278076,0.5880000591278076,0.5880000591278076,0.6230754852294922,0.8652701377868652,0.8666750431060791,0.8689177513122559,1.6898200511932373,1.690244197845459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1207519258771624,0.8206191062927246,0.0,0.24875798601912916,0.5880000591278076,0.5880000591278076,0.5880000591278076,0.6230754852294922,0.8652701377868652,0.8666750431060791,0.8689177513122559,1.6898200511932373,1.690244197845459,440.6666666666667,1466,85,201.2,323.38556279188197,104578.22222222222,1.8565492753676336,4.018632659095158,120.8,174.0,224.40000000000003,438.40000000000003,476.0,476.0,476.0,520.6,590.2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.6666666666667,1466,85,201.2,323.38556279188197,104578.22222222222,1.8565492753676336,4.018632659095158,120.8,174.0,224.40000000000003,438.40000000000003,476.0,476.0,476.0,520.6,590.2,"('192.168.137.197', '111.124.200.70', 50966, 443, 'TCP')",WangYiyun2.pcap
27,0,27,1.0,0.0,12219,0,1.068903923034668,-1,-3,-4,-5,-7,-8,-9,-11,-12,-13,-15,-16,-17,-19,-20,-21,-23,-24,-25,-27,13.5,22,5,13.5,8.5,0.041111689347487226,0.3099989891052246,1.1920928955078125e-05,0.07649314229283302,0.03703055381774903,0.06179752349853516,0.30605530738830566,0.6334826469421386,0.7889609336853027,0.8270155429840088,0.8611893653869629,0.877696943283081,1.0526303768157959,0.041111689347487226,0.3099989891052246,1.1920928955078125e-05,0.07649314229283302,0.03703055381774903,0.06179752349853516,0.30605530738830566,0.6334826469421386,0.7889609336853027,0.8270155429840088,0.8611893653869629,0.877696943283081,1.0526303768157959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.55555555555554,1458,85,364.85185185185185,464.56936119165744,215824.6913580247,0.843983187855194,-0.7367583243714657,86.0,86.0,89.0,89.0,98.0,357.0,815.0,930.0000000000001,1089.0,452.55555555555554,1458,85,364.85185185185185,464.56936119165744,215824.6913580247,0.843983187855194,-0.7367583243714657,86.0,86.0,89.0,89.0,98.0,357.0,815.0,930.0000000000001,1089.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('111.124.200.67', '192.168.137.197', 443, 50965, 'TCP')",WangYiyun2.pcap
27,0,27,1.0,0.0,18825,0,1.7025251388549805,-1,-3,-4,-5,-7,-8,-9,-11,-12,-13,-15,-16,-17,-19,-20,-21,-23,-24,-25,-27,13.5,21,6,13.5,7.5,0.06548173610980694,0.8027348518371582,6.198883056640625e-06,0.19117067070521063,0.0006256580352783203,0.5872161865234375,0.5925525665283203,0.5952670574188232,0.6001060009002686,0.8774348735809326,0.8888422012329101,1.5327640056610112,1.699946117401123,0.06548173610980694,0.8027348518371582,6.198883056640625e-06,0.19117067070521063,0.0006256580352783203,0.5872161865234375,0.5925525665283203,0.5952670574188232,0.6001060009002686,0.8774348735809326,0.8888422012329101,1.5327640056610112,1.699946117401123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.2222222222222,1458,85,516.9629629629629,562.3279874166844,316212.7654320988,0.18288585658624384,-1.654683772206985,85.0,89.0,109.2,341.0,571.0,912.0,1256.0,1363.6,1458.0,697.2222222222222,1458,85,516.9629629629629,562.3279874166844,316212.7654320988,0.18288585658624384,-1.654683772206985,85.0,89.0,109.2,341.0,571.0,912.0,1256.0,1363.6,1458.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('111.124.200.70', '192.168.137.197', 443, 50966, 'TCP')",WangYiyun2.pcap
0,11,11,0.0,1.0,0,7534,2.735107898712158,1,1,2,2,3,4,4,5,5,6,6,7,7,8,8,9,10,10,11,11,3.6666666666666665,5,3,3.0,0.9428090415820634,0.2735107898712158,1.4346990585327148,0.0,0.5130258837572798,0.09758400917053223,0.14380097389221191,0.1549549102783203,0.1549549102783203,1.5896539688110352,1.5896539688110352,1.5896539688110352,2.734158992767334,2.735107898712158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2735107898712158,1.4346990585327148,0.0,0.5130258837572798,0.09758400917053223,0.14380097389221191,0.1549549102783203,0.1549549102783203,1.5896539688110352,1.5896539688110352,1.5896539688110352,2.734158992767334,2.735107898712158,684.9090909090909,1466,159,369.3636363636364,498.7319291864946,248733.53719008266,0.7567461103424168,-1.0907840453134907,236.0,261.0,262.0,545.0,545.0,545.0,583.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.9090909090909,1466,159,369.3636363636364,498.7319291864946,248733.53719008266,0.7567461103424168,-1.0907840453134907,236.0,261.0,262.0,545.0,545.0,545.0,583.0,1466.0,1466.0,"('192.168.137.197', '111.124.204.105', 50968, 443, 'TCP')",WangYiyun2.pcap
11,0,11,1.0,0.0,6455,0,2.7810521125793457,-1,-1,-2,-2,-3,-4,-4,-5,-5,-6,-6,-7,-7,-8,-8,-9,-10,-10,-11,-11,3.6666666666666665,7,2,2.0,2.3570226039551585,0.2781052112579346,1.4019010066986084,2.4080276489257812e-05,0.5113650856567427,2.8133392333984375e-05,0.00017309188842773438,0.00019812583923339844,0.09508895874023438,0.1934819221496582,0.19350600242614746,1.5954070091247559,1.5954530239105225,2.780508041381836,0.2781052112579346,1.4019010066986084,2.4080276489257812e-05,0.5113650856567427,2.8133392333984375e-05,0.00017309188842773438,0.00019812583923339844,0.09508895874023438,0.1934819221496582,0.19350600242614746,1.5954070091247559,1.5954530239105225,2.780508041381836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.8181818181819,1466,115,404.8181818181818,535.8888653751427,287176.87603305787,0.8144227926659648,-1.0596614446814194,115.0,115.0,117.0,307.0,464.0,464.0,464.0,1362.0,1466.0,586.8181818181819,1466,115,404.8181818181818,535.8888653751427,287176.87603305787,0.8144227926659648,-1.0596614446814194,115.0,115.0,117.0,307.0,464.0,464.0,464.0,1362.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('111.124.204.105', '192.168.137.197', 443, 50968, 'TCP')",WangYiyun2.pcap
0,6,6,0.0,1.0,0,1597,0.2663121223449707,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,5,5,6,6,6,6.0,6,6,6.0,0.0,0.05326242446899414,0.13562393188476562,0.0,0.05385092476997545,0.06781196594238281,0.13562393188476562,0.1364995241165161,0.1373751163482666,0.15389811992645264,0.17042112350463867,0.2183666229248047,0.2663121223449707,0.2663121223449707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05326242446899414,0.13562393188476562,0.0,0.05385092476997545,0.06781196594238281,0.13562393188476562,0.1364995241165161,0.1373751163482666,0.15389811992645264,0.17042112350463867,0.2183666229248047,0.2663121223449707,0.2663121223449707,266.1666666666667,652,78,180.83333333333334,245.61447885298256,60326.47222222222,0.7278794537642617,-1.4196398241587311,81.5,85.0,89.0,93.0,105.5,118.0,344.5,571.0,611.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.1666666666667,652,78,180.83333333333334,245.61447885298256,60326.47222222222,0.7278794537642617,-1.4196398241587311,81.5,85.0,89.0,93.0,105.5,118.0,344.5,571.0,611.5,"('192.168.137.197', '58.205.209.168', 50969, 443, 'TCP')",WangYiyun2.pcap
62,0,62,1.0,0.0,85406,0,0.21188902854919434,-2,-5,-8,-11,-14,-18,-21,-24,-27,-30,-33,-36,-39,-42,-45,-49,-52,-55,-58,-61,62.0,62,62,62.0,0.0,0.0034735906319540055,0.13259577751159668,5.9604644775390625e-06,0.017160141350285502,0.13492722511291505,0.1403892993927002,0.174682092666626,0.17672319412231446,0.17687809467315674,0.1999610424041748,0.20217835903167725,0.20359377861022948,0.20620908737182617,0.0034735906319540055,0.13259577751159668,5.9604644775390625e-06,0.017160141350285502,0.13492722511291505,0.1403892993927002,0.174682092666626,0.17672319412231446,0.17687809467315674,0.1999610424041748,0.20217835903167725,0.20359377861022948,0.20620908737182617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1377.516129032258,1466,85,88.48387096774194,304.6230214933292,92795.1852237253,-3.2721232242660285,9.089902283202377,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1377.516129032258,1466,85,88.48387096774194,304.6230214933292,92795.1852237253,-3.2721232242660285,9.089902283202377,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('58.205.209.168', '192.168.137.197', 443, 50969, 'TCP')",WangYiyun2.pcap
0,5,5,0.0,1.0,0,2339,5.24664306640625,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,0.8333333333333334,4,0,0.0,1.4624940645653537,1.3116607666015625,5.060914039611816,0.0,2.165101046036138,0.05090799331665039,0.10181598663330078,0.1389617919921875,0.16234540939331055,0.1857290267944336,0.1857290267944336,0.1857290267944336,1.1979118347167979,3.2222774505615237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3116607666015625,5.060914039611816,0.0,2.165101046036138,0.05090799331665039,0.10181598663330078,0.1389617919921875,0.16234540939331055,0.1857290267944336,0.1857290267944336,0.1857290267944336,1.1979118347167979,3.2222774505615237,467.8,950,97,255.4,311.5749669020282,97078.95999999999,0.22332654861479934,-1.2538138640784449,121.8,146.6,237.2,393.6,550.0,563.2,576.4,656.4000000000001,803.2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.8,950,97,255.4,311.5749669020282,97078.95999999999,0.22332654861479934,-1.2538138640784449,121.8,146.6,237.2,393.6,550.0,563.2,576.4,656.4000000000001,803.2,"('192.168.137.197', '1.95.21.96', 50971, 443, 'TCP')",WangYiyun2.pcap
8,0,8,1.0,0.0,5423,0,5.180848121643066,-1,-1,-2,-2,-2,-3,-3,-4,-4,-4,-5,-5,-6,-6,-6,-7,-7,-8,-8,-8,1.3333333333333333,7,0,0.0,2.560381915956203,0.7401211602347237,4.941704034805298,1.0013580322265625e-05,1.7160558781885256,7.009506225585938e-06,0.0011320114135742192,0.002816319465637207,0.002825498580932617,0.06020510196685791,0.14189229011535648,0.22697801589965813,0.23913969993591308,1.721655297279357,0.7401211602347237,4.941704034805298,1.0013580322265625e-05,1.7160558781885256,7.009506225585938e-06,0.0011320114135742192,0.002816319465637207,0.002825498580932617,0.06020510196685791,0.14189229011535648,0.22697801589965813,0.23913969993591308,1.721655297279357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.875,1466,97,518.875,596.9569577239216,356357.609375,0.40612420341965844,-1.6967948704561084,109.6,115.8,136.00000000000003,269.00000000000006,400.0,666.8000000000002,1275.0999999999995,1424.4,1466.0,677.875,1466,97,518.875,596.9569577239216,356357.609375,0.40612420341965844,-1.6967948704561084,109.6,115.8,136.00000000000003,269.00000000000006,400.0,666.8000000000002,1275.0999999999995,1424.4,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('1.95.21.96', '192.168.137.197', 443, 50971, 'TCP')",WangYiyun2.pcap
