inbound_pkt_count,outbound_pkt_count,total_pkt_count,inbound_pkt_percent,outbound_pkt_percent,inbound_bytes,outbound_bytes,duration,interaction_pattern_0,interaction_pattern_1,interaction_pattern_2,interaction_pattern_3,interaction_pattern_4,interaction_pattern_5,interaction_pattern_6,interaction_pattern_7,interaction_pattern_8,interaction_pattern_9,interaction_pattern_10,interaction_pattern_11,interaction_pattern_12,interaction_pattern_13,interaction_pattern_14,interaction_pattern_15,interaction_pattern_16,interaction_pattern_17,interaction_pattern_18,interaction_pattern_19,pkt_rate_mean,pkt_rate_max,pkt_rate_min,pkt_rate_median,pkt_rate_std,bidirectional_interval_mean,bidirectional_interval_max,bidirectional_interval_min,bidirectional_interval_std,bidirectional_rel_time_p10,bidirectional_rel_time_p20,bidirectional_rel_time_p30,bidirectional_rel_time_p40,bidirectional_rel_time_p50,bidirectional_rel_time_p60,bidirectional_rel_time_p70,bidirectional_rel_time_p80,bidirectional_rel_time_p90,inbound_interval_mean,inbound_interval_max,inbound_interval_min,inbound_interval_std,inbound_rel_time_p10,inbound_rel_time_p20,inbound_rel_time_p30,inbound_rel_time_p40,inbound_rel_time_p50,inbound_rel_time_p60,inbound_rel_time_p70,inbound_rel_time_p80,inbound_rel_time_p90,outbound_interval_mean,outbound_interval_max,outbound_interval_min,outbound_interval_std,outbound_rel_time_p10,outbound_rel_time_p20,outbound_rel_time_p30,outbound_rel_time_p40,outbound_rel_time_p50,outbound_rel_time_p60,outbound_rel_time_p70,outbound_rel_time_p80,outbound_rel_time_p90,bidirectional_size_mean,bidirectional_size_max,bidirectional_size_min,bidirectional_size_mad,bidirectional_size_std,bidirectional_size_var,bidirectional_size_skew,bidirectional_size_kurtosis,bidirectional_size_p10,bidirectional_size_p20,bidirectional_size_p30,bidirectional_size_p40,bidirectional_size_p50,bidirectional_size_p60,bidirectional_size_p70,bidirectional_size_p80,bidirectional_size_p90,inbound_size_mean,inbound_size_max,inbound_size_min,inbound_size_mad,inbound_size_std,inbound_size_var,inbound_size_skew,inbound_size_kurtosis,inbound_size_p10,inbound_size_p20,inbound_size_p30,inbound_size_p40,inbound_size_p50,inbound_size_p60,inbound_size_p70,inbound_size_p80,inbound_size_p90,outbound_size_mean,outbound_size_max,outbound_size_min,outbound_size_mad,outbound_size_std,outbound_size_var,outbound_size_skew,outbound_size_kurtosis,outbound_size_p10,outbound_size_p20,outbound_size_p30,outbound_size_p40,outbound_size_p50,outbound_size_p60,outbound_size_p70,outbound_size_p80,outbound_size_p90,protocol,flow_key,pcap_file
0,6,6,0.0,1.0,0,600,12.750996112823486,1,1,1,1,2,2,2,3,3,3,4,4,4,4,5,5,5,6,6,6,0.46153846153846156,2,0,0.0,0.7457969011409736,2.5501992225646974,6.259966135025024,0.0,2.4277649414109863,1.0520950555801392,2.1041901111602783,4.246774077415466,6.389358043670654,6.440194010734558,6.491029977798462,9.621013045310974,12.750996112823486,12.750996112823486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5501992225646974,6.259966135025024,0.0,2.4277649414109863,1.0520950555801392,2.1041901111602783,4.246774077415466,6.389358043670654,6.440194010734558,6.491029977798462,9.621013045310974,12.750996112823486,12.750996112823486,100.0,170,74,20.333333333333332,32.624121954978854,1064.3333333333333,1.472455941569199,0.6683159969903634,74.0,74.0,82.5,91.0,92.0,93.0,95.5,98.0,134.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,170,74,20.333333333333332,32.624121954978854,1064.3333333333333,1.472455941569199,0.6683159969903634,74.0,74.0,82.5,91.0,92.0,93.0,95.5,98.0,134.0,UDP,"('192.168.137.162', '192.168.137.1', 64579, 53, 'UDP')",Amazon38.pcap
6,0,6,1.0,0.0,2504,0,12.75786805152893,-1,-1,-1,-1,-2,-2,-2,-3,-3,-3,-4,-4,-4,-4,-5,-5,-5,-6,-6,-6,0.46153846153846156,2,0,0.0,0.7457969011409736,2.551573610305786,6.211385011672974,0.0040590763092041016,2.4267212127123052,1.052127480506897,2.104254961013794,4.2826539278030396,6.461052894592285,6.501738429069519,6.542423963546753,9.64811646938324,12.753808975219727,12.755838513374329,2.551573610305786,6.211385011672974,0.0040590763092041016,2.4267212127123052,1.052127480506897,2.104254961013794,4.2826539278030396,6.461052894592285,6.501738429069519,6.542423963546753,9.64811646938324,12.753808975219727,12.755838513374329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.3333333333333,575,310,67.33333333333333,90.44642367476757,8180.555555555556,0.33176791364250857,-0.7983431072780256,310.0,310.0,370.0,430.0,432.5,435.0,439.5,444.0,509.5,417.3333333333333,575,310,67.33333333333333,90.44642367476757,8180.555555555556,0.33176791364250857,-0.7983431072780256,310.0,310.0,370.0,430.0,432.5,435.0,439.5,444.0,509.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP,"('192.168.137.1', '192.168.137.162', 53, 64579, 'UDP')",Amazon38.pcap
0,1,1,0.0,1.0,0,90,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90,90,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90,90,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,UDP,"('192.168.137.162', '17.253.84.125', 58710, 123, 'UDP')",Amazon38.pcap
0,6,6,0.0,1.0,0,3080,14.029320001602173,1,1,1,1,2,2,2,3,3,3,4,4,4,4,5,5,5,6,6,6,0.4,3,0,0.0,0.879393730551528,2.8058640003204345,11.672254085540771,0.0731649398803711,4.49130447916153,0.03658246994018555,0.0731649398803711,0.12073194980621338,0.16829895973205566,1.1587984561920166,2.1492979526519775,2.2531819343566895,2.3570659160614014,8.193192958831787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8058640003204345,11.672254085540771,0.0731649398803711,4.49130447916153,0.03658246994018555,0.0731649398803711,0.12073194980621338,0.16829895973205566,1.1587984561920166,2.1492979526519775,2.2531819343566895,2.3570659160614014,8.193192958831787,513.3333333333334,1336,90,368.6666666666667,436.47133035541094,190507.22222222225,0.8174738431204316,-0.6034080496584271,110.0,130.0,172.0,214.0,398.5,583.0,655.0,727.0,1031.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.3333333333334,1336,90,368.6666666666667,436.47133035541094,190507.22222222225,0.8174738431204316,-0.6034080496584271,110.0,130.0,172.0,214.0,398.5,583.0,655.0,727.0,1031.5,TCP,"('192.168.137.162', '202.104.44.143', 52654, 27101, 'TCP')",Amazon38.pcap
11,0,11,1.0,0.0,5962,0,14.0208158493042,-1,-1,-2,-2,-3,-3,-4,-4,-5,-5,-6,-7,-7,-8,-8,-9,-9,-10,-10,-11,0.7333333333333333,6,0,0.0,1.6110727964792761,1.40208158493042,11.33206295967102,1.8835067749023438e-05,3.33770603576659,1.4675719738006592,1.4679679870605469,1.4679899215698242,2.0712900161743164,2.0713088512420654,2.2883999347686768,2.2884469032287598,2.504457950592041,2.6887528896331787,1.40208158493042,11.33206295967102,1.8835067749023438e-05,3.33770603576659,1.4675719738006592,1.4679679870605469,1.4679899215698242,2.0712900161743164,2.0713088512420654,2.2883999347686768,2.2884469032287598,2.504457950592041,2.6887528896331787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.0,1466,90,402.0,540.2204937043595,291838.1818181818,0.9124172663577308,-0.9664702500734306,105.0,126.0,139.0,157.0,306.0,398.0,435.0,1274.0,1466.0,542.0,1466,90,402.0,540.2204937043595,291838.1818181818,0.9124172663577308,-0.9664702500734306,105.0,126.0,139.0,157.0,306.0,398.0,435.0,1274.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('202.104.44.143', '192.168.137.162', 27101, 52654, 'TCP')",Amazon38.pcap
0,51,51,0.0,1.0,0,52158,13.886451005935669,1,3,6,8,11,13,16,18,21,23,26,29,31,34,36,39,41,44,46,49,3.642857142857143,36,0,0.5,9.123025366441478,0.27772902011871337,6.942788124084473,0.0,1.012235906766673,0.44882702827453613,1.6091790199279785,1.6091790199279785,1.6091790199279785,1.6663928031921387,1.6663928031921387,1.668921947479248,1.668921947479248,4.240628004074097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27772902011871337,6.942788124084473,0.0,1.012235906766673,0.44882702827453613,1.6091790199279785,1.6091790199279785,1.6091790199279785,1.6663928031921387,1.6663928031921387,1.668921947479248,1.668921947479248,4.240628004074097,1022.7058823529412,1466,119,443.29411764705884,516.0164267835821,266272.95271049597,-0.49725345554873884,-1.4205858916051115,258.0,437.0,736.0,736.0,1466.0,1466.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.7058823529412,1466,119,443.29411764705884,516.0164267835821,266272.95271049597,-0.49725345554873884,-1.4205858916051115,258.0,437.0,736.0,736.0,1466.0,1466.0,1466.0,1466.0,1466.0,TCP,"('192.168.137.162', '202.104.44.143', 52656, 27101, 'TCP')",Amazon38.pcap
556,0,556,1.0,0.0,730870,0,13.185050010681152,-1,-28,-56,-84,-112,-140,-167,-195,-223,-251,-279,-306,-334,-362,-390,-418,-445,-473,-501,-529,39.714285714285715,291,0,0.0,76.47355151706145,0.023756846866092165,7.342164039611816,3.814697265625e-06,0.319995748359645,1.023697018623352,1.1821200847625732,1.2346000671386719,1.3513660430908203,1.368249535560608,2.02822208404541,2.2499550580978394,4.808095932006836,5.473421096801758,0.023756846866092165,7.342164039611816,3.814697265625e-06,0.319995748359645,1.023697018623352,1.1821200847625732,1.2346000671386719,1.3513660430908203,1.368249535560608,2.02822208404541,2.2499550580978394,4.808095932006836,5.473421096801758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1314.5143884892086,1466,114,151.48561151079136,382.44840458167954,146266.78216707206,-2.3452671735587645,3.845578408323072,531.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1314.5143884892086,1466,114,151.48561151079136,382.44840458167954,146266.78216707206,-2.3452671735587645,3.845578408323072,531.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('202.104.44.143', '192.168.137.162', 27101, 52656, 'TCP')",Amazon38.pcap
0,188,188,0.0,1.0,0,205500,13.756489992141724,1,10,19,29,38,48,57,66,76,85,95,104,113,123,132,142,151,160,170,179,13.428571428571429,59,0,3.0,21.921008467789477,0.07356411760503595,3.438199996948242,0.0,0.3808667590428638,1.7733569145202637,1.7958245277404785,3.8045618534088135,3.804689884185791,3.805940866470337,6.643529510498047,13.754551887512207,13.756227970123291,13.756373882293701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07356411760503595,3.438199996948242,0.0,0.3808667590428638,1.7733569145202637,1.7958245277404785,3.8045618534088135,3.804689884185791,3.805940866470337,6.643529510498047,13.754551887512207,13.756227970123291,13.756373882293701,1093.0851063829787,1466,114,372.9148936170213,435.6033760975021,189750.30126754186,-0.5387269820118336,-1.200286879099024,550.8999999999999,736.0,736.0,736.0,1466.0,1466.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1093.0851063829787,1466,114,372.9148936170213,435.6033760975021,189750.30126754186,-0.5387269820118336,-1.200286879099024,550.8999999999999,736.0,736.0,736.0,1466.0,1466.0,1466.0,1466.0,1466.0,TCP,"('192.168.137.162', '202.104.44.143', 52658, 27101, 'TCP')",Amazon38.pcap
0,8,8,0.0,1.0,0,3397,13.785904169082642,1,1,1,2,2,3,3,3,4,4,5,5,5,6,6,7,7,7,8,8,0.5714285714285714,7,0,0.0,1.801360030416927,1.9694148812975203,13.461631059646606,0.0,4.691821764351109,0.05167257785797119,0.11084361076354982,0.17643256187438966,0.2467859745025635,0.26883745193481445,0.27078795433044434,0.27078795433044434,0.30287904739379884,4.362762427330015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9694148812975203,13.461631059646606,0.0,4.691821764351109,0.05167257785797119,0.11084361076354982,0.17643256187438966,0.2467859745025635,0.26883745193481445,0.27078795433044434,0.27078795433044434,0.30287904739379884,4.362762427330015,424.625,1466,90,302.375,451.55396618233794,203900.984375,1.3891983151450105,0.6771993653584123,110.3,123.4,132.0,146.0,151.0,238.20000000000007,539.8999999999997,657.4000000000001,934.6999999999998,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.625,1466,90,302.375,451.55396618233794,203900.984375,1.3891983151450105,0.6771993653584123,110.3,123.4,132.0,146.0,151.0,238.20000000000007,539.8999999999997,657.4000000000001,934.6999999999998,TCP,"('192.168.137.162', '202.104.44.143', 52660, 27101, 'TCP')",Amazon38.pcap
0,16,16,0.0,1.0,0,6827,13.725670099258423,1,1,2,3,4,5,5,6,7,8,9,9,10,11,12,13,13,14,15,16,1.1428571428571428,6,0,0.0,2.0303814862216996,0.9150446732838948,6.126775026321411,0.0,1.6483068996250911,0.12070310115814209,0.3135490417480469,0.41777563095092773,6.594056129455566,10.524715662002563,11.568176031112671,11.569475054740906,11.57077407836914,11.842345118522644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9150446732838948,6.126775026321411,0.0,1.6483068996250911,0.12070310115814209,0.3135490417480469,0.41777563095092773,6.594056129455566,10.524715662002563,11.568176031112671,11.569475054740906,11.57077407836914,11.842345118522644,426.6875,1466,119,249.0625,422.9807499683053,178912.71484375,1.7534448180009838,1.6446277547805508,141.0,191.0,203.5,209.0,215.5,232.0,365.5,583.0,1088.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.6875,1466,119,249.0625,422.9807499683053,178912.71484375,1.7534448180009838,1.6446277547805508,141.0,191.0,203.5,209.0,215.5,232.0,365.5,583.0,1088.0,TCP,"('192.168.137.162', '202.104.44.143', 52662, 27101, 'TCP')",Amazon38.pcap
