inbound_pkt_count,outbound_pkt_count,total_pkt_count,inbound_pkt_percent,outbound_pkt_percent,inbound_bytes,outbound_bytes,duration,interaction_pattern_0,interaction_pattern_1,interaction_pattern_2,interaction_pattern_3,interaction_pattern_4,interaction_pattern_5,interaction_pattern_6,interaction_pattern_7,interaction_pattern_8,interaction_pattern_9,interaction_pattern_10,interaction_pattern_11,interaction_pattern_12,interaction_pattern_13,interaction_pattern_14,interaction_pattern_15,interaction_pattern_16,interaction_pattern_17,interaction_pattern_18,interaction_pattern_19,pkt_rate_mean,pkt_rate_max,pkt_rate_min,pkt_rate_median,pkt_rate_std,bidirectional_interval_mean,bidirectional_interval_max,bidirectional_interval_min,bidirectional_interval_std,bidirectional_rel_time_p10,bidirectional_rel_time_p20,bidirectional_rel_time_p30,bidirectional_rel_time_p40,bidirectional_rel_time_p50,bidirectional_rel_time_p60,bidirectional_rel_time_p70,bidirectional_rel_time_p80,bidirectional_rel_time_p90,inbound_interval_mean,inbound_interval_max,inbound_interval_min,inbound_interval_std,inbound_rel_time_p10,inbound_rel_time_p20,inbound_rel_time_p30,inbound_rel_time_p40,inbound_rel_time_p50,inbound_rel_time_p60,inbound_rel_time_p70,inbound_rel_time_p80,inbound_rel_time_p90,outbound_interval_mean,outbound_interval_max,outbound_interval_min,outbound_interval_std,outbound_rel_time_p10,outbound_rel_time_p20,outbound_rel_time_p30,outbound_rel_time_p40,outbound_rel_time_p50,outbound_rel_time_p60,outbound_rel_time_p70,outbound_rel_time_p80,outbound_rel_time_p90,bidirectional_size_mean,bidirectional_size_max,bidirectional_size_min,bidirectional_size_mad,bidirectional_size_std,bidirectional_size_var,bidirectional_size_skew,bidirectional_size_kurtosis,bidirectional_size_p10,bidirectional_size_p20,bidirectional_size_p30,bidirectional_size_p40,bidirectional_size_p50,bidirectional_size_p60,bidirectional_size_p70,bidirectional_size_p80,bidirectional_size_p90,inbound_size_mean,inbound_size_max,inbound_size_min,inbound_size_mad,inbound_size_std,inbound_size_var,inbound_size_skew,inbound_size_kurtosis,inbound_size_p10,inbound_size_p20,inbound_size_p30,inbound_size_p40,inbound_size_p50,inbound_size_p60,inbound_size_p70,inbound_size_p80,inbound_size_p90,outbound_size_mean,outbound_size_max,outbound_size_min,outbound_size_mad,outbound_size_std,outbound_size_var,outbound_size_skew,outbound_size_kurtosis,outbound_size_p10,outbound_size_p20,outbound_size_p30,outbound_size_p40,outbound_size_p50,outbound_size_p60,outbound_size_p70,outbound_size_p80,outbound_size_p90,flow_key,pcap_file
0,6,6,0.0,1.0,0,3459,0.04167008399963379,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,5,5,6,6,6,6.0,6,6,6.0,0.0,0.008334016799926758,0.02288198471069336,0.0,0.00975624666476925,0.01144099235534668,0.02288198471069336,0.023656010627746582,0.024430036544799805,0.024430036544799805,0.024430036544799805,0.024430036544799805,0.024430036544799805,0.0330500602722168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008334016799926758,0.02288198471069336,0.0,0.00975624666476925,0.01144099235534668,0.02288198471069336,0.023656010627746582,0.024430036544799805,0.024430036544799805,0.024430036544799805,0.024430036544799805,0.024430036544799805,0.0330500602722168,576.5,1466,97,344.5,456.6175460200071,208499.58333333334,0.8855966860979916,-0.24300691076568537,113.5,130.0,299.5,469.0,526.0,583.0,648.5,714.0,1090.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.5,1466,97,344.5,456.6175460200071,208499.58333333334,0.8855966860979916,-0.24300691076568537,113.5,130.0,299.5,469.0,526.0,583.0,648.5,714.0,1090.0,"('192.168.137.197', '58.205.220.237', 60635, 443, 'TCP')",JD28.pcap
0,8,8,0.0,1.0,0,4154,0.11379289627075195,1,1,2,2,2,3,3,4,4,4,5,5,6,6,6,7,7,8,8,8,8.0,8,8,8.0,0.0,0.01625612803867885,0.06182408332824707,0.0,0.02142054749355307,0.018003916740417483,0.02626147270202637,0.02707386016845703,0.02707386016845703,0.02707386016845703,0.027255678176879884,0.027892041206359863,0.04237446784973146,0.07051603794097899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01625612803867885,0.06182408332824707,0.0,0.02142054749355307,0.018003916740417483,0.02626147270202637,0.02707386016845703,0.02707386016845703,0.02707386016845703,0.027255678176879884,0.027892041206359863,0.04237446784973146,0.07051603794097899,519.25,1466,85,311.75,427.174364282315,182477.9375,1.015458905416605,0.3690208466441236,85.0,104.60000000000001,173.20000000000005,447.60000000000014,548.5,576.2,594.4,652.8000000000001,922.7999999999998,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.25,1466,85,311.75,427.174364282315,182477.9375,1.015458905416605,0.3690208466441236,85.0,104.60000000000001,173.20000000000005,447.60000000000014,548.5,576.2,594.4,652.8000000000001,922.7999999999998,"('192.168.137.197', '111.13.29.201', 60636, 443, 'TCP')",JD28.pcap
8,0,8,1.0,0.0,5822,0,0.04369997978210449,-1,-1,-2,-2,-2,-3,-3,-4,-4,-4,-5,-5,-6,-6,-6,-7,-7,-8,-8,-8,8.0,8,8,8.0,0.0,0.006242854254586356,0.022229909896850586,8.106231689453125e-06,0.009173963545590988,8.04424285888672e-05,0.00011816024780273438,0.002028417587280275,0.01536617279052735,0.019182443618774414,0.019210958480834962,0.0192915678024292,0.020603275299072268,0.028139042854309078,0.006242854254586356,0.022229909896850586,8.106231689453125e-06,0.009173963545590988,8.04424285888672e-05,0.00011816024780273438,0.002028417587280275,0.01536617279052735,0.019182443618774414,0.019210958480834962,0.0192915678024292,0.020603275299072268,0.028139042854309078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.75,1466,97,511.0,546.3345472327372,298481.4375,0.2225332243465588,-1.633443714283754,118.7,205.20000000000005,321.0,321.0,588.5,918.2,1135.8999999999999,1346.4,1466.0,727.75,1466,97,511.0,546.3345472327372,298481.4375,0.2225332243465588,-1.633443714283754,118.7,205.20000000000005,321.0,321.0,588.5,918.2,1135.8999999999999,1346.4,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('58.205.220.237', '192.168.137.197', 443, 60635, 'TCP')",JD28.pcap
0,7,7,0.0,1.0,0,3784,0.09846186637878418,1,1,1,2,2,2,3,3,3,4,4,5,5,5,6,6,6,7,7,7,7.0,7,7,7.0,0.0,0.016410311063130695,0.04917502403259277,0.0,0.01793688980931642,0.017400026321411133,0.029754209518432616,0.0320167064666748,0.03277087211608887,0.03277087211608887,0.03277087211608887,0.03607406616210936,0.04598364830017091,0.06895685195922853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016410311063130695,0.04917502403259277,0.0,0.01793688980931642,0.017400026321411133,0.029754209518432616,0.0320167064666748,0.03277087211608887,0.03277087211608887,0.03277087211608887,0.03607406616210936,0.04598364830017091,0.06895685195922853,540.5714285714286,1466,85,372.14285714285717,463.71014873605725,215027.10204081633,0.78684370017929,-0.3754219322280683,85.0,94.80000000000001,124.19999999999999,308.8000000000002,571.0,642.4,702.5999999999999,740.4000000000001,1038.2000000000003,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.5714285714286,1466,85,372.14285714285717,463.71014873605725,215027.10204081633,0.78684370017929,-0.3754219322280683,85.0,94.80000000000001,124.19999999999999,308.8000000000002,571.0,642.4,702.5999999999999,740.4000000000001,1038.2000000000003,"('192.168.137.197', '106.39.169.120', 60637, 443, 'TCP')",JD28.pcap
0,62,62,0.0,1.0,0,76023,10.907805919647217,2,5,8,11,14,18,21,24,27,30,33,36,39,42,45,49,52,55,58,61,5.636363636363637,50,0,0.0,14.239973999419108,0.17881649048601994,8.598052024841309,0.0,1.1199860557162251,0.025574135780334482,2.27817702293396,2.27817702293396,2.27817702293396,2.296360969543457,2.296360969543457,2.2964455842971803,2.3014750480651855,2.309753894805908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17881649048601994,8.598052024841309,0.0,1.1199860557162251,0.025574135780334482,2.27817702293396,2.27817702293396,2.27817702293396,2.296360969543457,2.296360969543457,2.2964455842971803,2.3014750480651855,2.309753894805908,1226.1774193548388,1466,76,239.82258064516128,458.4216091636377,210150.371748179,-1.5974641332511224,0.8330825345101429,267.00000000000006,940.6000000000001,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1226.1774193548388,1466,76,239.82258064516128,458.4216091636377,210150.371748179,-1.5974641332511224,0.8330825345101429,267.00000000000006,940.6000000000001,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,"('192.168.137.197', '211.151.19.144', 60639, 443, 'TCP')",JD28.pcap
0,16,16,0.0,1.0,0,15179,4.942812919616699,1,2,3,3,4,5,6,7,7,8,9,10,11,11,12,13,14,15,15,16,3.2,14,0,0.0,5.455272678794343,0.32952086130777997,4.2626118659973145,0.0,1.0562526111160955,0.034682393074035645,0.03477287292480469,0.045328378677368164,0.38043904304504395,0.38043904304504395,0.38043904304504395,0.38242483139038086,0.6773090362548828,2.809536933898926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32952086130777997,4.2626118659973145,0.0,1.0562526111160955,0.034682393074035645,0.03477287292480469,0.045328378677368164,0.38043904304504395,0.38043904304504395,0.38043904304504395,0.38242483139038086,0.6773090362548828,2.809536933898926,948.6875,1466,85,422.5625,474.6294237020604,225273.08984375,-0.3037126134121495,-1.1708133893797539,335.0,571.0,693.0,721.0,866.5,1235.0,1457.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,948.6875,1466,85,422.5625,474.6294237020604,225273.08984375,-0.3037126134121495,-1.1708133893797539,335.0,571.0,693.0,721.0,866.5,1235.0,1457.0,1466.0,1466.0,"('192.168.137.197', '106.39.169.120', 60638, 443, 'TCP')",JD28.pcap
0,258,258,0.0,1.0,0,276230,12.340846061706543,7,20,33,46,59,71,84,97,110,123,136,149,162,175,188,200,213,226,239,252,19.846153846153847,130,0,7.0,33.838635528606495,0.04801885627123168,3.228585958480835,0.0,0.27430338128285675,0.1888270378112793,0.4062221050262451,0.6157419681549072,0.8216495513916016,0.9970109462738037,2.4227519035339355,4.724124908447266,8.295768022537231,8.920789170265198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04801885627123168,3.228585958480835,0.0,0.27430338128285675,0.1888270378112793,0.4062221050262451,0.6157419681549072,0.8216495513916016,0.9970109462738037,2.4227519035339355,4.724124908447266,8.295768022537231,8.920789170265198,1070.6589147286822,1466,85,395.2170542635659,456.5465919679851,208434.79063758184,-0.6288163482697878,-1.0598151835491643,352.40000000000003,640.0,717.9999999999998,933.8,1456.0,1466.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070.6589147286822,1466,85,395.2170542635659,456.5465919679851,208434.79063758184,-0.6288163482697878,-1.0598151835491643,352.40000000000003,640.0,717.9999999999998,933.8,1456.0,1466.0,1466.0,1466.0,1466.0,"('192.168.137.197', '106.39.169.120', 63803, 443, 'TCP')",JD28.pcap
0,7,7,0.0,1.0,0,4050,0.054643869400024414,1,1,1,2,2,2,3,3,3,4,4,5,5,5,6,6,6,7,7,7,7.0,7,7,7.0,0.0,0.009107311566670736,0.030170917510986328,0.0,0.012386770718983826,0.018102550506591798,0.030576133728027345,0.03179178237915039,0.032196998596191406,0.032196998596191406,0.032196998596191406,0.032196998596191406,0.032196998596191406,0.04117574691772462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009107311566670736,0.030170917510986328,0.0,0.012386770718983826,0.018102550506591798,0.030576133728027345,0.03179178237915039,0.032196998596191406,0.032196998596191406,0.032196998596191406,0.032196998596191406,0.032196998596191406,0.04117574691772462,578.5714285714286,1466,85,287.0,421.7757891659152,177894.8163265306,0.9365715231433218,0.24468698577482018,114.4,210.40000000000006,439.5999999999999,538.0,571.0,581.2,608.4,669.6,1000.4000000000003,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.5714285714286,1466,85,287.0,421.7757891659152,177894.8163265306,0.9365715231433218,0.24468698577482018,114.4,210.40000000000006,439.5999999999999,538.0,571.0,581.2,608.4,669.6,1000.4000000000003,"('192.168.137.197', '36.110.180.185', 60640, 443, 'TCP')",JD28.pcap
11,0,11,1.0,0.0,8752,0,0.038945913314819336,-1,-1,-2,-2,-3,-4,-4,-5,-5,-6,-6,-7,-7,-8,-8,-9,-10,-10,-11,-11,11.0,11,11,11.0,0.0,0.0038945913314819337,0.02661609649658203,5.9604644775390625e-06,0.007996413086148454,4.9114227294921875e-05,9.298324584960938e-05,0.02670907974243164,0.026720046997070312,0.02672600746154785,0.030697107315063477,0.038877010345458984,0.03888392448425293,0.03889107704162598,0.0038945913314819337,0.02661609649658203,5.9604644775390625e-06,0.007996413086148454,4.9114227294921875e-05,9.298324584960938e-05,0.02670907974243164,0.026720046997070312,0.02672600746154785,0.030697107315063477,0.038877010345458984,0.03888392448425293,0.03889107704162598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.6363636363636,1466,85,548.4545454545455,587.1046480556895,344691.86776859505,0.022089254561294108,-1.7648440188780974,98.0,116.0,341.0,341.0,757.0,1150.0,1466.0,1466.0,1466.0,795.6363636363636,1466,85,548.4545454545455,587.1046480556895,344691.86776859505,0.022089254561294108,-1.7648440188780974,98.0,116.0,341.0,341.0,757.0,1150.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('111.13.29.201', '192.168.137.197', 443, 60636, 'TCP')",JD28.pcap
27,0,27,1.0,0.0,16628,0,10.931333065032959,-1,-3,-4,-5,-7,-8,-9,-11,-12,-13,-15,-16,-17,-19,-20,-21,-23,-24,-25,-27,2.4545454545454546,11,0,0.0,4.271760045262083,0.42043588711665225,8.593611001968384,5.0067901611328125e-06,1.6851500182939187,0.014006328582763674,0.022997140884399414,0.03216142654418945,0.887196874618531,2.183645009994507,2.239155912399292,2.314201831817627,2.317576026916504,10.931310844421386,0.42043588711665225,8.593611001968384,5.0067901611328125e-06,1.6851500182939187,0.014006328582763674,0.022997140884399414,0.03216142654418945,0.887196874618531,2.183645009994507,2.239155912399292,2.314201831817627,2.317576026916504,10.931310844421386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.8518518518518,1466,85,476.48148148148147,591.3215396358494,349661.1632373114,0.615521640354747,-1.4634859321120868,89.0,90.8,125.6,175.40000000000003,341.0,372.0,1213.1999999999998,1466.0,1466.0,615.8518518518518,1466,85,476.48148148148147,591.3215396358494,349661.1632373114,0.615521640354747,-1.4634859321120868,89.0,90.8,125.6,175.40000000000003,341.0,372.0,1213.1999999999998,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('211.151.19.144', '192.168.137.197', 443, 60639, 'TCP')",JD28.pcap
