inbound_pkt_count,outbound_pkt_count,total_pkt_count,inbound_pkt_percent,outbound_pkt_percent,inbound_bytes,outbound_bytes,duration,interaction_pattern_0,interaction_pattern_1,interaction_pattern_2,interaction_pattern_3,interaction_pattern_4,interaction_pattern_5,interaction_pattern_6,interaction_pattern_7,interaction_pattern_8,interaction_pattern_9,interaction_pattern_10,interaction_pattern_11,interaction_pattern_12,interaction_pattern_13,interaction_pattern_14,interaction_pattern_15,interaction_pattern_16,interaction_pattern_17,interaction_pattern_18,interaction_pattern_19,pkt_rate_mean,pkt_rate_max,pkt_rate_min,pkt_rate_median,pkt_rate_std,bidirectional_interval_mean,bidirectional_interval_max,bidirectional_interval_min,bidirectional_interval_std,bidirectional_rel_time_p10,bidirectional_rel_time_p20,bidirectional_rel_time_p30,bidirectional_rel_time_p40,bidirectional_rel_time_p50,bidirectional_rel_time_p60,bidirectional_rel_time_p70,bidirectional_rel_time_p80,bidirectional_rel_time_p90,inbound_interval_mean,inbound_interval_max,inbound_interval_min,inbound_interval_std,inbound_rel_time_p10,inbound_rel_time_p20,inbound_rel_time_p30,inbound_rel_time_p40,inbound_rel_time_p50,inbound_rel_time_p60,inbound_rel_time_p70,inbound_rel_time_p80,inbound_rel_time_p90,outbound_interval_mean,outbound_interval_max,outbound_interval_min,outbound_interval_std,outbound_rel_time_p10,outbound_rel_time_p20,outbound_rel_time_p30,outbound_rel_time_p40,outbound_rel_time_p50,outbound_rel_time_p60,outbound_rel_time_p70,outbound_rel_time_p80,outbound_rel_time_p90,bidirectional_size_mean,bidirectional_size_max,bidirectional_size_min,bidirectional_size_mad,bidirectional_size_std,bidirectional_size_var,bidirectional_size_skew,bidirectional_size_kurtosis,bidirectional_size_p10,bidirectional_size_p20,bidirectional_size_p30,bidirectional_size_p40,bidirectional_size_p50,bidirectional_size_p60,bidirectional_size_p70,bidirectional_size_p80,bidirectional_size_p90,inbound_size_mean,inbound_size_max,inbound_size_min,inbound_size_mad,inbound_size_std,inbound_size_var,inbound_size_skew,inbound_size_kurtosis,inbound_size_p10,inbound_size_p20,inbound_size_p30,inbound_size_p40,inbound_size_p50,inbound_size_p60,inbound_size_p70,inbound_size_p80,inbound_size_p90,outbound_size_mean,outbound_size_max,outbound_size_min,outbound_size_mad,outbound_size_std,outbound_size_var,outbound_size_skew,outbound_size_kurtosis,outbound_size_p10,outbound_size_p20,outbound_size_p30,outbound_size_p40,outbound_size_p50,outbound_size_p60,outbound_size_p70,outbound_size_p80,outbound_size_p90,flow_key,pcap_file
0,7,7,0.0,1.0,0,2395,0.21753191947937012,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7.0,7,7,7.0,0.0,0.036255319913228355,0.11929607391357422,0.0,0.04164769956567731,0.032921934127807626,0.054869890213012695,0.054869890213012695,0.06679034233093263,0.0846710205078125,0.09232811927795409,0.1212920665740966,0.1928697109222413,0.21705012321472167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036255319913228355,0.11929607391357422,0.0,0.04164769956567731,0.032921934127807626,0.054869890213012695,0.054869890213012695,0.06679034233093263,0.0846710205078125,0.09232811927795409,0.1212920665740966,0.1928697109222413,0.21705012321472167,342.14285714285717,1060,90,237.85714285714286,329.60211015769937,108637.55102040818,1.2846925101876818,0.3697953145928108,94.2,98.6,103.4,121.4,146.0,300.19999999999993,421.19999999999993,475.80000000000007,720.4000000000002,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.14285714285717,1060,90,237.85714285714286,329.60211015769937,108637.55102040818,1.2846925101876818,0.3697953145928108,94.2,98.6,103.4,121.4,146.0,300.19999999999993,421.19999999999993,475.80000000000007,720.4000000000002,"('192.168.137.246', '175.24.144.100', 50606, 443, 'TCP')",PDD12.pcap
0,7,7,0.0,1.0,0,2426,15.968025922775269,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,0.4375,5,0,0.0,1.27322179921646,2.661337653795878,15.816745042800903,0.0,5.8833955936846305,0.028929519653320315,0.04821586608886719,0.04821586608886719,0.04821586608886719,0.04821586608886719,0.11005487442016598,3.3146298885345344,12.804676914215099,15.968025922775269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.661337653795878,15.816745042800903,0.0,5.8833955936846305,0.028929519653320315,0.04821586608886719,0.04821586608886719,0.04821586608886719,0.04821586608886719,0.11005487442016598,3.3146298885345344,12.804676914215099,15.968025922775269,346.57142857142856,1466,90,246.28571428571428,468.33500132852316,219337.67346938778,1.858561500078371,1.7103966780761484,94.2,98.6,103.4,110.2,118.0,134.79999999999998,197.59999999999982,352.4000000000002,828.8000000000004,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.57142857142856,1466,90,246.28571428571428,468.33500132852316,219337.67346938778,1.858561500078371,1.7103966780761484,94.2,98.6,103.4,110.2,118.0,134.79999999999998,197.59999999999982,352.4000000000002,828.8000000000004,"('192.168.137.246', '81.69.105.56', 50608, 443, 'TCP')",PDD12.pcap
0,7,7,0.0,1.0,0,2674,15.96621298789978,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,0.4375,5,0,0.0,1.27322179921646,2.661035497983297,15.83229112625122,0.0,5.890410272156622,0.029705429077148442,0.04950904846191406,0.04950904846191406,0.05783262252807618,0.07031798362731934,0.10793800354003905,3.2994762420654182,12.798850917816173,15.965670680999756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.661035497983297,15.83229112625122,0.0,5.890410272156622,0.029705429077148442,0.04950904846191406,0.04950904846191406,0.05783262252807618,0.07031798362731934,0.10793800354003905,3.2994762420654182,12.798850917816173,15.965670680999756,382.0,1429,78,289.7142857142857,451.76858804354373,204094.85714285713,1.6339605306523421,1.2142358780536195,82.2,86.6,91.4,109.4,134.0,288.19999999999993,405.59999999999997,449.40000000000003,850.0000000000003,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,1429,78,289.7142857142857,451.76858804354373,204094.85714285713,1.6339605306523421,1.2142358780536195,82.2,86.6,91.4,109.4,134.0,288.19999999999993,405.59999999999997,449.40000000000003,850.0000000000003,"('192.168.137.246', '114.110.99.5', 50607, 443, 'TCP')",PDD12.pcap
0,6,6,0.0,1.0,0,2077,15.962918996810913,1,1,1,1,2,2,2,3,3,3,4,4,4,4,5,5,5,6,6,6,0.375,4,0,0.0,1.0532687216470449,3.1925837993621826,15.83346700668335,0.0,6.320515721097156,0.024495959281921387,0.04899191856384277,0.04899191856384277,0.04899191856384277,0.08922195434570312,0.12945199012756348,8.046185493469238,15.962918996810913,15.962918996810913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1925837993621826,15.83346700668335,0.0,6.320515721097156,0.024495959281921387,0.04899191856384277,0.04899191856384277,0.04899191856384277,0.08922195434570312,0.12945199012756348,8.046185493469238,15.962918996810913,15.962918996810913,346.1666666666667,1236,90,248.83333333333334,412.50592588336093,170161.13888888888,1.5443979676281794,0.6845438273084476,93.5,97.0,101.0,105.0,125.5,146.0,274.5,403.0,819.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.1666666666667,1236,90,248.83333333333334,412.50592588336093,170161.13888888888,1.5443979676281794,0.6845438273084476,93.5,97.0,101.0,105.0,125.5,146.0,274.5,403.0,819.5,"('192.168.137.246', '81.69.116.33', 50610, 443, 'TCP')",PDD12.pcap
0,6,6,0.0,1.0,0,2213,15.960919857025146,1,1,1,1,2,2,2,3,3,3,4,4,4,4,5,5,5,6,6,6,0.375,4,0,0.0,1.0532687216470449,3.1921839714050293,15.821084022521973,0.0,6.3145309617699334,0.026886940002441406,0.05377388000488281,0.054660916328430176,0.05554795265197754,0.09769189357757568,0.13983583450317383,8.05037784576416,15.960919857025146,15.960919857025146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1921839714050293,15.821084022521973,0.0,6.3145309617699334,0.026886940002441406,0.05377388000488281,0.054660916328430176,0.05554795265197754,0.09769189357757568,0.13983583450317383,8.05037784576416,15.960919857025146,15.960919857025146,368.8333333333333,1431,78,283.5,487.3586689720644,237518.47222222225,1.6081779786314903,0.8267158258013962,81.5,85.0,89.0,93.0,113.5,134.0,263.0,392.0,911.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.8333333333333,1431,78,283.5,487.3586689720644,237518.47222222225,1.6081779786314903,0.8267158258013962,81.5,85.0,89.0,93.0,113.5,134.0,263.0,392.0,911.5,"('192.168.137.246', '114.110.99.7', 50609, 443, 'TCP')",PDD12.pcap
0,7,7,0.0,1.0,0,2404,0.5056271553039551,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7.0,7,7,7.0,0.0,0.08427119255065918,0.3426980972290039,0.0,0.12240646889632521,0.029527902603149418,0.049466943740844725,0.05022826194763184,0.05048203468322754,0.05048203468322754,0.11795024871826168,0.2314686775207517,0.4370875358581545,0.5056271553039551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08427119255065918,0.3426980972290039,0.0,0.12240646889632521,0.029527902603149418,0.049466943740844725,0.05022826194763184,0.05048203468322754,0.05048203468322754,0.11795024871826168,0.2314686775207517,0.4370875358581545,0.5056271553039551,343.42857142857144,1466,78,251.14285714285714,469.1934895245722,220142.53061224488,1.8635632422529345,1.7297420463311006,82.2,86.6,91.4,109.4,134.0,147.79999999999998,203.79999999999984,344.20000000000016,821.0000000000005,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.42857142857144,1466,78,251.14285714285714,469.1934895245722,220142.53061224488,1.8635632422529345,1.7297420463311006,82.2,86.6,91.4,109.4,134.0,147.79999999999998,203.79999999999984,344.20000000000016,821.0000000000005,"('192.168.137.246', '114.110.99.5', 50611, 443, 'TCP')",PDD12.pcap
9,0,9,1.0,0.0,6171,0,0.10608386993408203,-1,-1,-1,-2,-2,-3,-3,-4,-4,-5,-5,-5,-6,-6,-7,-7,-8,-8,-9,-9,9.0,9,9,9.0,0.0,0.013260483741760254,0.0530550479888916,5.0067901611328125e-06,0.019005053701420943,3.1852722167968755e-05,5.784034729003907e-05,0.021291875839233393,0.05312652587890625,0.05313301086425781,0.053137016296386716,0.05344271659851074,0.06121745109558106,0.07927665710449219,0.013260483741760254,0.0530550479888916,5.0067901611328125e-06,0.019005053701420943,3.1852722167968755e-05,5.784034729003907e-05,0.021291875839233393,0.05312652587890625,0.05313301086425781,0.053137016296386716,0.05344271659851074,0.06121745109558106,0.07927665710449219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.6666666666666,1466,110,398.44444444444446,483.19331305159614,233475.77777777778,0.5261283815237177,-1.0275655761381304,124.4,277.40000000000003,377.0,421.80000000000007,601.0,736.1999999999999,833.5999999999999,1112.0000000000002,1466.0,685.6666666666666,1466,110,398.44444444444446,483.19331305159614,233475.77777777778,0.5261283815237177,-1.0275655761381304,124.4,277.40000000000003,377.0,421.80000000000007,601.0,736.1999999999999,833.5999999999999,1112.0000000000002,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('175.24.144.100', '192.168.137.246', 443, 50606, 'TCP')",PDD12.pcap
0,33,33,0.0,1.0,0,38526,15.92248821258545,1,2,4,5,7,9,10,12,14,15,17,19,20,22,24,25,27,29,30,32,2.0625,7,0,1.0,2.633171804117612,0.4975777566432953,3.0874600410461426,0.0,0.8323485144308193,0.3591977596282959,0.8059773445129398,1.3727198600769042,1.8160784244537358,4.2495810985565186,8.826519298553468,9.998922109603882,12.267678022384644,12.435217142105103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4975777566432953,3.0874600410461426,0.0,0.8323485144308193,0.3591977596282959,0.8059773445129398,1.3727198600769042,1.8160784244537358,4.2495810985565186,8.826519298553468,9.998922109603882,12.267678022384644,12.435217142105103,1167.4545454545455,1466,111,192.0,269.3337561025512,72540.67217630854,-1.7069849707672342,4.813338170379586,903.2,1044.8,1052.4,1132.4,1176.0,1236.2,1294.4,1459.6,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1167.4545454545455,1466,111,192.0,269.3337561025512,72540.67217630854,-1.7069849707672342,4.813338170379586,903.2,1044.8,1052.4,1132.4,1176.0,1236.2,1294.4,1459.6,1466.0,"('192.168.137.246', '114.110.98.2', 50613, 443, 'TCP')",PDD12.pcap
8,0,8,1.0,0.0,5210,0,0.055068016052246094,-1,-1,-1,-2,-2,-3,-3,-3,-4,-4,-5,-5,-5,-6,-6,-7,-7,-7,-8,-8,8.0,8,8,8.0,0.0,0.007866859436035156,0.0473020076751709,5.0067901611328125e-06,0.01630380568170742,8.344650268554688e-06,6.62803649902344e-05,0.004878020286560062,0.037989425659179704,0.04745280742645264,0.047456789016723636,0.047460293769836424,0.04751901626586914,0.04981088638305664,0.007866859436035156,0.0473020076751709,5.0067901611328125e-06,0.01630380568170742,8.344650268554688e-06,6.62803649902344e-05,0.004878020286560062,0.037989425659179704,0.04745280742645264,0.047456789016723636,0.047460293769836424,0.04751901626586914,0.04981088638305664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.25,1466,110,403.25,509.55832590587704,259649.6875,0.6970698784918209,-1.0458899960041488,122.6,227.60000000000002,377.0,377.0,446.5,566.8000000000001,744.5999999999999,1187.6000000000004,1466.0,651.25,1466,110,403.25,509.55832590587704,259649.6875,0.6970698784918209,-1.0458899960041488,122.6,227.60000000000002,377.0,377.0,446.5,566.8000000000001,744.5999999999999,1187.6000000000004,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('81.69.105.56', '192.168.137.246', 443, 50608, 'TCP')",PDD12.pcap
22,0,22,1.0,0.0,19743,0,0.48271799087524414,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-12,-13,-14,-15,-16,-17,-18,-19,-20,-21,22.0,22,22,22.0,0.0,0.022986570994059246,0.4039881229400635,5.9604644775390625e-06,0.08586419295962286,0.004708051681518559,0.04685764312744141,0.053254318237304685,0.07752037048339844,0.4815390110015869,0.48170647621154783,0.48243017196655275,0.48264265060424805,0.48266704082489015,0.022986570994059246,0.4039881229400635,5.9604644775390625e-06,0.08586419295962286,0.004708051681518559,0.04685764312744141,0.053254318237304685,0.07752037048339844,0.4815390110015869,0.48170647621154783,0.48243017196655275,0.48264265060424805,0.48266704082489015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,897.4090909090909,1466,85,568.5909090909091,587.0152281663344,344586.8780991736,-0.1722407566400947,-1.784099766178434,97.10000000000001,329.8,371.3,530.0,1100.0,1466.0,1466.0,1466.0,1466.0,897.4090909090909,1466,85,568.5909090909091,587.0152281663344,344586.8780991736,-0.1722407566400947,-1.784099766178434,97.10000000000001,329.8,371.3,530.0,1100.0,1466.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('114.110.99.5', '192.168.137.246', 443, 50607, 'TCP')",PDD12.pcap
