inbound_pkt_count,outbound_pkt_count,total_pkt_count,inbound_pkt_percent,outbound_pkt_percent,inbound_bytes,outbound_bytes,duration,interaction_pattern_0,interaction_pattern_1,interaction_pattern_2,interaction_pattern_3,interaction_pattern_4,interaction_pattern_5,interaction_pattern_6,interaction_pattern_7,interaction_pattern_8,interaction_pattern_9,interaction_pattern_10,interaction_pattern_11,interaction_pattern_12,interaction_pattern_13,interaction_pattern_14,interaction_pattern_15,interaction_pattern_16,interaction_pattern_17,interaction_pattern_18,interaction_pattern_19,pkt_rate_mean,pkt_rate_max,pkt_rate_min,pkt_rate_median,pkt_rate_std,bidirectional_interval_mean,bidirectional_interval_max,bidirectional_interval_min,bidirectional_interval_std,bidirectional_rel_time_p10,bidirectional_rel_time_p20,bidirectional_rel_time_p30,bidirectional_rel_time_p40,bidirectional_rel_time_p50,bidirectional_rel_time_p60,bidirectional_rel_time_p70,bidirectional_rel_time_p80,bidirectional_rel_time_p90,inbound_interval_mean,inbound_interval_max,inbound_interval_min,inbound_interval_std,inbound_rel_time_p10,inbound_rel_time_p20,inbound_rel_time_p30,inbound_rel_time_p40,inbound_rel_time_p50,inbound_rel_time_p60,inbound_rel_time_p70,inbound_rel_time_p80,inbound_rel_time_p90,outbound_interval_mean,outbound_interval_max,outbound_interval_min,outbound_interval_std,outbound_rel_time_p10,outbound_rel_time_p20,outbound_rel_time_p30,outbound_rel_time_p40,outbound_rel_time_p50,outbound_rel_time_p60,outbound_rel_time_p70,outbound_rel_time_p80,outbound_rel_time_p90,bidirectional_size_mean,bidirectional_size_max,bidirectional_size_min,bidirectional_size_mad,bidirectional_size_std,bidirectional_size_var,bidirectional_size_skew,bidirectional_size_kurtosis,bidirectional_size_p10,bidirectional_size_p20,bidirectional_size_p30,bidirectional_size_p40,bidirectional_size_p50,bidirectional_size_p60,bidirectional_size_p70,bidirectional_size_p80,bidirectional_size_p90,inbound_size_mean,inbound_size_max,inbound_size_min,inbound_size_mad,inbound_size_std,inbound_size_var,inbound_size_skew,inbound_size_kurtosis,inbound_size_p10,inbound_size_p20,inbound_size_p30,inbound_size_p40,inbound_size_p50,inbound_size_p60,inbound_size_p70,inbound_size_p80,inbound_size_p90,outbound_size_mean,outbound_size_max,outbound_size_min,outbound_size_mad,outbound_size_std,outbound_size_var,outbound_size_skew,outbound_size_kurtosis,outbound_size_p10,outbound_size_p20,outbound_size_p30,outbound_size_p40,outbound_size_p50,outbound_size_p60,outbound_size_p70,outbound_size_p80,outbound_size_p90,flow_key,pcap_file
0,4,4,0.0,1.0,0,2066,0.028538942337036133,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4.0,4,4,4.0,0.0,0.009512980779012045,0.028538942337036133,0.0,0.013453386436273404,0.0,0.0,0.0,0.0,0.0,0.0,0.002853894233703603,0.011415576934814464,0.019977259635925296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009512980779012045,0.028538942337036133,0.0,0.013453386436273404,0.0,0.0,0.0,0.0,0.0,0.0,0.002853894233703603,0.011415576934814464,0.019977259635925296,516.5,1466,78,373.5,554.5293049064225,307502.75,1.0761858779971607,-0.7249277659679665,117.0,156.0,195.0,229.20000000000002,261.0,292.79999999999995,429.1999999999996,774.8000000000004,1120.4,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.5,1466,78,373.5,554.5293049064225,307502.75,1.0761858779971607,-0.7249277659679665,117.0,156.0,195.0,229.20000000000002,261.0,292.79999999999995,429.1999999999996,774.8000000000004,1120.4,"('192.168.137.209', '59.82.121.163', 61041, 443, 'TCP')",Taobao19.pcap
0,7,7,0.0,1.0,0,4008,0.255263090133667,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7.0,7,7,7.0,0.0,0.04254384835561117,0.09421801567077637,0.0003178119659423828,0.03233034047675244,0.033502292633056645,0.07468075752258302,0.13121156692504882,0.151588773727417,0.15388917922973633,0.15407986640930177,0.16375422477722165,0.1923959255218506,0.22327113151550296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04254384835561117,0.09421801567077637,0.0003178119659423828,0.03233034047675244,0.033502292633056645,0.07468075752258302,0.13121156692504882,0.151588773727417,0.15388917922973633,0.15407986640930177,0.16375422477722165,0.1923959255218506,0.22327113151550296,572.5714285714286,1466,77,394.42857142857144,475.9672429133445,226544.81632653065,0.6238924965965675,-0.7925793465238451,104.0,125.4,135.6,311.8000000000002,571.0,642.4,740.5999999999998,892.4000000000002,1152.2000000000003,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.5714285714286,1466,77,394.42857142857144,475.9672429133445,226544.81632653065,0.6238924965965675,-0.7925793465238451,104.0,125.4,135.6,311.8000000000002,571.0,642.4,740.5999999999998,892.4000000000002,1152.2000000000003,"('192.168.137.209', '110.253.188.246', 58110, 443, 'TCP')",Taobao19.pcap
5,0,5,1.0,0.0,1260,0,0.005211830139160156,-1,-1,-1,-1,-2,-2,-2,-2,-3,-3,-3,-3,-4,-4,-4,-4,-5,-5,-5,-5,5.0,5,5,5.0,0.0,0.001302957534790039,0.0048100948333740234,4.76837158203125e-06,0.0020308123767335635,0.0001551628112792969,0.0003103256225585938,0.0013499259948730467,0.0032739639282226567,0.005198001861572266,0.0052016258239746095,0.0052052497863769535,0.005208015441894531,0.005209922790527344,0.001302957534790039,0.0048100948333740234,4.76837158203125e-06,0.0020308123767335635,0.0001551628112792969,0.0003103256225585938,0.0013499259948730467,0.0032739639282226567,0.005198001861572266,0.0052016258239746095,0.0052052497863769535,0.005208015441894531,0.005209922790527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,454,78,112.0,133.11048042885278,17718.4,0.24243970816245541,-1.2636143739414192,110.0,142.0,172.0,200.0,228.0,273.59999999999997,319.2,364.40000000000003,409.2,252.0,454,78,112.0,133.11048042885278,17718.4,0.24243970816245541,-1.2636143739414192,110.0,142.0,172.0,200.0,228.0,273.59999999999997,319.2,364.40000000000003,409.2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('59.82.121.163', '192.168.137.209', 443, 61041, 'TCP')",Taobao19.pcap
0,2,2,0.0,1.0,0,1438,0.13769817352294922,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2.0,2,2,2.0,0.0,0.13769817352294922,0.13769817352294922,0.13769817352294922,0.0,0.013769817352294923,0.027539634704589845,0.041309452056884764,0.05507926940917969,0.06884908676147461,0.08261890411376953,0.09638872146606445,0.11015853881835938,0.1239283561706543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13769817352294922,0.13769817352294922,0.13769817352294922,0.0,0.013769817352294923,0.027539634704589845,0.041309452056884764,0.05507926940917969,0.06884908676147461,0.08261890411376953,0.09638872146606445,0.11015853881835938,0.1239283561706543,719.0,832,606,113.0,113.0,12769.0,0.0,0.0,628.6,651.2,673.8,696.4,719.0,741.6,764.2,786.8,809.4,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.0,832,606,113.0,113.0,12769.0,0.0,0.0,628.6,651.2,673.8,696.4,719.0,741.6,764.2,786.8,809.4,"('192.168.137.209', '113.137.54.107', 61042, 443, 'TCP')",Taobao19.pcap
8,0,8,1.0,0.0,5668,0,0.20468688011169434,-1,-1,-1,-2,-2,-3,-3,-3,-4,-4,-5,-5,-5,-6,-6,-7,-7,-7,-8,-8,8.0,8,8,8.0,0.0,0.029240982873099192,0.15066003799438477,6.198883056640625e-06,0.05240977968756841,0.00027987957000732424,0.0004246234893798828,0.0004624366760253906,0.00046677589416503905,0.002229928970336914,0.013995265960693368,0.04900724887847897,0.1444049835205079,0.2046743631362915,0.029240982873099192,0.15066003799438477,6.198883056640625e-06,0.05240977968756841,0.00027987957000732424,0.0004246234893798828,0.0004624366760253906,0.00046677589416503905,0.002229928970336914,0.013995265960693368,0.04900724887847897,0.1444049835205079,0.2046743631362915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.5,1334,77,522.0,541.7817826394682,293527.5,0.0882764445376368,-1.8047873714646203,91.0,172.60000000000002,286.0,286.0,603.0,1002.8000000000001,1292.5999999999997,1334.0,1334.0,708.5,1334,77,522.0,541.7817826394682,293527.5,0.0882764445376368,-1.8047873714646203,91.0,172.60000000000002,286.0,286.0,603.0,1002.8000000000001,1292.5999999999997,1334.0,1334.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('110.253.188.246', '192.168.137.209', 443, 58110, 'TCP')",Taobao19.pcap
0,2,2,0.0,1.0,0,414,0.027257919311523438,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2.0,2,2,2.0,0.0,0.027257919311523438,0.027257919311523438,0.027257919311523438,0.0,0.002725791931152344,0.005451583862304688,0.008177375793457032,0.010903167724609376,0.013628959655761719,0.01635475158691406,0.019080543518066408,0.021806335449218752,0.024532127380371093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027257919311523438,0.027257919311523438,0.027257919311523438,0.0,0.002725791931152344,0.005451583862304688,0.008177375793457032,0.010903167724609376,0.013628959655761719,0.01635475158691406,0.019080543518066408,0.021806335449218752,0.024532127380371093,207.0,336,78,129.0,129.0,16641.0,0.0,0.0,103.8,129.6,155.39999999999998,181.2,207.0,232.8,258.6,284.40000000000003,310.2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,336,78,129.0,129.0,16641.0,0.0,0.0,103.8,129.6,155.39999999999998,181.2,207.0,232.8,258.6,284.40000000000003,310.2,"('192.168.137.209', '59.82.121.55', 61043, 443, 'TCP')",Taobao19.pcap
2,0,2,1.0,0.0,270,0,6.389617919921875e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2.0,2,2,2.0,0.0,6.389617919921875e-05,6.389617919921875e-05,6.389617919921875e-05,0.0,6.389617919921875e-06,1.277923583984375e-05,1.9168853759765623e-05,2.55584716796875e-05,3.1948089599609375e-05,3.833770751953125e-05,4.4727325439453124e-05,5.1116943359375e-05,5.750656127929688e-05,6.389617919921875e-05,6.389617919921875e-05,6.389617919921875e-05,0.0,6.389617919921875e-06,1.277923583984375e-05,1.9168853759765623e-05,2.55584716796875e-05,3.1948089599609375e-05,3.833770751953125e-05,4.4727325439453124e-05,5.1116943359375e-05,5.750656127929688e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,158,112,23.0,23.0,529.0,0.0,0.0,116.6,121.2,125.8,130.4,135.0,139.6,144.2,148.8,153.4,135.0,158,112,23.0,23.0,529.0,0.0,0.0,116.6,121.2,125.8,130.4,135.0,139.6,144.2,148.8,153.4,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('59.82.121.55', '192.168.137.209', 443, 61043, 'TCP')",Taobao19.pcap
3,0,3,1.0,0.0,416,0,0.1011819839477539,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,3.0,3,3,3.0,0.0,0.05059099197387695,0.10106801986694336,0.00011396408081054688,0.050477027893066406,2.2792816162109377e-05,4.5585632324218754e-05,6.837844848632811e-05,9.117126464843751e-05,0.00011396408081054688,0.020327568054199215,0.040541172027587884,0.06075477600097657,0.08096837997436523,0.05059099197387695,0.10106801986694336,0.00011396408081054688,0.050477027893066406,2.2792816162109377e-05,4.5585632324218754e-05,6.837844848632811e-05,9.117126464843751e-05,0.00011396408081054688,0.020327568054199215,0.040541172027587884,0.06075477600097657,0.08096837997436523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.66666666666666,228,94,44.666666666666664,63.168205785998246,3990.222222222222,0.707106781186548,0.0,94.0,94.0,94.0,94.0,94.0,120.8,147.6,174.4,201.20000000000002,138.66666666666666,228,94,44.666666666666664,63.168205785998246,3990.222222222222,0.707106781186548,0.0,94.0,94.0,94.0,94.0,94.0,120.8,147.6,174.4,201.20000000000002,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('113.137.54.107', '192.168.137.209', 443, 61042, 'TCP')",Taobao19.pcap
0,14,14,0.0,1.0,0,7278,7.709888935089111,1,1,2,3,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,1.75,11,0,0.0,3.6314597615834874,0.5930683796222394,6.781217813491821,0.0,1.7900109744094819,0.0018761157989501953,0.01460380554199219,0.0265225887298584,0.12136106491088874,0.47311699390411377,0.5316369533538818,0.5450091123580932,3.3246542453765895,7.424849271774292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5930683796222394,6.781217813491821,0.0,1.7900109744094819,0.0018761157989501953,0.01460380554199219,0.0265225887298584,0.12136106491088874,0.47311699390411377,0.5316369533538818,0.5450091123580932,3.3246542453765895,7.424849271774292,519.8571428571429,1466,78,179.28571428571428,313.3765095451379,98204.83673469388,1.763605414149149,3.401953719473685,244.60000000000002,370.8,398.0,481.2,494.0,494.0,511.6,532.4,766.0000000000003,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.8571428571429,1466,78,179.28571428571428,313.3765095451379,98204.83673469388,1.763605414149149,3.401953719473685,244.60000000000002,370.8,398.0,481.2,494.0,494.0,511.6,532.4,766.0000000000003,"('192.168.137.209', '59.82.121.169', 61045, 443, 'TCP')",Taobao19.pcap
18,0,18,1.0,0.0,13802,0,7.683661937713623,-1,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-10,-11,-12,-13,-14,-15,-16,-17,-18,2.25,10,0,0.0,3.929058411375428,0.4519801139831543,6.783478021621704,1.5020370483398438e-05,1.5863697975866935,0.0014865636825561529,0.04974994659423829,0.4566139221191406,0.5136818408966064,0.5824569463729858,7.37989821434021,7.654307126998901,7.681690883636475,7.682697796821595,0.4519801139831543,6.783478021621704,1.5020370483398438e-05,1.5863697975866935,0.0014865636825561529,0.04974994659423829,0.4566139221191406,0.5136818408966064,0.5824569463729858,7.37989821434021,7.654307126998901,7.681690883636475,7.682697796821595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.7777777777778,1466,130,468.1111111111111,531.5934699410356,282591.6172839506,0.3348339032156502,-1.6673338917057945,211.8,271.6,338.79999999999995,394.8,542.0,761.1999999999996,1333.9999999999998,1466.0,1466.0,766.7777777777778,1466,130,468.1111111111111,531.5934699410356,282591.6172839506,0.3348339032156502,-1.6673338917057945,211.8,271.6,338.79999999999995,394.8,542.0,761.1999999999996,1333.9999999999998,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('59.82.121.169', '192.168.137.209', 443, 61045, 'TCP')",Taobao19.pcap
