inbound_pkt_count,outbound_pkt_count,total_pkt_count,inbound_pkt_percent,outbound_pkt_percent,inbound_bytes,outbound_bytes,duration,interaction_pattern_0,interaction_pattern_1,interaction_pattern_2,interaction_pattern_3,interaction_pattern_4,interaction_pattern_5,interaction_pattern_6,interaction_pattern_7,interaction_pattern_8,interaction_pattern_9,interaction_pattern_10,interaction_pattern_11,interaction_pattern_12,interaction_pattern_13,interaction_pattern_14,interaction_pattern_15,interaction_pattern_16,interaction_pattern_17,interaction_pattern_18,interaction_pattern_19,pkt_rate_mean,pkt_rate_max,pkt_rate_min,pkt_rate_median,pkt_rate_std,bidirectional_interval_mean,bidirectional_interval_max,bidirectional_interval_min,bidirectional_interval_std,bidirectional_rel_time_p10,bidirectional_rel_time_p20,bidirectional_rel_time_p30,bidirectional_rel_time_p40,bidirectional_rel_time_p50,bidirectional_rel_time_p60,bidirectional_rel_time_p70,bidirectional_rel_time_p80,bidirectional_rel_time_p90,inbound_interval_mean,inbound_interval_max,inbound_interval_min,inbound_interval_std,inbound_rel_time_p10,inbound_rel_time_p20,inbound_rel_time_p30,inbound_rel_time_p40,inbound_rel_time_p50,inbound_rel_time_p60,inbound_rel_time_p70,inbound_rel_time_p80,inbound_rel_time_p90,outbound_interval_mean,outbound_interval_max,outbound_interval_min,outbound_interval_std,outbound_rel_time_p10,outbound_rel_time_p20,outbound_rel_time_p30,outbound_rel_time_p40,outbound_rel_time_p50,outbound_rel_time_p60,outbound_rel_time_p70,outbound_rel_time_p80,outbound_rel_time_p90,bidirectional_size_mean,bidirectional_size_max,bidirectional_size_min,bidirectional_size_mad,bidirectional_size_std,bidirectional_size_var,bidirectional_size_skew,bidirectional_size_kurtosis,bidirectional_size_p10,bidirectional_size_p20,bidirectional_size_p30,bidirectional_size_p40,bidirectional_size_p50,bidirectional_size_p60,bidirectional_size_p70,bidirectional_size_p80,bidirectional_size_p90,inbound_size_mean,inbound_size_max,inbound_size_min,inbound_size_mad,inbound_size_std,inbound_size_var,inbound_size_skew,inbound_size_kurtosis,inbound_size_p10,inbound_size_p20,inbound_size_p30,inbound_size_p40,inbound_size_p50,inbound_size_p60,inbound_size_p70,inbound_size_p80,inbound_size_p90,outbound_size_mean,outbound_size_max,outbound_size_min,outbound_size_mad,outbound_size_std,outbound_size_var,outbound_size_skew,outbound_size_kurtosis,outbound_size_p10,outbound_size_p20,outbound_size_p30,outbound_size_p40,outbound_size_p50,outbound_size_p60,outbound_size_p70,outbound_size_p80,outbound_size_p90,flow_key,pcap_file
0,10,10,0.0,1.0,0,4110,14.534455060958862,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,0.6666666666666666,7,0,0.0,1.7384539747207062,1.6149394512176514,10.85537600517273,0.04622006416320801,3.3261070572540223,0.15625262260437012,0.21059007644653321,0.27430312633514403,0.34663944244384765,0.4316805601119995,0.551245641708374,0.9510295391082761,2.054783058166504,4.764616656303402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6149394512176514,10.85537600517273,0.04622006416320801,3.3261070572540223,0.15625262260437012,0.21059007644653321,0.27430312633514403,0.34663944244384765,0.4316805601119995,0.551245641708374,0.9510295391082761,2.054783058166504,4.764616656303402,411.0,829,85,238.8,278.0463990056336,77309.8,0.3889685624426967,-1.3903341210505584,103.0,124.2,205.29999999999995,277.6,353.5,423.0,547.1999999999999,773.0,800.2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,829,85,238.8,278.0463990056336,77309.8,0.3889685624426967,-1.3903341210505584,103.0,124.2,205.29999999999995,277.6,353.5,423.0,547.1999999999999,773.0,800.2,"('192.168.137.162', '220.181.33.216', 51018, 443, 'TCP')",Baidutieba16.pcap
0,4,4,0.0,1.0,0,1185,2.2391090393066406,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,1.3333333333333333,3,0,1.0,1.247219128924647,0.7463696797688802,2.022752046585083,0.027157068252563477,0.9049598265677113,0.05675997734069825,0.1135199546813965,0.1702799320220947,0.19463133811950684,0.20277845859527588,0.21092557907104492,0.4186321973800652,1.0254578113555914,1.632283425331116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7463696797688802,2.022752046585083,0.027157068252563477,0.9049598265677113,0.05675997734069825,0.1135199546813965,0.1702799320220947,0.19463133811950684,0.20277845859527588,0.21092557907104492,0.4186321973800652,1.0254578113555914,1.632283425331116,296.25,571,85,163.75,184.6691297970508,34102.6875,0.3925478937602484,-1.3060360821002484,113.5,142.0,170.5,213.80000000000004,264.5,315.2,371.19999999999993,437.80000000000007,504.40000000000003,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.25,571,85,163.75,184.6691297970508,34102.6875,0.3925478937602484,-1.3060360821002484,113.5,142.0,170.5,213.80000000000004,264.5,315.2,371.19999999999993,437.80000000000007,504.40000000000003,"('192.168.137.162', '180.76.76.112', 53407, 443, 'TCP')",Baidutieba16.pcap
0,5,5,0.0,1.0,0,1302,0.29215097427368164,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5.0,5,5,5.0,0.0,0.07303774356842041,0.1983630657196045,0.0,0.08186273524987227,0.0793452262878418,0.1586904525756836,0.21712064743041992,0.2546358108520508,0.29215097427368164,0.29215097427368164,0.29215097427368164,0.29215097427368164,0.29215097427368164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07303774356842041,0.1983630657196045,0.0,0.08186273524987227,0.0793452262878418,0.1586904525756836,0.21712064743041992,0.2546358108520508,0.29215097427368164,0.29215097427368164,0.29215097427368164,0.29215097427368164,0.29215097427368164,260.4,571,92,149.0,186.2703411711054,34696.64,0.6868733556718727,-1.1814455780259099,100.4,108.8,119.8,133.4,147.0,239.79999999999998,332.59999999999997,417.40000000000003,494.20000000000005,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.4,571,92,149.0,186.2703411711054,34696.64,0.6868733556718727,-1.1814455780259099,100.4,108.8,119.8,133.4,147.0,239.79999999999998,332.59999999999997,417.40000000000003,494.20000000000005,"('192.168.137.162', '221.228.202.164', 53405, 443, 'TCP')",Baidutieba16.pcap
13,0,13,1.0,0.0,6111,0,2.19342303276062,-1,-1,-2,-2,-3,-4,-4,-5,-6,-6,-7,-8,-8,-9,-10,-10,-11,-12,-12,-13,4.333333333333333,12,0,1.0,5.436502143433364,0.18278525273005167,1.9835422039031982,1.71661376953125e-05,0.5447734139015676,0.00039920806884765627,0.0004599571228027344,0.0004821300506591797,0.004680967330932621,0.005800008773803711,0.05200924873352039,0.18379654884338378,0.1968249320983887,0.20900325775146486,0.18278525273005167,1.9835422039031982,1.71661376953125e-05,0.5447734139015676,0.00039920806884765627,0.0004599571228027344,0.0004821300506591797,0.004680967330932621,0.005800008773803711,0.05200924873352039,0.18379654884338378,0.1968249320983887,0.20900325775146486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0769230769231,1466,60,388.84615384615387,560.8236335328551,314523.1479289941,1.1085579942577597,-0.5791068940981146,63.0,71.80000000000001,93.39999999999999,99.0,118.0,260.7999999999999,437.59999999999985,1082.0000000000014,1466.0,470.0769230769231,1466,60,388.84615384615387,560.8236335328551,314523.1479289941,1.1085579942577597,-0.5791068940981146,63.0,71.80000000000001,93.39999999999999,99.0,118.0,260.7999999999999,437.59999999999985,1082.0000000000014,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('180.76.76.112', '192.168.137.162', 443, 53407, 'TCP')",Baidutieba16.pcap
9,0,9,1.0,0.0,6750,0,0.29669618606567383,-1,-1,-1,-2,-2,-3,-3,-4,-4,-5,-5,-5,-6,-6,-7,-7,-8,-8,-9,-9,9.0,9,9,9.0,0.0,0.03708702325820923,0.19701385498046875,5.9604644775390625e-06,0.06823476243718703,1.52587890625e-05,2.8657913208007813e-05,4.3821334838867183e-05,6.022453308105469e-05,7.319450378417969e-05,0.15768427848815914,0.19709062576293945,0.2359378814697266,0.29470338821411135,0.03708702325820923,0.19701385498046875,5.9604644775390625e-06,0.06823476243718703,1.52587890625e-05,2.8657913208007813e-05,4.3821334838867183e-05,6.022453308105469e-05,7.319450378417969e-05,0.15768427848815914,0.19709062576293945,0.2359378814697266,0.29470338821411135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,1466,105,574.1111111111111,619.1894343054923,383395.55555555556,0.15979231328600085,-1.8797494913781034,105.0,115.8,163.39999999999998,273.00000000000006,469.0,1154.6,1410.0,1466.0,1466.0,750.0,1466,105,574.1111111111111,619.1894343054923,383395.55555555556,0.15979231328600085,-1.8797494913781034,105.0,115.8,163.39999999999998,273.00000000000006,469.0,1154.6,1410.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('221.228.202.164', '192.168.137.162', 443, 53405, 'TCP')",Baidutieba16.pcap
13,0,13,1.0,0.0,8654,0,14.511863946914673,-1,-1,-2,-2,-3,-4,-4,-5,-6,-6,-7,-8,-8,-9,-10,-10,-11,-12,-12,-13,0.8666666666666667,10,0,0.0,2.472964932132188,1.2093219955762227,10.85152292251587,5.9604644775390625e-06,2.959623188889869,2.1076202392578126e-05,3.24249267578125e-05,0.024661111831665024,0.16424679756164562,0.28025293350219727,0.4279163360595703,0.6152491569519037,1.3217972278594983,3.2571316242218034,1.2093219955762227,10.85152292251587,5.9604644775390625e-06,2.959623188889869,2.1076202392578126e-05,3.24249267578125e-05,0.024661111831665024,0.16424679756164562,0.28025293350219727,0.4279163360595703,0.6152491569519037,1.3217972278594983,3.2571316242218034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665.6923076923077,1466,85,424.2307692307692,502.77329110496777,252780.98224852068,0.6029626464966598,-1.1965525331658138,223.4,244.2,271.8,311.0,343.0,767.3999999999999,889.0,1235.2000000000007,1466.0,665.6923076923077,1466,85,424.2307692307692,502.77329110496777,252780.98224852068,0.6029626464966598,-1.1965525331658138,223.4,244.2,271.8,311.0,343.0,767.3999999999999,889.0,1235.2000000000007,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('220.181.33.216', '192.168.137.162', 443, 51018, 'TCP')",Baidutieba16.pcap
0,7,7,0.0,1.0,0,4990,0.18317008018493652,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7.0,7,7,7.0,0.0,0.03052834669748942,0.09085583686828613,0.0,0.03994138587174809,0.049526453018188484,0.1007152557373047,0.15522875785827636,0.1733999252319336,0.1733999252319336,0.1733999252319336,0.1733999252319336,0.1733999252319336,0.17730798721313476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03052834669748942,0.09085583686828613,0.0,0.03994138587174809,0.049526453018188484,0.1007152557373047,0.15522875785827636,0.1733999252319336,0.1733999252319336,0.1733999252319336,0.1733999252319336,0.1733999252319336,0.17730798721313476,712.8571428571429,1466,139,403.57142857142856,513.4403369349128,263620.97959183675,0.4993773748451622,-1.2393179185978414,143.8,219.80000000000007,438.19999999999993,535.0,571.0,642.4,845.1999999999995,1310.8000000000006,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.8571428571429,1466,139,403.57142857142856,513.4403369349128,263620.97959183675,0.4993773748451622,-1.2393179185978414,143.8,219.80000000000007,438.19999999999993,535.0,571.0,642.4,845.1999999999995,1310.8000000000006,1466.0,"('192.168.137.162', '180.101.50.106', 53408, 443, 'TCP')",Baidutieba16.pcap
9,0,9,1.0,0.0,7979,0,0.19134306907653809,-1,-1,-1,-2,-2,-3,-3,-4,-4,-5,-5,-5,-6,-6,-7,-7,-8,-8,-9,-9,9.0,9,9,9.0,0.0,0.02391788363456726,0.10332417488098145,8.821487426757812e-06,0.03726280351655115,3.528594970703125e-05,5.369186401367188e-05,6.570816040039063e-05,0.00036773681640625024,0.0015420913696289062,0.05627479553222655,0.1319524765014648,0.17328567504882814,0.17690138816833498,0.02391788363456726,0.10332417488098145,8.821487426757812e-06,0.03726280351655115,3.528594970703125e-05,5.369186401367188e-05,6.570816040039063e-05,0.00036773681640625024,0.0015420913696289062,0.05627479553222655,0.1319524765014648,0.17328567504882814,0.17690138816833498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.5555555555555,1466,105,429.1111111111111,492.8899158390264,242940.4691358025,-0.13530108868060073,-1.4130661088564143,269.0,464.8,568.0,657.4000000000001,1015.0,1015.0,1285.6,1466.0,1466.0,886.5555555555555,1466,105,429.1111111111111,492.8899158390264,242940.4691358025,-0.13530108868060073,-1.4130661088564143,269.0,464.8,568.0,657.4000000000001,1015.0,1015.0,1285.6,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('180.101.50.106', '192.168.137.162', 443, 53408, 'TCP')",Baidutieba16.pcap
0,8,8,0.0,1.0,0,6688,0.24378013610839844,1,1,1,2,2,3,3,3,4,4,5,5,5,6,6,7,7,7,8,8,8.0,8,8,8.0,0.0,0.034825733729771206,0.18502306938171387,0.0,0.06411103311345044,0.12951614856719973,0.20697903633117676,0.2399129867553711,0.2399129867553711,0.2399129867553711,0.2399129867553711,0.2399129867553711,0.2422332763671875,0.24378013610839844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034825733729771206,0.18502306938171387,0.0,0.06411103311345044,0.12951614856719973,0.20697903633117676,0.2399129867553711,0.2399129867553711,0.2399129867553711,0.2399129867553711,0.2399129867553711,0.2422332763671875,0.24378013610839844,836.0,1466,147,436.0,523.0991779767963,273632.75,0.1186078781279564,-1.5448838640482083,181.3,346.00000000000006,582.5,663.0,688.0,845.2000000000002,1388.3999999999996,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.0,1466,147,436.0,523.0991779767963,273632.75,0.1186078781279564,-1.5448838640482083,181.3,346.00000000000006,582.5,663.0,688.0,845.2000000000002,1388.3999999999996,1466.0,1466.0,"('192.168.137.162', '182.61.244.206', 53409, 443, 'TCP')",Baidutieba16.pcap
0,7,7,0.0,1.0,0,4620,0.2554309368133545,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7.0,7,7,7.0,0.0,0.042571822802225746,0.19491100311279297,0.0,0.07103518151720598,0.1169466018676758,0.2061176300048828,0.23973751068115234,0.2509441375732422,0.2509441375732422,0.2509441375732422,0.2509441375732422,0.2509441375732422,0.25273885726928713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042571822802225746,0.19491100311279297,0.0,0.07103518151720598,0.1169466018676758,0.2061176300048828,0.23973751068115234,0.2509441375732422,0.2509441375732422,0.2509441375732422,0.2509441375732422,0.2509441375732422,0.25273885726928713,660.0,1466,99,456.42857142857144,549.7303234963745,302203.4285714286,0.5375028025143223,-1.333979086794612,127.80000000000001,153.8,174.2,337.0000000000001,571.0,642.4,845.1999999999995,1310.8000000000006,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,1466,99,456.42857142857144,549.7303234963745,302203.4285714286,0.5375028025143223,-1.333979086794612,127.80000000000001,153.8,174.2,337.0000000000001,571.0,642.4,845.1999999999995,1310.8000000000006,1466.0,"('192.168.137.162', '182.61.244.206', 53410, 443, 'TCP')",Baidutieba16.pcap
0,9,9,0.0,1.0,0,4613,1.2767350673675537,1,1,1,2,2,3,3,4,4,5,5,5,6,6,7,7,8,8,9,9,4.5,8,1,4.5,3.5,0.1595918834209442,0.45731210708618164,0.0002868175506591797,0.164125456698184,0.024323272705078128,0.030576181411743165,0.054443693161010734,0.17204871177673348,0.4999520778656006,0.545795202255249,0.6340890407562255,0.73895583152771,0.9108853816986084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1595918834209442,0.45731210708618164,0.0002868175506591797,0.164125456698184,0.024323272705078128,0.030576181411743165,0.054443693161010734,0.17204871177673348,0.4999520778656006,0.545795202255249,0.6340890407562255,0.73895583152771,0.9108853816986084,512.5555555555555,571,180,44.888888888888886,117.75031126272718,13865.135802469136,-2.460482452406829,4.085613855190759,474.40000000000003,548.0,549.6,552.2,553.0,553.0,553.0,553.8,558.2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.5555555555555,571,180,44.888888888888886,117.75031126272718,13865.135802469136,-2.460482452406829,4.085613855190759,474.40000000000003,548.0,549.6,552.2,553.0,553.0,553.0,553.8,558.2,"('192.168.137.162', '180.76.76.200', 51019, 443, 'TCP')",Baidutieba16.pcap
0,6,6,0.0,1.0,0,1428,5.209345102310181,1,1,1,1,2,2,2,3,3,3,4,4,4,4,5,5,5,6,6,6,1.0,4,0,0.0,1.5275252316519468,1.0418690204620362,4.984538793563843,0.00025916099548339844,1.9723237970544079,0.0857095718383789,0.1714191436767578,0.17176759243011475,0.17211604118347168,0.19833159446716309,0.2245471477508545,2.716816544532776,5.209085941314697,5.209215521812439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0418690204620362,4.984538793563843,0.00025916099548339844,1.9723237970544079,0.0857095718383789,0.1714191436767578,0.17176759243011475,0.17211604118347168,0.19833159446716309,0.2245471477508545,2.716816544532776,5.209085941314697,5.209215521812439,238.0,583,90,140.66666666666666,193.385625112106,37398.0,0.8696685701296322,-1.014423197441051,93.5,97.0,101.0,105.0,117.5,130.0,276.5,423.0,503.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,583,90,140.66666666666666,193.385625112106,37398.0,0.8696685701296322,-1.014423197441051,93.5,97.0,101.0,105.0,117.5,130.0,276.5,423.0,503.0,"('192.168.137.162', '106.8.154.1', 53411, 443, 'TCP')",Baidutieba16.pcap
0,17,17,0.0,1.0,0,9133,7.242621183395386,1,1,2,3,4,5,6,6,7,8,9,10,11,12,12,13,14,15,16,17,2.125,9,0,1.0,2.9341736485763756,0.4526638239622116,3.190217971801758,0.0,1.0135759585192805,0.18633027076721193,0.28089523315429693,0.5591913223266601,0.5619621276855469,0.5619621276855469,1.0145386695861816,4.04804220199585,6.60113744735718,7.242621183395386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4526638239622116,3.190217971801758,0.0,1.0135759585192805,0.18633027076721193,0.28089523315429693,0.5591913223266601,0.5619621276855469,0.5619621276855469,1.0145386695861816,4.04804220199585,6.60113744735718,7.242621183395386,537.2352941176471,815,97,269.2352941176471,295.9738719413798,87600.5328719723,-0.31009101753256657,-1.750221578567575,177.8,200.0,200.0,421.6000000000001,678.0,814.0,814.0,814.8,815.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.2352941176471,815,97,269.2352941176471,295.9738719413798,87600.5328719723,-0.31009101753256657,-1.750221578567575,177.8,200.0,200.0,421.6000000000001,678.0,814.0,814.0,814.8,815.0,"('192.168.137.162', '180.184.60.109', 53412, 443, 'TCP')",Baidutieba16.pcap
