inbound_pkt_count,outbound_pkt_count,total_pkt_count,inbound_pkt_percent,outbound_pkt_percent,inbound_bytes,outbound_bytes,duration,interaction_pattern_0,interaction_pattern_1,interaction_pattern_2,interaction_pattern_3,interaction_pattern_4,interaction_pattern_5,interaction_pattern_6,interaction_pattern_7,interaction_pattern_8,interaction_pattern_9,interaction_pattern_10,interaction_pattern_11,interaction_pattern_12,interaction_pattern_13,interaction_pattern_14,interaction_pattern_15,interaction_pattern_16,interaction_pattern_17,interaction_pattern_18,interaction_pattern_19,pkt_rate_mean,pkt_rate_max,pkt_rate_min,pkt_rate_median,pkt_rate_std,bidirectional_interval_mean,bidirectional_interval_max,bidirectional_interval_min,bidirectional_interval_std,bidirectional_rel_time_p10,bidirectional_rel_time_p20,bidirectional_rel_time_p30,bidirectional_rel_time_p40,bidirectional_rel_time_p50,bidirectional_rel_time_p60,bidirectional_rel_time_p70,bidirectional_rel_time_p80,bidirectional_rel_time_p90,inbound_interval_mean,inbound_interval_max,inbound_interval_min,inbound_interval_std,inbound_rel_time_p10,inbound_rel_time_p20,inbound_rel_time_p30,inbound_rel_time_p40,inbound_rel_time_p50,inbound_rel_time_p60,inbound_rel_time_p70,inbound_rel_time_p80,inbound_rel_time_p90,outbound_interval_mean,outbound_interval_max,outbound_interval_min,outbound_interval_std,outbound_rel_time_p10,outbound_rel_time_p20,outbound_rel_time_p30,outbound_rel_time_p40,outbound_rel_time_p50,outbound_rel_time_p60,outbound_rel_time_p70,outbound_rel_time_p80,outbound_rel_time_p90,bidirectional_size_mean,bidirectional_size_max,bidirectional_size_min,bidirectional_size_mad,bidirectional_size_std,bidirectional_size_var,bidirectional_size_skew,bidirectional_size_kurtosis,bidirectional_size_p10,bidirectional_size_p20,bidirectional_size_p30,bidirectional_size_p40,bidirectional_size_p50,bidirectional_size_p60,bidirectional_size_p70,bidirectional_size_p80,bidirectional_size_p90,inbound_size_mean,inbound_size_max,inbound_size_min,inbound_size_mad,inbound_size_std,inbound_size_var,inbound_size_skew,inbound_size_kurtosis,inbound_size_p10,inbound_size_p20,inbound_size_p30,inbound_size_p40,inbound_size_p50,inbound_size_p60,inbound_size_p70,inbound_size_p80,inbound_size_p90,outbound_size_mean,outbound_size_max,outbound_size_min,outbound_size_mad,outbound_size_std,outbound_size_var,outbound_size_skew,outbound_size_kurtosis,outbound_size_p10,outbound_size_p20,outbound_size_p30,outbound_size_p40,outbound_size_p50,outbound_size_p60,outbound_size_p70,outbound_size_p80,outbound_size_p90,protocol,flow_key,pcap_file
0,1,1,0.0,1.0,0,126,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,126,126,0.0,0.0,0.0,0.0,0.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,126,126,0.0,0.0,0.0,0.0,0.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,UDP,"('192.168.137.162', '224.0.0.251', 5353, 5353, 'UDP')",Instagram40.pcap
0,3,3,0.0,1.0,0,2178,0.1365518569946289,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3.0,3,3,3.0,0.0,0.06827592849731445,0.07684993743896484,0.05970191955566406,0.00857400894165039,0.015369987487792969,0.030739974975585938,0.04610996246337891,0.061479949951171876,0.07684993743896484,0.08879032135009765,0.10073070526123046,0.11267108917236329,0.1246114730834961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06827592849731445,0.07684993743896484,0.05970191955566406,0.00857400894165039,0.015369987487792969,0.030739974975585938,0.04610996246337891,0.061479949951171876,0.07684993743896484,0.08879032135009765,0.10073070526123046,0.11267108917236329,0.1246114730834961,726.0,1465,130,445.0,554.3121864076236,307262.0,0.36979706161391485,0.0,220.60000000000002,311.20000000000005,401.79999999999995,492.40000000000003,583.0,759.4,935.8,1112.2,1288.6000000000001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.0,1465,130,445.0,554.3121864076236,307262.0,0.36979706161391485,0.0,220.60000000000002,311.20000000000005,401.79999999999995,492.40000000000003,583.0,759.4,935.8,1112.2,1288.6000000000001,TCP,"('192.168.137.162', '183.2.150.90', 60682, 27101, 'TCP')",Instagram40.pcap
0,15,15,0.0,1.0,0,8596,13.36675500869751,1,1,2,3,4,4,5,6,7,7,8,9,10,10,11,12,13,13,14,15,1.0714285714285714,6,0,0.0,1.980774946266007,0.954768214906965,8.923951148986816,0.0,2.3184335351154326,0.09197998046875,0.1824504375457764,0.26134581565856935,0.8758156776428228,1.2569329738616943,1.4371615409851075,1.6670863628387451,4.3884968757629395,4.421081066131592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.954768214906965,8.923951148986816,0.0,2.3184335351154326,0.09197998046875,0.1824504375457764,0.26134581565856935,0.8758156776428228,1.2569329738616943,1.4371615409851075,1.6670863628387451,4.3884968757629395,4.421081066131592,573.0666666666667,1466,90,327.8666666666667,421.47937342439695,177644.86222222223,0.9348049836077849,0.054247114015214315,127.0,156.4,320.2,368.40000000000003,578.0,623.8000000000001,725.8,748.0000000000001,1197.9999999999998,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0666666666667,1466,90,327.8666666666667,421.47937342439695,177644.86222222223,0.9348049836077849,0.054247114015214315,127.0,156.4,320.2,368.40000000000003,578.0,623.8000000000001,725.8,748.0000000000001,1197.9999999999998,TCP,"('192.168.137.162', '183.2.150.90', 60697, 27101, 'TCP')",Instagram40.pcap
0,16,16,0.0,1.0,0,9420,13.324671983718872,1,1,2,3,4,5,5,6,7,8,9,9,10,11,12,13,13,14,15,16,1.1428571428571428,11,0,0.0,2.924212784351246,0.8883114655812582,11.686317920684814,0.0,2.8941160170778972,0.09148156642913818,0.17090201377868652,0.23590993881225586,0.23649096488952637,0.23786592483520508,0.29579901695251465,0.7822684049606323,1.2140889167785645,1.6104240417480469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8883114655812582,11.686317920684814,0.0,2.8941160170778972,0.09148156642913818,0.17090201377868652,0.23590993881225586,0.23649096488952637,0.23786592483520508,0.29579901695251465,0.7822684049606323,1.2140889167785645,1.6104240417480469,588.75,1466,90,419.625,511.50348239283767,261635.8125,0.7312695448311107,-0.9843752986065901,109.5,130.0,162.5,181.0,442.0,583.0,714.5,1181.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.75,1466,90,419.625,511.50348239283767,261635.8125,0.7312695448311107,-0.9843752986065901,109.5,130.0,162.5,181.0,442.0,583.0,714.5,1181.0,1466.0,TCP,"('192.168.137.162', '183.2.150.90', 60713, 27101, 'TCP')",Instagram40.pcap
0,12,12,0.0,1.0,0,6369,13.323280096054077,1,1,2,2,3,4,4,5,5,6,7,7,8,8,9,10,10,11,11,12,0.8571428571428571,8,0,0.0,2.1333120747240115,1.2112072814594617,12.023083925247192,0.0,3.427550957294224,0.08682372570037843,0.16118273735046387,0.22961249351501464,0.29037013053894045,0.296403169631958,0.3320845603942871,0.9756088018417353,1.2412102222442627,1.2942975759506226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2112072814594617,12.023083925247192,0.0,3.427550957294224,0.08682372570037843,0.16118273735046387,0.22961249351501464,0.29037013053894045,0.296403169631958,0.3320845603942871,0.9756088018417353,1.2412102222442627,1.2942975759506226,530.75,1466,90,353.25,465.14104043827393,216356.1875,1.0964816221979212,-0.04900254930392123,125.5,136.6,164.5,256.4000000000001,432.5,540.1999999999999,606.8,680.2,1389.0000000000002,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.75,1466,90,353.25,465.14104043827393,216356.1875,1.0964816221979212,-0.04900254930392123,125.5,136.6,164.5,256.4000000000001,432.5,540.1999999999999,606.8,680.2,1389.0000000000002,TCP,"('192.168.137.162', '183.2.150.90', 60715, 27101, 'TCP')",Instagram40.pcap
0,13,13,0.0,1.0,0,7309,13.321599006652832,1,1,2,2,3,4,4,5,6,6,7,8,8,9,10,10,11,12,12,13,0.9285714285714286,8,0,0.0,2.2188892238584383,1.1101332505544026,11.865140914916992,0.0,3.2516301293308594,0.08187127113342287,0.14818396568298342,0.22487654685974118,0.2548994541168213,0.25522708892822266,0.49354805946350033,1.2110159397125244,1.358281230926514,1.4564580917358398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1101332505544026,11.865140914916992,0.0,3.2516301293308594,0.08187127113342287,0.14818396568298342,0.22487654685974118,0.2548994541168213,0.25522708892822266,0.49354805946350033,1.2110159397125244,1.358281230926514,1.4564580917358398,562.2307692307693,1466,90,389.84615384615387,520.5835710410672,271007.2544378698,0.96000844701238,-0.696396486998943,100.2,127.0,152.79999999999998,284.8000000000001,399.0,487.19999999999993,552.4,1112.8000000000013,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.2307692307693,1466,90,389.84615384615387,520.5835710410672,271007.2544378698,0.96000844701238,-0.696396486998943,100.2,127.0,152.79999999999998,284.8000000000001,399.0,487.19999999999993,552.4,1112.8000000000013,1466.0,TCP,"('192.168.137.162', '183.2.150.90', 60712, 27101, 'TCP')",Instagram40.pcap
0,14,14,0.0,1.0,0,7520,13.321599006652832,1,1,2,3,3,4,5,5,6,7,8,8,9,10,10,11,12,12,13,14,1.0,9,0,0.0,2.32992949004287,1.024738385127141,8.878774881362915,0.0,2.416703087308371,0.10750763416290283,0.181558895111084,0.29227237701416015,0.3029210567474365,0.3304600715637207,0.40149178504943844,1.2168176412582397,2.5385494232177743,4.442824125289917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.024738385127141,8.878774881362915,0.0,2.416703087308371,0.10750763416290283,0.181558895111084,0.29227237701416015,0.3029210567474365,0.3304600715637207,0.40149178504943844,1.2168176412582397,2.5385494232177743,4.442824125289917,537.1428571428571,1466,90,360.14285714285717,495.81734210764944,245834.83673469388,1.0831029485086765,-0.4464661293700769,126.5,149.8,167.5,274.0,309.5,476.2,542.5,905.4000000000003,1442.9,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.1428571428571,1466,90,360.14285714285717,495.81734210764944,245834.83673469388,1.0831029485086765,-0.4464661293700769,126.5,149.8,167.5,274.0,309.5,476.2,542.5,905.4000000000003,1442.9,TCP,"('192.168.137.162', '183.2.150.90', 60710, 27101, 'TCP')",Instagram40.pcap
0,22,22,0.0,1.0,0,18587,13.321537971496582,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,1.5714285714285714,21,0,0.0,5.394630739571202,0.6343589510236468,12.975735902786255,0.0,2.7597678450567824,0.15392630100250246,0.2826850891113281,0.28446102142333984,0.28446102142333984,0.28446102142333984,0.28446102142333984,0.28446102142333984,0.28446102142333984,0.33449923992156994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6343589510236468,12.975735902786255,0.0,2.7597678450567824,0.15392630100250246,0.2826850891113281,0.28446102142333984,0.28446102142333984,0.28446102142333984,0.28446102142333984,0.28446102142333984,0.28446102142333984,0.33449923992156994,844.8636363636364,1466,90,383.5,481.7983636575995,232129.66322314052,0.0677508816401049,-1.2378461686790236,153.7,563.0,589.6,736.0,736.0,736.0,1338.7999999999997,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844.8636363636364,1466,90,383.5,481.7983636575995,232129.66322314052,0.0677508816401049,-1.2378461686790236,153.7,563.0,589.6,736.0,736.0,736.0,1338.7999999999997,1466.0,1466.0,TCP,"('192.168.137.162', '183.2.150.90', 60705, 27101, 'TCP')",Instagram40.pcap
0,7,7,0.0,1.0,0,2378,0.6156790256500244,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7.0,7,7,7.0,0.0,0.10261317094167073,0.26166391372680664,0.0556941032409668,0.07298010182173034,0.059069967269897466,0.10958876609802247,0.14300522804260252,0.1884744167327881,0.23996996879577637,0.27476587295532223,0.30917353630065914,0.34280471801757817,0.45868067741394053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10261317094167073,0.26166391372680664,0.0556941032409668,0.07298010182173034,0.059069967269897466,0.10958876609802247,0.14300522804260252,0.1884744167327881,0.23996996879577637,0.27476587295532223,0.30917353630065914,0.34280471801757817,0.45868067741394053,339.7142857142857,710,119,210.57142857142858,243.98226767282802,59527.3469387755,0.38571908665615634,-1.7047458058620262,123.8,127.6,129.4,138.8,152.0,394.9999999999999,562.1999999999999,577.8000000000001,633.8000000000001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.7142857142857,710,119,210.57142857142858,243.98226767282802,59527.3469387755,0.38571908665615634,-1.7047458058620262,123.8,127.6,129.4,138.8,152.0,394.9999999999999,562.1999999999999,577.8000000000001,633.8000000000001,TCP,"('192.168.137.162', '183.2.150.90', 60701, 27101, 'TCP')",Instagram40.pcap
0,9,9,0.0,1.0,0,4960,13.317616939544678,1,1,1,2,2,3,3,4,4,5,5,5,6,6,7,7,8,8,9,9,0.6428571428571429,8,0,0.0,2.056597149841138,1.6647021174430847,12.951786994934082,0.0,4.266257721585097,0.08670787811279297,0.1424055576324463,0.19771361351013184,0.24665498733520508,0.24665498733520508,0.24665498733520508,0.28194212913513184,0.3296121120452881,2.9561873435974144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6647021174430847,12.951786994934082,0.0,4.266257721585097,0.08670787811279297,0.1424055576324463,0.19771361351013184,0.24665498733520508,0.24665498733520508,0.24665498733520508,0.28194212913513184,0.3296121120452881,2.9561873435974144,551.1111111111111,1466,90,394.22222222222223,475.61759719908605,226212.09876543208,0.7189426252423123,-0.893474495777558,118.0,128.0,143.2,209.60000000000005,396.0,545.5999999999999,747.9999999999999,974.4000000000001,1212.4,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.1111111111111,1466,90,394.22222222222223,475.61759719908605,226212.09876543208,0.7189426252423123,-0.893474495777558,118.0,128.0,143.2,209.60000000000005,396.0,545.5999999999999,747.9999999999999,974.4000000000001,1212.4,TCP,"('192.168.137.162', '183.2.150.90', 60711, 27101, 'TCP')",Instagram40.pcap
