inbound_pkt_count,outbound_pkt_count,total_pkt_count,inbound_pkt_percent,outbound_pkt_percent,inbound_bytes,outbound_bytes,duration,interaction_pattern_0,interaction_pattern_1,interaction_pattern_2,interaction_pattern_3,interaction_pattern_4,interaction_pattern_5,interaction_pattern_6,interaction_pattern_7,interaction_pattern_8,interaction_pattern_9,interaction_pattern_10,interaction_pattern_11,interaction_pattern_12,interaction_pattern_13,interaction_pattern_14,interaction_pattern_15,interaction_pattern_16,interaction_pattern_17,interaction_pattern_18,interaction_pattern_19,pkt_rate_mean,pkt_rate_max,pkt_rate_min,pkt_rate_median,pkt_rate_std,bidirectional_interval_mean,bidirectional_interval_max,bidirectional_interval_min,bidirectional_interval_std,bidirectional_rel_time_p10,bidirectional_rel_time_p20,bidirectional_rel_time_p30,bidirectional_rel_time_p40,bidirectional_rel_time_p50,bidirectional_rel_time_p60,bidirectional_rel_time_p70,bidirectional_rel_time_p80,bidirectional_rel_time_p90,inbound_interval_mean,inbound_interval_max,inbound_interval_min,inbound_interval_std,inbound_rel_time_p10,inbound_rel_time_p20,inbound_rel_time_p30,inbound_rel_time_p40,inbound_rel_time_p50,inbound_rel_time_p60,inbound_rel_time_p70,inbound_rel_time_p80,inbound_rel_time_p90,outbound_interval_mean,outbound_interval_max,outbound_interval_min,outbound_interval_std,outbound_rel_time_p10,outbound_rel_time_p20,outbound_rel_time_p30,outbound_rel_time_p40,outbound_rel_time_p50,outbound_rel_time_p60,outbound_rel_time_p70,outbound_rel_time_p80,outbound_rel_time_p90,bidirectional_size_mean,bidirectional_size_max,bidirectional_size_min,bidirectional_size_mad,bidirectional_size_std,bidirectional_size_var,bidirectional_size_skew,bidirectional_size_kurtosis,bidirectional_size_p10,bidirectional_size_p20,bidirectional_size_p30,bidirectional_size_p40,bidirectional_size_p50,bidirectional_size_p60,bidirectional_size_p70,bidirectional_size_p80,bidirectional_size_p90,inbound_size_mean,inbound_size_max,inbound_size_min,inbound_size_mad,inbound_size_std,inbound_size_var,inbound_size_skew,inbound_size_kurtosis,inbound_size_p10,inbound_size_p20,inbound_size_p30,inbound_size_p40,inbound_size_p50,inbound_size_p60,inbound_size_p70,inbound_size_p80,inbound_size_p90,outbound_size_mean,outbound_size_max,outbound_size_min,outbound_size_mad,outbound_size_std,outbound_size_var,outbound_size_skew,outbound_size_kurtosis,outbound_size_p10,outbound_size_p20,outbound_size_p30,outbound_size_p40,outbound_size_p50,outbound_size_p60,outbound_size_p70,outbound_size_p80,outbound_size_p90,flow_key,pcap_file
0,2,2,0.0,1.0,0,705,0.06415915489196777,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2.0,2,2,2.0,0.0,0.06415915489196777,0.06415915489196777,0.06415915489196777,0.0,0.006415915489196778,0.012831830978393556,0.01924774646759033,0.025663661956787112,0.03207957744598389,0.03849549293518066,0.044911408424377436,0.051327323913574224,0.057743239402771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06415915489196777,0.06415915489196777,0.06415915489196777,0.0,0.006415915489196778,0.012831830978393556,0.01924774646759033,0.025663661956787112,0.03207957744598389,0.03849549293518066,0.044911408424377436,0.051327323913574224,0.057743239402771,352.5,571,134,218.5,218.5,47742.25,0.0,0.0,177.7,221.4,265.1,308.8,352.5,396.2,439.9,483.6,527.3,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.5,571,134,218.5,218.5,47742.25,0.0,0.0,177.7,221.4,265.1,308.8,352.5,396.2,439.9,483.6,527.3,"('192.168.137.209', '119.45.249.52', 65071, 443, 'TCP')",Redbook44.pcap
0,2,2,0.0,1.0,0,705,0.0506901741027832,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2.0,2,2,2.0,0.0,0.0506901741027832,0.0506901741027832,0.0506901741027832,0.0,0.00506901741027832,0.01013803482055664,0.015207052230834961,0.02027606964111328,0.0253450870513916,0.030414104461669922,0.03548312187194824,0.04055213928222656,0.04562115669250488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0506901741027832,0.0506901741027832,0.0506901741027832,0.0,0.00506901741027832,0.01013803482055664,0.015207052230834961,0.02027606964111328,0.0253450870513916,0.030414104461669922,0.03548312187194824,0.04055213928222656,0.04562115669250488,352.5,571,134,218.5,218.5,47742.25,0.0,0.0,177.7,221.4,265.1,308.8,352.5,396.2,439.9,483.6,527.3,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.5,571,134,218.5,218.5,47742.25,0.0,0.0,177.7,221.4,265.1,308.8,352.5,396.2,439.9,483.6,527.3,"('192.168.137.209', '81.69.116.87', 65075, 443, 'TCP')",Redbook44.pcap
0,2,2,0.0,1.0,0,705,0.07043910026550293,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2.0,2,2,2.0,0.0,0.07043910026550293,0.07043910026550293,0.07043910026550293,0.0,0.007043910026550294,0.014087820053100587,0.021131730079650878,0.028175640106201175,0.035219550132751465,0.042263460159301755,0.049307370185852045,0.05635128021240235,0.06339519023895264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07043910026550293,0.07043910026550293,0.07043910026550293,0.0,0.007043910026550294,0.014087820053100587,0.021131730079650878,0.028175640106201175,0.035219550132751465,0.042263460159301755,0.049307370185852045,0.05635128021240235,0.06339519023895264,352.5,571,134,218.5,218.5,47742.25,0.0,0.0,177.7,221.4,265.1,308.8,352.5,396.2,439.9,483.6,527.3,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.5,571,134,218.5,218.5,47742.25,0.0,0.0,177.7,221.4,265.1,308.8,352.5,396.2,439.9,483.6,527.3,"('192.168.137.209', '119.45.249.52', 65072, 443, 'TCP')",Redbook44.pcap
0,2,2,0.0,1.0,0,705,0.07678508758544922,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2.0,2,2,2.0,0.0,0.07678508758544922,0.07678508758544922,0.07678508758544922,0.0,0.007678508758544922,0.015357017517089844,0.023035526275634766,0.030714035034179688,0.03839254379272461,0.04607105255126953,0.05374956130981445,0.061428070068359375,0.0691065788269043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07678508758544922,0.07678508758544922,0.07678508758544922,0.0,0.007678508758544922,0.015357017517089844,0.023035526275634766,0.030714035034179688,0.03839254379272461,0.04607105255126953,0.05374956130981445,0.061428070068359375,0.0691065788269043,352.5,571,134,218.5,218.5,47742.25,0.0,0.0,177.7,221.4,265.1,308.8,352.5,396.2,439.9,483.6,527.3,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.5,571,134,218.5,218.5,47742.25,0.0,0.0,177.7,221.4,265.1,308.8,352.5,396.2,439.9,483.6,527.3,"('192.168.137.209', '119.45.2.92', 65073, 443, 'TCP')",Redbook44.pcap
0,2,2,0.0,1.0,0,705,0.059020042419433594,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2.0,2,2,2.0,0.0,0.059020042419433594,0.059020042419433594,0.059020042419433594,0.0,0.00590200424194336,0.01180400848388672,0.017706012725830077,0.02360801696777344,0.029510021209716797,0.035412025451660153,0.04131402969360351,0.04721603393554688,0.05311803817749024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059020042419433594,0.059020042419433594,0.059020042419433594,0.0,0.00590200424194336,0.01180400848388672,0.017706012725830077,0.02360801696777344,0.029510021209716797,0.035412025451660153,0.04131402969360351,0.04721603393554688,0.05311803817749024,352.5,571,134,218.5,218.5,47742.25,0.0,0.0,177.7,221.4,265.1,308.8,352.5,396.2,439.9,483.6,527.3,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.5,571,134,218.5,218.5,47742.25,0.0,0.0,177.7,221.4,265.1,308.8,352.5,396.2,439.9,483.6,527.3,"('192.168.137.209', '119.45.2.92', 65074, 443, 'TCP')",Redbook44.pcap
0,2,2,0.0,1.0,0,705,0.06502699851989746,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2.0,2,2,2.0,0.0,0.06502699851989746,0.06502699851989746,0.06502699851989746,0.0,0.006502699851989747,0.013005399703979494,0.019508099555969237,0.026010799407958987,0.03251349925994873,0.039016199111938474,0.04551889896392822,0.052021598815917974,0.05852429866790772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06502699851989746,0.06502699851989746,0.06502699851989746,0.0,0.006502699851989747,0.013005399703979494,0.019508099555969237,0.026010799407958987,0.03251349925994873,0.039016199111938474,0.04551889896392822,0.052021598815917974,0.05852429866790772,352.5,571,134,218.5,218.5,47742.25,0.0,0.0,177.7,221.4,265.1,308.8,352.5,396.2,439.9,483.6,527.3,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.5,571,134,218.5,218.5,47742.25,0.0,0.0,177.7,221.4,265.1,308.8,352.5,396.2,439.9,483.6,527.3,"('192.168.137.209', '81.69.116.86', 65084, 443, 'TCP')",Redbook44.pcap
7,0,7,1.0,0.0,6052,0,0.050961971282958984,-1,-1,-1,-2,-2,-2,-3,-3,-3,-4,-4,-4,-5,-5,-5,-6,-6,-6,-7,-7,7.0,7,7,7.0,0.0,0.008493661880493164,0.04853415489196777,8.821487426757812e-06,0.017923945673753796,3.905296325683594e-05,7.28607177734375e-05,9.617805480957031e-05,0.0009875297546386727,0.002312898635864258,0.031433391571044904,0.05084881782531738,0.05085411071777344,0.05089831352233887,0.008493661880493164,0.04853415489196777,8.821487426757812e-06,0.017923945673753796,3.905296325683594e-05,7.28607177734375e-05,9.617805480957031e-05,0.0009875297546386727,0.002312898635864258,0.031433391571044904,0.05084881782531738,0.05085411071777344,0.05089831352233887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864.5714285714286,1458,116,487.42857142857144,534.3508363673913,285530.8163265306,-0.1324523366443189,-1.7057737524791365,265.40000000000003,365.0,365.0,598.2000000000003,948.0,1184.3999999999999,1365.1999999999998,1434.8000000000002,1458.0,864.5714285714286,1458,116,487.42857142857144,534.3508363673913,285530.8163265306,-0.1324523366443189,-1.7057737524791365,265.40000000000003,365.0,365.0,598.2000000000003,948.0,1184.3999999999999,1365.1999999999998,1434.8000000000002,1458.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('81.69.116.87', '192.168.137.209', 443, 65075, 'TCP')",Redbook44.pcap
7,0,7,1.0,0.0,6052,0,0.0648050308227539,-1,-1,-1,-2,-2,-2,-3,-3,-3,-4,-4,-4,-5,-5,-5,-6,-6,-6,-7,-7,7.0,7,7,7.0,0.0,0.010800838470458984,0.062319040298461914,5.0067901611328125e-06,0.023046770025746798,0.0009438514709472658,0.0015750885009765624,0.001581096649169922,0.0019250869750976566,0.002438068389892578,0.039829492568969706,0.06475811004638672,0.0647611141204834,0.06477928161621094,0.010800838470458984,0.062319040298461914,5.0067901611328125e-06,0.023046770025746798,0.0009438514709472658,0.0015750885009765624,0.001581096649169922,0.0019250869750976566,0.002438068389892578,0.039829492568969706,0.06475811004638672,0.0647611141204834,0.06477928161621094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864.5714285714286,1458,116,487.42857142857144,534.3508363673913,285530.8163265306,-0.1324523366443189,-1.7057737524791365,265.40000000000003,365.0,365.0,598.2000000000003,948.0,1184.3999999999999,1365.1999999999998,1434.8000000000002,1458.0,864.5714285714286,1458,116,487.42857142857144,534.3508363673913,285530.8163265306,-0.1324523366443189,-1.7057737524791365,265.40000000000003,365.0,365.0,598.2000000000003,948.0,1184.3999999999999,1365.1999999999998,1434.8000000000002,1458.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('119.45.249.52', '192.168.137.209', 443, 65071, 'TCP')",Redbook44.pcap
7,0,7,1.0,0.0,6052,0,0.07157492637634277,-1,-1,-1,-2,-2,-2,-3,-3,-3,-4,-4,-4,-5,-5,-5,-6,-6,-6,-7,-7,7.0,7,7,7.0,0.0,0.011929154396057129,0.07150006294250488,5.9604644775390625e-06,0.026640922940187602,1.0156631469726565e-05,1.811981201171875e-05,2.1696090698242188e-05,2.527236938476563e-05,2.8848648071289062e-05,0.04292888641357419,0.07153010368347168,0.0715336799621582,0.07155089378356934,0.011929154396057129,0.07150006294250488,5.9604644775390625e-06,0.026640922940187602,1.0156631469726565e-05,1.811981201171875e-05,2.1696090698242188e-05,2.527236938476563e-05,2.8848648071289062e-05,0.04292888641357419,0.07153010368347168,0.0715336799621582,0.07155089378356934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864.5714285714286,1458,116,487.42857142857144,534.3508363673913,285530.8163265306,-0.1324523366443189,-1.7057737524791365,265.40000000000003,365.0,365.0,598.2000000000003,948.0,1184.3999999999999,1365.1999999999998,1434.8000000000002,1458.0,864.5714285714286,1458,116,487.42857142857144,534.3508363673913,285530.8163265306,-0.1324523366443189,-1.7057737524791365,265.40000000000003,365.0,365.0,598.2000000000003,948.0,1184.3999999999999,1365.1999999999998,1434.8000000000002,1458.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('119.45.249.52', '192.168.137.209', 443, 65072, 'TCP')",Redbook44.pcap
7,0,7,1.0,0.0,6052,0,0.05823206901550293,-1,-1,-1,-2,-2,-2,-3,-3,-3,-4,-4,-4,-5,-5,-5,-6,-6,-6,-7,-7,7.0,7,7,7.0,0.0,0.009705344835917154,0.05508589744567871,7.152557373046875e-06,0.02031970236315159,4.291534423828126e-06,0.0005713462829589848,0.0022639274597167965,0.002948093414306641,0.0031280517578125,0.03617959022521971,0.058215761184692384,0.0582211971282959,0.05822663307189942,0.009705344835917154,0.05508589744567871,7.152557373046875e-06,0.02031970236315159,4.291534423828126e-06,0.0005713462829589848,0.0022639274597167965,0.002948093414306641,0.0031280517578125,0.03617959022521971,0.058215761184692384,0.0582211971282959,0.05822663307189942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864.5714285714286,1458,116,487.42857142857144,534.3508363673913,285530.8163265306,-0.1324523366443189,-1.7057737524791365,265.40000000000003,365.0,365.0,598.2000000000003,948.0,1184.3999999999999,1365.1999999999998,1434.8000000000002,1458.0,864.5714285714286,1458,116,487.42857142857144,534.3508363673913,285530.8163265306,-0.1324523366443189,-1.7057737524791365,265.40000000000003,365.0,365.0,598.2000000000003,948.0,1184.3999999999999,1365.1999999999998,1434.8000000000002,1458.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('119.45.2.92', '192.168.137.209', 443, 65074, 'TCP')",Redbook44.pcap
