inbound_pkt_count,outbound_pkt_count,total_pkt_count,inbound_pkt_percent,outbound_pkt_percent,inbound_bytes,outbound_bytes,duration,interaction_pattern_0,interaction_pattern_1,interaction_pattern_2,interaction_pattern_3,interaction_pattern_4,interaction_pattern_5,interaction_pattern_6,interaction_pattern_7,interaction_pattern_8,interaction_pattern_9,interaction_pattern_10,interaction_pattern_11,interaction_pattern_12,interaction_pattern_13,interaction_pattern_14,interaction_pattern_15,interaction_pattern_16,interaction_pattern_17,interaction_pattern_18,interaction_pattern_19,pkt_rate_mean,pkt_rate_max,pkt_rate_min,pkt_rate_median,pkt_rate_std,bidirectional_interval_mean,bidirectional_interval_max,bidirectional_interval_min,bidirectional_interval_std,bidirectional_rel_time_p10,bidirectional_rel_time_p20,bidirectional_rel_time_p30,bidirectional_rel_time_p40,bidirectional_rel_time_p50,bidirectional_rel_time_p60,bidirectional_rel_time_p70,bidirectional_rel_time_p80,bidirectional_rel_time_p90,inbound_interval_mean,inbound_interval_max,inbound_interval_min,inbound_interval_std,inbound_rel_time_p10,inbound_rel_time_p20,inbound_rel_time_p30,inbound_rel_time_p40,inbound_rel_time_p50,inbound_rel_time_p60,inbound_rel_time_p70,inbound_rel_time_p80,inbound_rel_time_p90,outbound_interval_mean,outbound_interval_max,outbound_interval_min,outbound_interval_std,outbound_rel_time_p10,outbound_rel_time_p20,outbound_rel_time_p30,outbound_rel_time_p40,outbound_rel_time_p50,outbound_rel_time_p60,outbound_rel_time_p70,outbound_rel_time_p80,outbound_rel_time_p90,bidirectional_size_mean,bidirectional_size_max,bidirectional_size_min,bidirectional_size_mad,bidirectional_size_std,bidirectional_size_var,bidirectional_size_skew,bidirectional_size_kurtosis,bidirectional_size_p10,bidirectional_size_p20,bidirectional_size_p30,bidirectional_size_p40,bidirectional_size_p50,bidirectional_size_p60,bidirectional_size_p70,bidirectional_size_p80,bidirectional_size_p90,inbound_size_mean,inbound_size_max,inbound_size_min,inbound_size_mad,inbound_size_std,inbound_size_var,inbound_size_skew,inbound_size_kurtosis,inbound_size_p10,inbound_size_p20,inbound_size_p30,inbound_size_p40,inbound_size_p50,inbound_size_p60,inbound_size_p70,inbound_size_p80,inbound_size_p90,outbound_size_mean,outbound_size_max,outbound_size_min,outbound_size_mad,outbound_size_std,outbound_size_var,outbound_size_skew,outbound_size_kurtosis,outbound_size_p10,outbound_size_p20,outbound_size_p30,outbound_size_p40,outbound_size_p50,outbound_size_p60,outbound_size_p70,outbound_size_p80,outbound_size_p90,protocol,flow_key,pcap_file
0,62,62,0.0,1.0,0,49421,14.519331932067871,1,4,7,10,13,16,19,22,25,28,32,35,38,41,44,47,50,53,56,59,4.133333333333334,28,0,1.0,7.079234107977751,0.23802183495193233,6.00766396522522,0.0,0.867480261987952,0.4661700963973999,0.5051648616790771,0.5051648616790771,0.9281612873077394,2.4694489240646362,3.7345197200775146,8.524688792228673,13.784914016723633,14.519331932067871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23802183495193233,6.00766396522522,0.0,0.867480261987952,0.4661700963973999,0.5051648616790771,0.5051648616790771,0.9281612873077394,2.4694489240646362,3.7345197200775146,8.524688792228673,13.784914016723633,14.519331932067871,797.1129032258065,1466,83,475.5967741935484,546.2358614052355,298373.6162851196,0.11533749244878445,-1.5922907072434003,127.0,132.8,452.9,498.20000000000005,736.0,736.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797.1129032258065,1466,83,475.5967741935484,546.2358614052355,298373.6162851196,0.11533749244878445,-1.5922907072434003,127.0,132.8,452.9,498.20000000000005,736.0,736.0,1466.0,1466.0,1466.0,TCP,"('192.168.137.162', '183.2.150.90', 51844, 27101, 'TCP')",Youtube12.pcap
0,44,44,0.0,1.0,0,9054,14.562457084655762,1,3,5,7,9,12,14,16,18,20,23,25,27,29,31,34,36,38,40,42,2.933333333333333,7,0,3.0,2.2350739485653612,0.33866179266641305,4.001662969589233,0.05464911460876465,0.6594550901975196,0.35894477367401123,1.9454486846923829,2.7382007837295532,3.067985773086548,4.0092785358428955,5.10036449432373,7.1102092981338485,8.102527093887328,9.256304860115051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33866179266641305,4.001662969589233,0.05464911460876465,0.6594550901975196,0.35894477367401123,1.9454486846923829,2.7382007837295532,3.067985773086548,4.0092785358428955,5.10036449432373,7.1102092981338485,8.102527093887328,9.256304860115051,205.77272727272728,703,90,79.68181818181819,119.87452979078577,14369.902892561984,2.3419485209665356,6.271974057270754,127.0,127.0,127.0,127.0,150.5,232.0,235.0,238.0,344.8000000000001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.77272727272728,703,90,79.68181818181819,119.87452979078577,14369.902892561984,2.3419485209665356,6.271974057270754,127.0,127.0,127.0,127.0,150.5,232.0,235.0,238.0,344.8000000000001,TCP,"('192.168.137.162', '183.2.150.90', 51845, 27101, 'TCP')",Youtube12.pcap
0,4,4,0.0,1.0,0,380,13.030368089675903,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,0.2857142857142857,1,0,0.0,0.45175395145262565,4.343456029891968,9.019208192825317,1.0036070346832275,3.40596960612341,0.3010821104049683,0.6021642208099366,0.9032463312149047,1.6051176071166997,2.5073834657669067,3.4096493244171135,4.9130807161331145,7.618843173980716,10.324605631828309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.343456029891968,9.019208192825317,1.0036070346832275,3.40596960612341,0.3010821104049683,0.6021642208099366,0.9032463312149047,1.6051176071166997,2.5073834657669067,3.4096493244171135,4.9130807161331145,7.618843173980716,10.324605631828309,95.0,95,95,0.0,0.0,0.0,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,95,95,0.0,0.0,0.0,,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,UDP,"('192.168.137.162', '224.0.0.251', 5353, 5353, 'UDP')",Youtube12.pcap
0,7,7,0.0,1.0,0,2974,0.46970701217651367,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7.0,7,7,7.0,0.0,0.07828450202941895,0.13663792610168457,0.05420994758605957,0.029579183724282133,0.04598636627197267,0.08768415451049806,0.12080478668212889,0.18650016784667972,0.26848292350769043,0.3014938354492187,0.3343430995941162,0.366869068145752,0.4145094394683838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07828450202941895,0.13663792610168457,0.05420994758605957,0.029579183724282133,0.04598636627197267,0.08768415451049806,0.12080478668212889,0.18650016784667972,0.26848292350769043,0.3014938354492187,0.3343430995941162,0.366869068145752,0.4145094394683838,424.85714285714283,1137,119,295.7142857142857,371.5801888350533,138071.83673469388,0.8115052127836976,-0.7835954234382694,123.8,127.6,129.4,138.8,152.0,410.59999999999985,611.5999999999999,697.4000000000001,890.4000000000001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.85714285714283,1137,119,295.7142857142857,371.5801888350533,138071.83673469388,0.8115052127836976,-0.7835954234382694,123.8,127.6,129.4,138.8,152.0,410.59999999999985,611.5999999999999,697.4000000000001,890.4000000000001,TCP,"('192.168.137.162', '183.2.150.90', 51849, 27101, 'TCP')",Youtube12.pcap
0,6,6,0.0,1.0,0,2273,0.4023618698120117,1,1,1,1,2,2,2,3,3,3,4,4,4,4,5,5,5,6,6,6,6.0,6,6,6.0,0.0,0.08047237396240234,0.14280009269714355,0.05998492240905762,0.031792807339233974,0.03848099708557129,0.07696199417114258,0.10817694664001465,0.13939189910888672,0.2107919454574585,0.2821919918060303,0.3121844530105591,0.3421769142150879,0.3722693920135498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08047237396240234,0.14280009269714355,0.05998492240905762,0.031792807339233974,0.03848099708557129,0.07696199417114258,0.10817694664001465,0.13939189910888672,0.2107919454574585,0.2821919918060303,0.3121844530105591,0.3421769142150879,0.3722693920135498,378.8333333333333,713,119,239.83333333333334,244.96762824685408,60009.1388888889,0.1071515404642733,-1.8127617055294125,124.5,130.0,149.0,168.0,364.0,560.0,571.5,583.0,648.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.8333333333333,713,119,239.83333333333334,244.96762824685408,60009.1388888889,0.1071515404642733,-1.8127617055294125,124.5,130.0,149.0,168.0,364.0,560.0,571.5,583.0,648.0,TCP,"('192.168.137.162', '183.2.150.90', 51848, 27101, 'TCP')",Youtube12.pcap
282,0,282,1.0,0.0,361312,0,13.86645793914795,-1,-15,-29,-43,-57,-71,-85,-99,-113,-127,-142,-156,-170,-184,-198,-212,-226,-240,-254,-268,20.142857142857142,101,0,0.0,31.518378182662037,0.04934682540622046,6.182886123657227,3.814697265625e-06,0.43263893723632346,0.8403266191482544,1.593888282775879,1.657796049118042,2.6117410182952883,2.6411269903182983,2.724705171585083,2.753523254394531,4.227852153778076,4.246866059303284,0.04934682540622046,6.182886123657227,3.814697265625e-06,0.43263893723632346,0.8403266191482544,1.593888282775879,1.657796049118042,2.6117410182952883,2.6411269903182983,2.724705171585083,2.753523254394531,4.227852153778076,4.246866059303284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1281.2482269503546,1466,77,184.75177304964538,434.7457258959535,189003.84618479953,-2.087335891033076,2.558379955692989,242.8,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1281.2482269503546,1466,77,184.75177304964538,434.7457258959535,189003.84618479953,-2.087335891033076,2.558379955692989,242.8,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('183.2.150.90', '192.168.137.162', 27101, 51844, 'TCP')",Youtube12.pcap
397,0,397,1.0,0.0,542387,0,14.559890985488892,-1,-20,-40,-60,-80,-100,-120,-139,-159,-179,-199,-219,-239,-259,-278,-298,-318,-338,-358,-378,26.466666666666665,94,0,24.0,27.657106782083254,0.0367674014785073,4.062988042831421,4.0531158447265625e-06,0.2506341229341346,1.9249289989471436,1.9905163764953613,2.0309935092926024,2.7179458618164065,3.7282168865203857,4.448918390274048,6.963819551467895,8.014528799057008,9.139323949813843,0.0367674014785073,4.062988042831421,4.0531158447265625e-06,0.2506341229341346,1.9249289989471436,1.9905163764953613,2.0309935092926024,2.7179458618164065,3.7282168865203857,4.448918390274048,6.963819551467895,8.014528799057008,9.139323949813843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1366.214105793451,1466,88,99.78589420654912,321.8017397409016,103556.35970027096,-3.1788694028442315,8.562519222311304,1320.6000000000001,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1366.214105793451,1466,88,99.78589420654912,321.8017397409016,103556.35970027096,-3.1788694028442315,8.562519222311304,1320.6000000000001,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('183.2.150.90', '192.168.137.162', 27101, 51845, 'TCP')",Youtube12.pcap
8,0,8,1.0,0.0,5920,0,0.4068460464477539,-1,-1,-1,-2,-2,-3,-3,-3,-4,-4,-5,-5,-5,-6,-6,-7,-7,-7,-8,-8,8.0,8,8,8.0,0.0,0.058120863778250556,0.19928503036499023,1.9073486328125e-05,0.06613022388811234,0.13949952125549317,0.1998506546020508,0.20070137977600097,0.2007174015045166,0.2344905138015747,0.2793576717376709,0.31820285320281977,0.3735970497131348,0.4068326950073242,0.058120863778250556,0.19928503036499023,1.9073486328125e-05,0.06613022388811234,0.13949952125549317,0.1998506546020508,0.20070137977600097,0.2007174015045166,0.2344905138015747,0.2793576717376709,0.31820285320281977,0.3735970497131348,0.4068326950073242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,1466,119,438.5,508.90274119914113,258982.0,0.28113671954765773,-1.3791679367405338,124.6,250.20000000000005,444.0,507.0,613.5,777.6,1042.1999999999998,1311.6000000000001,1466.0,740.0,1466,119,438.5,508.90274119914113,258982.0,0.28113671954765773,-1.3791679367405338,124.6,250.20000000000005,444.0,507.0,613.5,777.6,1042.1999999999998,1311.6000000000001,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('183.2.150.90', '192.168.137.162', 27101, 51849, 'TCP')",Youtube12.pcap
8,0,8,1.0,0.0,6342,0,0.3983941078186035,-1,-1,-1,-2,-2,-3,-3,-3,-4,-4,-5,-5,-5,-6,-6,-7,-7,-7,-8,-8,8.0,8,8,8.0,0.0,0.056913443974086216,0.21066498756408691,5.0067901611328125e-06,0.07219012475591632,0.14746549129486086,0.21067137718200685,0.21068146228790283,0.21068496704101564,0.26238203048706055,0.32577190399169925,0.3667002439498901,0.38802642822265626,0.3983603954315186,0.056913443974086216,0.21066498756408691,5.0067901611328125e-06,0.07219012475591632,0.14746549129486086,0.21067137718200685,0.21068146228790283,0.21068496704101564,0.26238203048706055,0.32577190399169925,0.3667002439498901,0.38802642822265626,0.3983603954315186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.75,1466,119,485.25,547.0600401235681,299274.6875,0.19716278243068378,-1.6305154516063733,146.3,268.80000000000007,443.3,501.40000000000003,627.0,877.6000000000001,1373.1999999999996,1457.2,1466.0,792.75,1466,119,485.25,547.0600401235681,299274.6875,0.19716278243068378,-1.6305154516063733,146.3,268.80000000000007,443.3,501.40000000000003,627.0,877.6000000000001,1373.1999999999996,1457.2,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,"('183.2.150.90', '192.168.137.162', 27101, 51848, 'TCP')",Youtube12.pcap
0,7,7,0.0,1.0,0,2694,0.45600008964538574,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7.0,7,7,7.0,0.0,0.07600001494089763,0.11824512481689453,0.0531160831451416,0.025920121244917146,0.044012403488159185,0.08422160148620607,0.1168243885040283,0.16901841163635256,0.23100805282592773,0.2628777027130127,0.29485030174255367,0.3270287990570069,0.38505301475524906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07600001494089763,0.11824512481689453,0.0531160831451416,0.025920121244917146,0.044012403488159185,0.08422160148620607,0.1168243885040283,0.16901841163635256,0.23100805282592773,0.2628777027130127,0.29485030174255367,0.3270287990570069,0.38505301475524906,384.85714285714283,857,119,255.71428571428572,301.16508456868854,90700.40816326533,0.45821233117012766,-1.5872656537506364,123.8,127.6,129.4,138.8,152.0,410.59999999999985,611.5999999999999,697.4000000000001,778.4000000000001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.85714285714283,857,119,255.71428571428572,301.16508456868854,90700.40816326533,0.45821233117012766,-1.5872656537506364,123.8,127.6,129.4,138.8,152.0,410.59999999999985,611.5999999999999,697.4000000000001,778.4000000000001,TCP,"('192.168.137.162', '183.2.150.90', 51851, 27101, 'TCP')",Youtube12.pcap
