inbound_pkt_count,outbound_pkt_count,total_pkt_count,inbound_pkt_percent,outbound_pkt_percent,inbound_bytes,outbound_bytes,duration,interaction_pattern_0,interaction_pattern_1,interaction_pattern_2,interaction_pattern_3,interaction_pattern_4,interaction_pattern_5,interaction_pattern_6,interaction_pattern_7,interaction_pattern_8,interaction_pattern_9,interaction_pattern_10,interaction_pattern_11,interaction_pattern_12,interaction_pattern_13,interaction_pattern_14,interaction_pattern_15,interaction_pattern_16,interaction_pattern_17,interaction_pattern_18,interaction_pattern_19,pkt_rate_mean,pkt_rate_max,pkt_rate_min,pkt_rate_median,pkt_rate_std,bidirectional_interval_mean,bidirectional_interval_max,bidirectional_interval_min,bidirectional_interval_std,bidirectional_rel_time_p10,bidirectional_rel_time_p20,bidirectional_rel_time_p30,bidirectional_rel_time_p40,bidirectional_rel_time_p50,bidirectional_rel_time_p60,bidirectional_rel_time_p70,bidirectional_rel_time_p80,bidirectional_rel_time_p90,inbound_interval_mean,inbound_interval_max,inbound_interval_min,inbound_interval_std,inbound_rel_time_p10,inbound_rel_time_p20,inbound_rel_time_p30,inbound_rel_time_p40,inbound_rel_time_p50,inbound_rel_time_p60,inbound_rel_time_p70,inbound_rel_time_p80,inbound_rel_time_p90,outbound_interval_mean,outbound_interval_max,outbound_interval_min,outbound_interval_std,outbound_rel_time_p10,outbound_rel_time_p20,outbound_rel_time_p30,outbound_rel_time_p40,outbound_rel_time_p50,outbound_rel_time_p60,outbound_rel_time_p70,outbound_rel_time_p80,outbound_rel_time_p90,bidirectional_size_mean,bidirectional_size_max,bidirectional_size_min,bidirectional_size_mad,bidirectional_size_std,bidirectional_size_var,bidirectional_size_skew,bidirectional_size_kurtosis,bidirectional_size_p10,bidirectional_size_p20,bidirectional_size_p30,bidirectional_size_p40,bidirectional_size_p50,bidirectional_size_p60,bidirectional_size_p70,bidirectional_size_p80,bidirectional_size_p90,inbound_size_mean,inbound_size_max,inbound_size_min,inbound_size_mad,inbound_size_std,inbound_size_var,inbound_size_skew,inbound_size_kurtosis,inbound_size_p10,inbound_size_p20,inbound_size_p30,inbound_size_p40,inbound_size_p50,inbound_size_p60,inbound_size_p70,inbound_size_p80,inbound_size_p90,outbound_size_mean,outbound_size_max,outbound_size_min,outbound_size_mad,outbound_size_std,outbound_size_var,outbound_size_skew,outbound_size_kurtosis,outbound_size_p10,outbound_size_p20,outbound_size_p30,outbound_size_p40,outbound_size_p50,outbound_size_p60,outbound_size_p70,outbound_size_p80,outbound_size_p90,flow_key,pcap_file
0,6,6,0.0,1.0,0,1410,0.08319282531738281,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,5,5,6,6,6,6.0,6,6,6.0,0.0,0.016638565063476562,0.04230785369873047,0.0,0.019644181663098316,0.021153926849365234,0.04230785369873047,0.04325592517852783,0.044203996658325195,0.044203996658325195,0.044203996658325195,0.063698410987854,0.08319282531738281,0.08319282531738281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016638565063476562,0.04230785369873047,0.0,0.019644181663098316,0.021153926849365234,0.04230785369873047,0.04325592517852783,0.044203996658325195,0.044203996658325195,0.044203996658325195,0.063698410987854,0.08319282531738281,0.08319282531738281,235.0,540,60,139.0,184.41619596264678,34009.333333333336,0.7206127749531126,-1.2851404690590744,79.5,99.0,114.0,129.0,135.5,142.0,291.0,440.0,490.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,540,60,139.0,184.41619596264678,34009.333333333336,0.7206127749531126,-1.2851404690590744,79.5,99.0,114.0,129.0,135.5,142.0,291.0,440.0,490.0,"('192.168.137.197', '103.44.59.4', 52671, 443, 'TCP')",iQiYi1.pcap
0,8,8,0.0,1.0,0,1725,0.6118769645690918,1,1,2,2,2,3,3,4,4,4,5,5,6,6,6,7,7,8,8,8,8.0,8,8,8.0,0.0,0.08741099493844169,0.3374178409576416,0.0012669563293457031,0.11315977378690963,0.03377580642700195,0.0487579345703125,0.052057409286499025,0.06983251571655275,0.09329307079315186,0.11266002655029297,0.11610753536224365,0.2113154888153077,0.3756844758987426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08741099493844169,0.3374178409576416,0.0012669563293457031,0.11315977378690963,0.03377580642700195,0.0487579345703125,0.052057409286499025,0.06983251571655275,0.09329307079315186,0.11266002655029297,0.11610753536224365,0.2113154888153077,0.3756844758987426,215.625,571,85,108.875,151.822213048684,23049.984375,1.4249657594542073,0.9285470192624885,87.8,100.60000000000001,119.7,131.6,163.0,198.8,226.09999999999997,275.6,385.49999999999994,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.625,571,85,108.875,151.822213048684,23049.984375,1.4249657594542073,0.9285470192624885,87.8,100.60000000000001,119.7,131.6,163.0,198.8,226.09999999999997,275.6,385.49999999999994,"('192.168.137.197', '222.192.187.240', 58089, 443, 'TCP')",iQiYi1.pcap
0,9,9,0.0,1.0,0,4955,2.8581979274749756,1,1,2,2,3,3,3,4,4,5,5,6,6,7,7,7,8,8,9,9,3.0,7,0,2.0,2.943920288775949,0.35727474093437195,2.668653964996338,0.0,0.8743634284003419,0.03577690124511719,0.06472811698913575,0.07806611061096191,0.07806611061096191,0.07806611061096191,0.1672483921051025,0.1895439624786377,1.2570055484771738,2.8581979274749756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35727474093437195,2.668653964996338,0.0,0.8743634284003419,0.03577690124511719,0.06472811698913575,0.07806611061096191,0.07806611061096191,0.07806611061096191,0.1672483921051025,0.1895439624786377,1.2570055484771738,2.8581979274749756,550.5555555555555,1150,104,285.0,337.4703644967662,113886.24691358024,0.32062614205438383,-1.1102239060211168,148.0,256.20000000000005,322.2,374.00000000000006,574.0,581.2,731.1999999999999,862.0,958.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.5555555555555,1150,104,285.0,337.4703644967662,113886.24691358024,0.32062614205438383,-1.1102239060211168,148.0,256.20000000000005,322.2,374.00000000000006,574.0,581.2,731.1999999999999,862.0,958.0,"('192.168.137.197', '124.236.104.208', 58090, 443, 'TCP')",iQiYi1.pcap
18,0,18,1.0,0.0,7231,0,0.08902096748352051,-1,-2,-3,-4,-5,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-14,-15,-16,-17,-18,18.0,18,18,18.0,0.0,0.005236527499030618,0.03953886032104492,5.0067901611328125e-06,0.01254424459328627,1.4209747314453127e-05,2.8038024902343752e-05,0.004921865463256822,0.07138204574584964,0.07910990715026855,0.0791438102722168,0.07925150394439698,0.07939648628234863,0.0795720100402832,0.005236527499030618,0.03953886032104492,5.0067901611328125e-06,0.01254424459328627,1.4209747314453127e-05,2.8038024902343752e-05,0.004921865463256822,0.07138204574584964,0.07910990715026855,0.0791438102722168,0.07925150394439698,0.07939648628234863,0.0795720100402832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.72222222222223,1334,85,314.3888888888889,446.4892440605131,199352.64506172843,1.3438068157032983,0.29316011351270754,85.0,86.0,87.1,90.4,180.5,286.0,472.89999999999975,547.0,1334.0,401.72222222222223,1334,85,314.3888888888889,446.4892440605131,199352.64506172843,1.3438068157032983,0.29316011351270754,85.0,86.0,87.1,90.4,180.5,286.0,472.89999999999975,547.0,1334.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('103.44.59.4', '192.168.137.197', 443, 52671, 'TCP')",iQiYi1.pcap
0,6,6,0.0,1.0,0,1154,0.1086740493774414,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,5,5,6,6,6,6.0,6,6,6.0,0.0,0.02173480987548828,0.04180407524108887,0.0,0.01743357070909704,0.020902037620544434,0.04180407524108887,0.042597055435180664,0.04339003562927246,0.04339003562927246,0.04339003562927246,0.059975504875183105,0.07656097412109375,0.09261751174926758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02173480987548828,0.04180407524108887,0.0,0.01743357070909704,0.020902037620544434,0.04180407524108887,0.042597055435180664,0.04339003562927246,0.04339003562927246,0.04339003562927246,0.059975504875183105,0.07656097412109375,0.09261751174926758,192.33333333333334,440,60,111.0,144.45029902665098,20865.888888888887,0.7661991145918469,-1.1693222167974797,72.5,85.0,92.0,99.0,114.0,129.0,235.0,341.0,390.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.33333333333334,440,60,111.0,144.45029902665098,20865.888888888887,0.7661991145918469,-1.1693222167974797,72.5,85.0,92.0,99.0,114.0,129.0,235.0,341.0,390.5,"('192.168.137.197', '103.44.59.4', 52672, 443, 'TCP')",iQiYi1.pcap
450,0,450,1.0,0.0,650732,0,0.613847017288208,-12,-34,-57,-79,-102,-124,-147,-169,-192,-214,-237,-259,-282,-304,-327,-349,-372,-394,-417,-439,450.0,450,450,450.0,0.0,0.001367142577479305,0.36479997634887695,4.0531158447265625e-06,0.01759734470956912,0.15104660987854004,0.15637335777282715,0.19212989807128905,0.19969115257263184,0.20597290992736816,0.22318973541259765,0.22979307174682617,0.2347369194030762,0.24182231426239015,0.001367142577479305,0.36479997634887695,4.0531158447265625e-06,0.01759734470956912,0.15104660987854004,0.15637335777282715,0.19212989807128905,0.19969115257263184,0.20597290992736816,0.22318973541259765,0.22979307174682617,0.2347369194030762,0.24182231426239015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1446.0711111111111,1466,85,19.92888888888889,148.35993562537507,22010.670498765434,-7.701780834176526,59.18811301451812,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1446.0711111111111,1466,85,19.92888888888889,148.35993562537507,22010.670498765434,-7.701780834176526,59.18811301451812,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,1466.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('222.192.187.240', '192.168.137.197', 443, 58089, 'TCP')",iQiYi1.pcap
0,4,4,0.0,1.0,0,1149,0.08095002174377441,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4.0,4,4,4.0,0.0,0.026983340581258137,0.04854917526245117,0.002331972122192383,0.01899382102242344,0.014564752578735353,0.029129505157470707,0.04369425773620605,0.04901556968688965,0.04971516132354736,0.050414752960205075,0.05388803482055663,0.06290869712829592,0.07192935943603516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026983340581258137,0.04854917526245117,0.002331972122192383,0.01899382102242344,0.014564752578735353,0.029129505157470707,0.04369425773620605,0.04901556968688965,0.04971516132354736,0.050414752960205075,0.05388803482055663,0.06290869712829592,0.07192935943603516,287.25,571,85,185.75,198.59805512642868,39441.1875,0.33193894054952255,-1.5478986602387494,94.9,104.8,114.7,169.40000000000003,246.5,323.59999999999997,394.5999999999999,453.4000000000001,512.2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.25,571,85,185.75,198.59805512642868,39441.1875,0.33193894054952255,-1.5478986602387494,94.9,104.8,114.7,169.40000000000003,246.5,323.59999999999997,394.5999999999999,453.4000000000001,512.2,"('192.168.137.197', '222.192.187.240', 58095, 443, 'TCP')",iQiYi1.pcap
0,5,5,0.0,1.0,0,1816,0.2509899139404297,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5.0,5,5,5.0,0.0,0.06274747848510742,0.1436009407043457,0.0,0.052278350712636645,0.026324748992919922,0.052649497985839844,0.07412729263305665,0.09075813293457032,0.10738897323608398,0.10738897323608398,0.10738897323608398,0.13610916137695314,0.19354953765869143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06274747848510742,0.1436009407043457,0.0,0.052278350712636645,0.026324748992919922,0.052649497985839844,0.07412729263305665,0.09075813293457032,0.10738897323608398,0.10738897323608398,0.10738897323608398,0.13610916137695314,0.19354953765869143,363.2,642,85,196.2,221.40858158617067,49021.759999999995,-0.018291230956854036,-1.6616359834997316,109.8,134.6,191.79999999999998,281.40000000000003,371.0,451.0,531.0,585.2,613.6,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.2,642,85,196.2,221.40858158617067,49021.759999999995,-0.018291230956854036,-1.6616359834997316,109.8,134.6,191.79999999999998,281.40000000000003,371.0,451.0,531.0,585.2,613.6,"('192.168.137.197', '109.244.219.249', 58091, 443, 'TCP')",iQiYi1.pcap
13,0,13,1.0,0.0,7503,0,2.8772690296173096,-1,-1,-2,-3,-3,-4,-5,-5,-6,-7,-7,-8,-9,-9,-10,-11,-11,-12,-13,-13,4.333333333333333,11,0,2.0,4.784233364802441,0.2397724191347758,2.650423049926758,5.9604644775390625e-06,0.727392027745096,1.2588500976562501e-05,2.145767211914063e-05,0.029156827926635726,0.04868292808532715,0.07751297950744629,0.15009970664978028,0.18078722953796375,0.226806640625,2.347147464752199,0.2397724191347758,2.650423049926758,5.9604644775390625e-06,0.727392027745096,1.2588500976562501e-05,2.145767211914063e-05,0.029156827926635726,0.04868292808532715,0.07751297950744629,0.15009970664978028,0.18078722953796375,0.226806640625,2.347147464752199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.1538461538462,1466,104,465.38461538461536,545.9533434776619,298065.0532544378,0.5840076504002623,-1.297586757587162,104.0,104.0,111.8,124.2,135.0,731.9999999999999,841.1999999999998,1176.0000000000007,1445.2,577.1538461538462,1466,104,465.38461538461536,545.9533434776619,298065.0532544378,0.5840076504002623,-1.297586757587162,104.0,104.0,111.8,124.2,135.0,731.9999999999999,841.1999999999998,1176.0000000000007,1445.2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('124.236.104.208', '192.168.137.197', 443, 58090, 'TCP')",iQiYi1.pcap
10,0,10,1.0,0.0,6718,0,0.0873861312866211,-1,-1,-2,-2,-3,-3,-4,-4,-5,-5,-6,-6,-7,-7,-8,-8,-9,-9,-10,-10,10.0,10,10,10.0,0.0,0.0097095701429579,0.03621411323547363,5.0067901611328125e-06,0.01419332262925825,1.0728836059570312e-05,0.00019445419311523438,0.0002442598342895508,0.00024905204772949217,0.0020769834518432617,0.018388557434082013,0.05035154819488525,0.07423348426818847,0.07555372714996338,0.0097095701429579,0.03621411323547363,5.0067901611328125e-06,0.01419332262925825,1.0728836059570312e-05,0.00019445419311523438,0.0002442598342895508,0.00024905204772949217,0.0020769834518432617,0.018388557434082013,0.05035154819488525,0.07423348426818847,0.07555372714996338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.8,1334,280,347.4,444.2550618732442,197362.56,0.7246900183790722,-1.2943761183392135,285.4,286.0,302.8,400.0,503.5,547.0,783.0999999999999,1334.0,1334.0,671.8,1334,280,347.4,444.2550618732442,197362.56,0.7246900183790722,-1.2943761183392135,285.4,286.0,302.8,400.0,503.5,547.0,783.0999999999999,1334.0,1334.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"('103.44.59.4', '192.168.137.197', 443, 52672, 'TCP')",iQiYi1.pcap
